retail_ym,vin,zone_id,retail_date,channel,txn_price_usd,incentive_usd
2024-08,VF3TCABXRU0005975,west,2024-08-08,retail,46665,1175
2024-08,VF3TPAAXRU0005982,south,2024-08-17,retail,50825,1175
2024-08,VF3TSADXRU0006002,west,2024-08-03,retail,58105,1175
2024-08,VF3TSAFXRU0006006,south,2024-08-13,retail,58105,1175
2024-08,VF3TPAHXRU0006015,southeast,2024-08-10,retail,50825,1175
2024-08,VF3TPFAXRU0006027,west,2024-08-15,retail,50825,1175
2024-08,VF3TPFBXRU0006035,south,2024-08-06,retail,50825,1175
2024-08,VF3TPABXRU0006038,west,2024-08-04,retail,50825,1175
2024-08,VF3TCAGXRU0006039,central,2024-08-05,retail,46665,1175
2024-08,VF3TCFAXRU0006059,southeast,2024-08-22,retail,46665,1175
2024-08,VF3TCACXRU0006060,central,2024-08-17,retail,46665,1175
2024-08,VF3TPFEXRU0006075,west,2024-08-02,retail,50825,1175
2024-08,VF3TPFDXRU0006083,south,2024-08-05,retail,50825,1175
2024-08,VF3TPAEXRU0006091,northeast,2024-08-03,retail,50825,1175
2024-08,VF3TPFDXRU0006100,central,2024-08-04,retail,50825,1175
2024-08,VF3TPFDXRU0006102,southeast,2024-08-21,retail,50825,1175
2024-08,VF3TPACXRU0006104,west,2024-08-24,retail,50825,1175
2024-08,VF3TCAAXRU0006111,northeast,2024-08-07,retail,46665,1175
2024-08,VF3TPABXRU0006115,northeast,2024-08-09,retail,50825,1175
2024-08,VF3TCAHXRU0006118,central,2024-08-26,retail,46665,1175
2024-08,VF3TCABXRU0006127,west,2024-08-20,retail,46665,1175
2024-08,VF3TCFDXRU0006129,south,2024-08-17,retail,46665,1175
2024-08,VF3TPABXRU0006131,west,2024-08-27,retail,50825,1175
2024-08,VF3TCABXRU0006132,northeast,2024-08-18,retail,46665,1175
2024-08,VF3TPABXRU0006143,southeast,2024-08-03,retail,50825,1175
2024-08,VF3TSFCXRU0006154,west,2024-08-25,retail,58105,1175
2024-08,VF3TCAAXRU0006183,northeast,2024-08-13,retail,46665,1175
2024-08,VF3TPFEXRU0006184,west,2024-08-26,retail,50825,1175
2024-08,VF3TCAGXRU0006192,south,2024-08-02,retail,46665,1175
2024-08,VF3TSAAXRU0006201,west,2024-08-25,retail,58105,1175
2024-08,VF3TSACXRU0006211,central,2024-08-02,retail,58105,1175
2024-08,VF3TSFDXRU0006231,south,2024-08-10,retail,58105,1175
2024-08,VF3VCFFXRU0006240,south,2024-08-22,fleet,34245,1175
2024-08,VF3VPABXRU0006243,southeast,2024-08-27,retail,37325,1175
2024-08,VF3VPFEXRU0006253,west,2024-08-02,retail,37325,1175
2024-08,VF3VSABXRU0006262,southeast,2024-08-15,retail,42715,1175
2024-08,VF3VSADXRU0006268,northeast,2024-08-23,retail,42715,1175
2024-08,VF3VSADXRU0006299,central,2024-08-16,retail,42715,1175
2024-08,VF3VSFBXRU0006308,south,2024-08-28,retail,42715,1175
2024-08,VF3VPABXRU0006323,northeast,2024-08-03,retail,37325,1175
2024-08,VF3VPFAXRU0006345,southeast,2024-08-19,retail,37325,1175
2024-08,VF3VCFDXRU0006357,west,2024-08-14,retail,34245,1175
2024-08,VF3VPFGXRU0006392,southeast,2024-08-15,retail,37325,1175
2024-08,VF3VCAAXRU0006400,west,2024-08-01,retail,34245,1175
2024-08,VF3VCFGXRU0006402,central,2024-08-19,retail,34245,1175
2024-08,VF3VCFAXRU0006411,south,2024-08-14,retail,34245,1175
2024-08,VF3VPFDXRU0006422,south,2024-08-03,retail,37325,1175
2024-08,VF3VPACXRU0006429,central,2024-08-06,retail,37325,1175
2024-08,VF3VCAEXRU0006430,south,2024-08-10,retail,34245,1175
2024-08,VF3VPFHXRU0006431,northeast,2024-08-27,retail,37325,1175
2024-08,VF3VPADXRU0006457,northeast,2024-08-24,retail,37325,1175
2024-08,VF3VPABXRU0006462,northeast,2024-08-26,retail,37325,1175
2024-08,VF3VCFCXRU0006467,southeast,2024-08-17,retail,34245,1175
2024-08,VF3VSFEXRU0006476,central,2024-08-05,retail,42715,1175
2024-08,VF3VCAFXRU0006480,northeast,2024-08-06,retail,34245,1175
2024-08,VF3VCADXRU0006492,west,2024-08-17,retail,34245,1175
2024-08,VF3VPFFXRU0006520,west,2024-08-27,retail,37325,1175
2024-08,VF3VCABXRU0006528,northeast,2024-08-10,retail,34245,1175
2024-08,VF3VSFGXRU0006553,west,2024-08-20,retail,42715,1175
2024-08,VF3VCFHXRU0006568,west,2024-08-13,retail,34245,1175
2024-08,VF4ACFEXRU0006574,west,2024-08-15,retail,52713,1475
2024-08,VF4ASFEXRU0006578,west,2024-08-22,retail,65671,1475
2024-08,VF4APABXRU0006588,southeast,2024-08-14,retail,57425,1475
2024-08,VF4ACFBXRU0006595,south,2024-08-12,retail,52713,1475
2024-08,VF4APAEXRU0006610,northeast,2024-08-26,retail,57425,1475
2024-08,VF4APFCXRU0006629,northeast,2024-08-06,retail,57425,1475
2024-08,VF4ACFCXRU0006634,northeast,2024-08-07,retail,52713,1475
2024-08,VF4APADXRU0006643,southeast,2024-08-05,retail,57425,1475
2024-08,VF4ACFBXRU0006667,west,2024-08-28,retail,52713,1475
2024-08,VF5MPAGXRM0006683,central,2024-08-22,retail,30025,1175
2024-08,VF5MSFAXRM0006684,southeast,2024-08-26,retail,34393,1175
2024-08,VF5MPFAXRM0006686,central,2024-08-26,retail,30025,1175
2024-08,VF5MCABXRM0006703,west,2024-08-08,retail,27529,1175
2024-08,VF5MPFGXRM0006706,southeast,2024-08-20,retail,30025,1175
2024-08,VF5MPABXRM0006712,west,2024-08-14,retail,30025,1175
2024-08,VF5MPFDXRM0006724,southeast,2024-08-02,retail,30025,1175
2024-08,VF5MPFCXRM0006730,south,2024-08-01,retail,30025,1175
2024-08,VF5MPFAXRM0006747,southeast,2024-08-28,retail,30025,1175
2024-08,VF5MPFDXRM0006761,south,2024-08-25,retail,30025,1175
2024-08,VF5MCAAXRM0006763,northeast,2024-08-16,retail,27529,1175
2024-08,VF5MCFHXRM0006764,central,2024-08-27,retail,27529,1175
2024-08,VF5MCFAXRM0006770,west,2024-08-16,retail,27529,1175
2024-08,VF5MPACXRM0006772,south,2024-08-08,retail,30025,1175
2024-08,VF5MCAAXRM0006773,central,2024-08-25,retail,27529,1175
2024-08,VF5MPABXRM0006775,southeast,2024-08-22,retail,30025,1175
2024-08,VF5MPFBXRM0006778,south,2024-08-21,retail,30025,1175
2024-08,VF5MCFAXRM0006784,south,2024-08-17,retail,27529,1175
2024-08,VF5MPFBXRM0006817,west,2024-08-04,retail,30025,1175
2024-08,VF5MSADXRM0006831,central,2024-08-20,retail,34393,1175
2024-08,VF5MSAAXRM0006832,southeast,2024-08-15,retail,34393,1175
2024-08,VF5MCFCXRM0006836,south,2024-08-15,retail,27529,1175
2024-08,VF5MCAAXRM0006849,west,2024-08-13,retail,27529,1175
2024-08,VF5MCFEXRM0006867,west,2024-08-20,retail,27529,1175
2024-08,VF5MCFBXRM0006876,south,2024-08-19,retail,27529,1175
2024-08,VF5MPFEXRM0006878,central,2024-08-03,retail,30025,1175
2024-08,VF5MCFFXRM0006879,central,2024-08-13,retail,27529,1175
2024-08,VF5MCFBXRM0006884,central,2024-08-11,retail,27529,1175
2024-08,VF2NCAFXRK0006888,south,2024-08-03,retail,39581,1175
2024-08,VF2NCAFXRK0006895,northeast,2024-08-03,retail,39581,1175
2024-08,VF2NSABXRK0006910,central,2024-08-21,retail,49327,1175
2024-08,VF2NCACXRK0006912,west,2024-08-13,retail,39581,1175
2024-08,VF2NPFAXRK0006916,west,2024-08-03,retail,43125,1175
2024-08,VF2NCFAXRK0006920,southeast,2024-08-22,retail,39581,1175
2024-08,VF2NPADXRK0006933,central,2024-08-17,retail,43125,1175
2024-08,VF2NCFAXRK0006954,southeast,2024-08-18,retail,39581,1175
2024-08,VF2NCAAXRK0006955,south,2024-08-13,retail,39581,1175
2024-08,VF2NCAAXRK0006974,west,2024-08-05,retail,39581,1175
2024-08,VF2NPAEXRK0007001,southeast,2024-08-03,retail,43125,1175
2024-08,VF2NPFGXRK0007006,south,2024-08-24,retail,43125,1175
2024-08,VF2NCACXRK0007025,central,2024-08-15,retail,39581,1175
2024-08,VF2NCFAXRK0007034,west,2024-08-22,retail,39581,1175
2024-08,VF2NCFGXRK0007041,southeast,2024-08-04,retail,39581,1175
2024-08,VF2NPFFXRK0007044,central,2024-08-03,retail,43125,1175
2024-08,VF1LPFAXRK0007058,southeast,2024-08-02,retail,41225,1475
2024-08,VF1LPFGXRK0007062,west,2024-08-07,retail,41225,1475
2024-08,VF1LCAAXRK0007071,west,2024-08-03,retail,37809,1475
2024-08,VF1LPAAXRK0007093,west,2024-08-01,retail,41225,1475
2024-08,VF1LCFBXRK0007096,southeast,2024-08-21,retail,37809,1475
2024-08,VF1LPFDXRK0007097,southeast,2024-08-05,retail,41225,1475
2024-08,VF1LCFAXRK0007106,west,2024-08-01,retail,37809,1475
2024-08,VF1LSABXRK0007124,west,2024-08-05,retail,47203,1475
2024-08,VF1LPABXRK0007130,northeast,2024-08-26,retail,41225,1475
2024-08,VF1LPFAXRK0007153,west,2024-08-07,retail,41225,1475
2024-08,VF1LPFAXRK0007155,west,2024-08-17,retail,41225,1475
2024-08,VF1LSFFXRK0007159,northeast,2024-08-13,fleet,47203,1475
2024-08,VF1LPFCXRK0007185,west,2024-08-07,retail,41225,1475
2024-08,VF1LCABXRK0007193,south,2024-08-07,retail,37809,1475
2024-08,VF1LCFHXRK0007197,southeast,2024-08-09,retail,37809,1475
2024-08,VF1LPFCXRK0007200,south,2024-08-19,retail,41225,1475
2024-08,VF3TPADXRU0007215,west,2024-08-26,retail,50825,1175
2024-08,VF3TSADXRU0007217,central,2024-08-08,retail,58105,1175
2024-08,VF3TCAAXRU0007219,central,2024-08-19,retail,46665,1175
2024-08,VF3TCABXRU0007221,northeast,2024-08-12,retail,46665,1175
2024-08,VF3TSFAXRU0007222,south,2024-08-07,retail,58105,1175
2024-08,VF3TPFEXRU0007223,south,2024-08-26,retail,50825,1175
2024-08,VF3TSADXRU0007227,west,2024-08-13,retail,58105,1175
2024-08,VF3TPFAXRU0007228,southeast,2024-08-23,retail,50825,1175
2024-08,VF3TCADXRU0007238,west,2024-08-18,fleet,46665,1175
2024-08,VF3TPABXRU0007242,northeast,2024-08-08,retail,50825,1175
2024-08,VF3TPAAXRU0007243,west,2024-08-15,retail,50825,1175
2024-08,VF3TCABXRU0007244,southeast,2024-08-05,retail,46665,1175
2024-08,VF3TPAGXRU0007250,central,2024-08-06,retail,50825,1175
2024-08,VF3TPADXRU0007251,west,2024-08-07,retail,50825,1175
2024-08,VF3TCADXRU0007252,southeast,2024-08-02,retail,46665,1175
2024-08,VF3TPACXRU0007253,south,2024-08-11,retail,50825,1175
2024-08,VF3TPABXRU0007254,south,2024-08-19,retail,50825,1175
2024-08,VF3TCADXRU0007255,northeast,2024-08-09,retail,46665,1175
2024-08,VF3TCAFXRU0007257,west,2024-08-24,retail,46665,1175
2024-08,VF3TSABXRU0007261,northeast,2024-08-23,retail,58105,1175
2024-08,VF3TCABXRU0007262,northeast,2024-08-11,retail,46665,1175
2024-08,VF3TPAAXRU0007263,northeast,2024-08-19,retail,50825,1175
2024-08,VF3TSACXRU0007271,south,2024-08-11,retail,58105,1175
2024-08,VF3TCACXRU0007274,southeast,2024-08-07,retail,46665,1175
2024-08,VF3TPACXRU0007275,west,2024-08-24,retail,50825,1175
2024-08,VF3TPAEXRU0007277,southeast,2024-08-04,retail,50825,1175
2024-08,VF3TPAGXRU0007282,west,2024-08-14,retail,50825,1175
2024-08,VF3TPFAXRU0007288,central,2024-08-14,retail,50825,1175
2024-08,VF3TCFHXRU0007289,central,2024-08-15,retail,46665,1175
2024-08,VF3TSFBXRU0007291,southeast,2024-08-24,retail,58105,1175
2024-08,VF3TSFAXRU0007297,west,2024-08-08,retail,58105,1175
2024-08,VF3TPADXRU0007305,central,2024-08-27,fleet,50825,1175
2024-08,VF3TCFHXRU0007306,west,2024-08-11,retail,46665,1175
2024-08,VF3TPAAXRU0007311,southeast,2024-08-27,retail,50825,1175
2024-08,VF3TPACXRU0007313,northeast,2024-08-23,retail,50825,1175
2024-08,VF3TSFEXRU0007314,southeast,2024-08-27,retail,58105,1175
2024-08,VF3TCACXRU0007318,northeast,2024-08-12,retail,46665,1175
2024-08,VF3TPAEXRU0007322,northeast,2024-08-15,retail,50825,1175
2024-08,VF3TPFAXRU0007323,southeast,2024-08-01,retail,50825,1175
2024-08,VF3TPACXRU0007328,northeast,2024-08-04,retail,50825,1175
2024-08,VF3TCAGXRU0007329,northeast,2024-08-04,retail,46665,1175
2024-08,VF3TCAAXRU0007332,west,2024-08-10,retail,46665,1175
2024-08,VF3TSFAXRU0007337,west,2024-08-17,retail,58105,1175
2024-08,VF3TCACXRU0007341,west,2024-08-08,retail,46665,1175
2024-08,VF3TCAAXRU0007342,west,2024-08-23,retail,46665,1175
2024-08,VF3TPADXRU0007344,south,2024-08-05,retail,50825,1175
2024-08,VF3TPABXRU0007347,central,2024-08-08,retail,50825,1175
2024-08,VF3TCAAXRU0007350,central,2024-08-24,retail,46665,1175
