retail_ym,vin,zone_id,retail_date,channel,txn_price_usd,incentive_usd
2026-03,VF3TPADXTU0030920,south,2026-03-21,retail,50825,1175
2026-03,VF3TPADXTU0030925,southeast,2026-03-23,retail,50825,1175
2026-03,VF3TSADXTU0030933,west,2026-03-16,retail,58105,1175
2026-03,VF3TPAEXTU0030936,southeast,2026-03-25,retail,50825,1175
2026-03,VF3TCAAXTU0030944,central,2026-03-11,retail,46665,1175
2026-03,VF3TPFDXTU0030947,west,2026-03-18,fleet,50825,1175
2026-03,VF3TPFCXTU0030987,south,2026-03-26,retail,50825,1175
2026-03,VF3TCAAXTU0030988,south,2026-03-22,retail,46665,1175
2026-03,VF3TPFBXTU0031001,southeast,2026-03-07,fleet,50825,1175
2026-03,VF3TCABXTU0031018,northeast,2026-03-09,retail,46665,1175
2026-03,VF3TPAAXTU0031028,northeast,2026-03-28,retail,50825,1175
2026-03,VF3TCAAXTU0031029,south,2026-03-01,retail,46665,1175
2026-03,VF3TSAAXTU0031046,southeast,2026-03-06,retail,58105,1175
2026-03,VF3TCACXTU0031052,south,2026-03-17,retail,46665,1175
2026-03,VF3TCABXTU0031056,central,2026-03-09,retail,46665,1175
2026-03,VF3TSFCXTU0031065,southeast,2026-03-11,retail,58105,1175
2026-03,VF3TSABXTU0031091,southeast,2026-03-24,retail,58105,1175
2026-03,VF3TCABXTU0031092,southeast,2026-03-02,retail,46665,1175
2026-03,VF3TPFCXTU0031102,south,2026-03-08,retail,50825,1175
2026-03,VF3TCFBXTU0031126,northeast,2026-03-11,retail,46665,1175
2026-03,VF3TCAAXTU0031127,southeast,2026-03-25,retail,46665,1175
2026-03,VF3TSACXTU0031130,central,2026-03-25,retail,58105,1175
2026-03,VF3TCFCXTU0031138,central,2026-03-12,retail,46665,1175
2026-03,VF3TPAAXTU0031141,southeast,2026-03-18,retail,50825,1175
2026-03,VF3TCABXTU0031145,west,2026-03-24,retail,46665,1175
2026-03,VF3TCFGXTU0031147,south,2026-03-23,retail,46665,1175
2026-03,VF3TCFBXTU0031162,south,2026-03-28,retail,46665,1175
2026-03,VF3TCABXTU0031164,south,2026-03-14,retail,46665,1175
2026-03,VF3TSFCXTU0031165,south,2026-03-09,retail,58105,1175
2026-03,VF3TCAAXTU0031167,south,2026-03-24,retail,46665,1175
2026-03,VF3TCADXTU0031168,west,2026-03-10,retail,46665,1175
2026-03,VF3TCFAXTU0031194,southeast,2026-03-27,retail,46665,1175
2026-03,VF3VPFDXTU0031217,south,2026-03-02,retail,37325,1175
2026-03,VF3VPFAXTU0031265,central,2026-03-18,retail,37325,1175
2026-03,VF3VPACXTU0031271,central,2026-03-15,retail,37325,1175
2026-03,VF3VPAAXTU0031290,west,2026-03-15,retail,37325,1175
