retail_ym,vin,zone_id,retail_date,channel,txn_price_usd,incentive_usd
2024-06,VF3TCFHXRU0003265,south,2024-06-05,retail,46640,1200
2024-06,VF3TPFCXRU0003279,south,2024-06-18,retail,50800,1200
2024-06,VF3TCFEXRU0003286,west,2024-06-08,fleet,46640,1200
2024-06,VF3TPAFXRU0003300,south,2024-06-10,retail,50800,1200
2024-06,VF3TCAAXRU0003308,southeast,2024-06-09,retail,46640,1200
2024-06,VF3TCAHXRU0003310,south,2024-06-01,retail,46640,1200
2024-06,VF3TCFCXRU0003333,central,2024-06-07,retail,46640,1200
2024-06,VF3TPAGXRU0003338,west,2024-06-14,retail,50800,1200
2024-06,VF3TPABXRU0003344,west,2024-06-13,retail,50800,1200
2024-06,VF3TSABXRU0003347,northeast,2024-06-18,retail,58080,1200
2024-06,VF3TCFAXRU0003359,south,2024-06-09,retail,46640,1200
2024-06,VF3TCADXRU0003361,central,2024-06-15,retail,46640,1200
2024-06,VF3TCADXRU0003377,south,2024-06-21,retail,46640,1200
2024-06,VF3TPADXRU0003379,west,2024-06-25,retail,50800,1200
2024-06,VF3TPADXRU0003386,west,2024-06-04,fleet,50800,1200
2024-06,VF3TPADXRU0003389,west,2024-06-21,retail,50800,1200
2024-06,VF3TCAAXRU0003392,south,2024-06-23,fleet,46640,1200
2024-06,VF3TCACXRU0003437,northeast,2024-06-05,retail,46640,1200
2024-06,VF3TCAHXRU0003438,west,2024-06-19,retail,46640,1200
2024-06,VF3TCFDXRU0003441,south,2024-06-20,retail,46640,1200
2024-06,VF3TPAFXRU0003458,south,2024-06-10,retail,50800,1200
2024-06,VF3TPACXRU0003465,central,2024-06-08,retail,50800,1200
2024-06,VF3TPAEXRU0003467,northeast,2024-06-22,retail,50800,1200
2024-06,VF3TCAAXRU0003474,southeast,2024-06-05,retail,46640,1200
2024-06,VF3TCFBXRU0003485,west,2024-06-27,retail,46640,1200
2024-06,VF3TCFCXRU0003504,southeast,2024-06-18,retail,46640,1200
2024-06,VF3TPFCXRU0003507,west,2024-06-19,retail,50800,1200
2024-06,VF3TSADXRU0003530,southeast,2024-06-04,retail,58080,1200
2024-06,VF3TSAGXRU0003537,west,2024-06-16,retail,58080,1200
2024-06,VF3TPFBXRU0003540,southeast,2024-06-28,retail,50800,1200
2024-06,VF3TPAAXRU0003541,southeast,2024-06-24,retail,50800,1200
2024-06,VF3TCAAXRU0003543,northeast,2024-06-28,retail,46640,1200
2024-06,VF3TCABXRU0003546,central,2024-06-11,retail,46640,1200
2024-06,VF3TSABXRU0003555,west,2024-06-23,retail,58080,1200
2024-06,VF3TCFDXRU0003559,south,2024-06-19,retail,46640,1200
2024-06,VF3TSAFXRU0003561,west,2024-06-04,retail,58080,1200
2024-06,VF3TSFAXRU0003573,south,2024-06-18,retail,58080,1200
