retail_ym,vin,zone_id,retail_date,channel,txn_price_usd,incentive_usd
2025-10,VF3TPABXSU0024014,south,2025-10-05,retail,50775,1225
2025-10,VF3TPFAXSU0024029,south,2025-10-05,retail,50775,1225
2025-10,VF3TPAEXTU0024033,northeast,2025-10-01,retail,50775,1225
2025-10,VF3TPFCXSU0024037,west,2025-10-13,retail,50775,1225
2025-10,VF3TCFDXSU0024051,south,2025-10-05,retail,46615,1225
2025-10,VF3TPACXSU0024053,central,2025-10-21,retail,50775,1225
2025-10,VF3TCADXSU0024080,central,2025-10-01,retail,46615,1225
2025-10,VF3TCAAXTU0024087,central,2025-10-26,retail,46615,1225
2025-10,VF3TCACXTU0024091,central,2025-10-26,retail,46615,1225
2025-10,VF3TPACXSU0024104,west,2025-10-11,retail,50775,1225
2025-10,VF3TPADXTU0024111,central,2025-10-10,retail,50775,1225
2025-10,VF3TCACXSU0024116,west,2025-10-12,retail,46615,1225
2025-10,VF3TSABXTU0024117,northeast,2025-10-25,retail,58055,1225
2025-10,VF3TPADXSU0024122,west,2025-10-01,retail,50775,1225
2025-10,VF3TPAAXSU0024145,west,2025-10-15,retail,50775,1225
2025-10,VF3TPABXSU0024156,south,2025-10-01,retail,50775,1225
2025-10,VF3TCFGXSU0024162,south,2025-10-07,retail,46615,1225
2025-10,VF3TPAEXSU0024175,south,2025-10-23,retail,50775,1225
2025-10,VF3TPADXSU0024185,south,2025-10-15,retail,50775,1225
2025-10,VF3TCABXSU0024195,west,2025-10-06,retail,46615,1225
2025-10,VF3TCABXSU0024201,west,2025-10-20,retail,46615,1225
2025-10,VF3TSAHXSU0024226,central,2025-10-11,retail,58055,1225
2025-10,VF3TPADXTU0024236,northeast,2025-10-07,retail,50775,1225
2025-10,VF3TCFGXSU0024248,south,2025-10-06,retail,46615,1225
2025-10,VF3TSACXSU0024273,southeast,2025-10-15,retail,58055,1225
2025-10,VF3TCAAXSU0024274,west,2025-10-08,retail,46615,1225
2025-10,VF3TPFAXSU0024281,west,2025-10-25,retail,50775,1225
