ym,zone_id,model_id,csi_score,csi_sales_exp,csi_service_exp,resp_cnt
2024-07,west,TRN,88.8,87.6,89.6,675
2024-07,west,VST,88.7,87.5,89.5,710
2024-07,west,AUR,88.2,87.0,89.0,283
2024-07,west,MRD,88.3,87.1,89.1,448
2024-07,west,NOV,88.4,87.2,89.2,356
2024-07,west,LUM,88.7,87.5,89.5,494
2024-07,central,TRN,88.8,87.6,89.6,441
2024-07,central,VST,89.2,88.0,90.0,464
2024-07,central,AUR,88.5,87.3,89.3,103
2024-07,central,MRD,88.4,87.2,89.2,293
2024-07,central,NOV,87.9,86.7,88.7,233
2024-07,central,LUM,89.1,87.9,89.9,179
2024-07,south,TRN,88.3,87.1,89.1,571
2024-07,south,VST,89.6,88.4,90.4,600
2024-07,south,AUR,89.1,87.9,89.9,133
2024-07,south,MRD,88.8,87.6,89.6,379
2024-07,south,NOV,87.8,86.6,88.6,301
2024-07,south,LUM,88.5,87.3,89.3,232
2024-07,northeast,TRN,88.7,87.5,89.5,441
2024-07,northeast,VST,89.1,87.9,89.9,464
2024-07,northeast,AUR,88.4,87.2,89.2,185
2024-07,northeast,MRD,89.0,87.8,89.8,293
2024-07,northeast,NOV,88.0,86.8,88.8,233
2024-07,northeast,LUM,88.0,86.8,88.8,323
2024-07,southeast,TRN,88.4,87.2,89.2,467
2024-07,southeast,VST,88.9,87.7,89.7,491
2024-07,southeast,AUR,88.3,87.1,89.1,145
2024-07,southeast,MRD,88.1,86.9,88.9,310
2024-07,southeast,NOV,89.0,87.8,89.8,247
2024-07,southeast,LUM,88.4,87.2,89.2,253
