ym,zone_id,model_id,csi_score,csi_sales_exp,csi_service_exp,resp_cnt
2026-03,west,TRN,84.2,83.0,85.0,842
2026-03,west,VST,84.2,83.0,85.0,892
2026-03,west,AUR,64.6,63.4,65.4,367
2026-03,west,MRD,83.9,82.7,84.7,552
2026-03,west,NOV,84.7,83.5,85.5,469
2026-03,west,LUM,84.2,83.0,85.0,588
2026-03,central,TRN,86.0,84.8,86.8,551
2026-03,central,VST,85.6,84.4,86.4,583
2026-03,central,AUR,74.1,72.9,74.9,133
2026-03,central,MRD,85.5,84.3,86.3,361
2026-03,central,NOV,85.6,84.4,86.4,307
2026-03,central,LUM,86.3,85.1,87.1,214
2026-03,south,TRN,85.9,84.7,86.7,713
2026-03,south,VST,86.6,85.4,87.4,755
2026-03,south,AUR,74.6,73.4,75.4,173
2026-03,south,MRD,86.0,84.8,86.8,467
2026-03,south,NOV,86.4,85.2,87.2,397
2026-03,south,LUM,86.1,84.9,86.9,276
2026-03,northeast,TRN,84.6,83.4,85.4,551
2026-03,northeast,VST,85.1,83.9,85.9,583
2026-03,northeast,AUR,64.8,63.6,65.6,240
2026-03,northeast,MRD,84.2,83.0,85.0,361
2026-03,northeast,NOV,84.3,83.1,85.1,307
2026-03,northeast,LUM,84.5,83.3,85.3,384
2026-03,southeast,TRN,85.7,84.5,86.5,583
2026-03,southeast,VST,85.8,84.6,86.6,618
2026-03,southeast,AUR,73.2,72.0,74.0,188
2026-03,southeast,MRD,86.2,85.0,87.0,382
2026-03,southeast,NOV,85.4,84.2,86.2,325
2026-03,southeast,LUM,86.2,85.0,87.0,301
