ym,zone_id,model_id,csi_score,csi_sales_exp,csi_service_exp,resp_cnt
2026-06,west,TRN,87.1,85.9,87.9,729
2026-06,west,VST,87.3,86.1,88.1,835
2026-06,west,AUR,82.5,81.3,83.3,364
2026-06,west,MRD,87.9,86.7,88.7,523
2026-06,west,NOV,87.7,86.5,88.5,418
2026-06,west,LUM,87.3,86.1,88.1,596
2026-06,central,TRN,87.4,86.2,88.2,476
2026-06,central,VST,88.0,86.8,88.8,546
2026-06,central,AUR,85.1,83.9,85.9,132
2026-06,central,MRD,87.8,86.6,88.6,342
2026-06,central,NOV,87.8,86.6,88.6,273
2026-06,central,LUM,88.0,86.8,88.8,216
2026-06,south,TRN,87.9,86.7,88.7,617
2026-06,south,VST,87.6,86.4,88.4,707
2026-06,south,AUR,84.8,83.6,85.6,171
2026-06,south,MRD,88.0,86.8,88.8,443
2026-06,south,NOV,88.7,87.5,89.5,353
2026-06,south,LUM,88.2,87.0,89.0,280
2026-06,northeast,TRN,87.4,86.2,88.2,476
2026-06,northeast,VST,87.6,86.4,88.4,546
2026-06,northeast,AUR,82.6,81.4,83.4,238
2026-06,northeast,MRD,88.2,87.0,89.0,342
2026-06,northeast,NOV,87.7,86.5,88.5,273
2026-06,northeast,LUM,87.3,86.1,88.1,389
2026-06,southeast,TRN,88.6,87.4,89.4,504
2026-06,southeast,VST,88.0,86.8,88.8,578
2026-06,southeast,AUR,85.4,84.2,86.2,186
2026-06,southeast,MRD,87.6,86.4,88.4,362
2026-06,southeast,NOV,88.5,87.3,89.3,289
2026-06,southeast,LUM,88.2,87.0,89.0,305
