ym,zone_id,model_id,csi_score,csi_sales_exp,csi_service_exp,resp_cnt
2024-04,west,TRN,88.4,87.2,89.2,700
2024-04,west,VST,88.5,87.3,89.3,722
2024-04,west,AUR,88.3,87.1,89.1,283
2024-04,west,MRD,88.0,86.8,88.8,441
2024-04,west,NOV,88.5,87.3,89.3,368
2024-04,west,LUM,88.4,87.2,89.2,459
2024-04,central,TRN,88.6,87.4,89.4,458
2024-04,central,VST,88.4,87.2,89.2,472
2024-04,central,AUR,87.9,86.7,88.7,103
2024-04,central,MRD,87.5,86.3,88.3,288
2024-04,central,NOV,88.7,87.5,89.5,241
2024-04,central,LUM,89.1,87.9,89.9,167
2024-04,south,TRN,88.2,87.0,89.0,593
2024-04,south,VST,88.6,87.4,89.4,611
2024-04,south,AUR,88.7,87.5,89.5,133
2024-04,south,MRD,88.7,87.5,89.5,373
2024-04,south,NOV,88.4,87.2,89.2,312
2024-04,south,LUM,88.7,87.5,89.5,216
2024-04,northeast,TRN,88.7,87.5,89.5,458
2024-04,northeast,VST,88.2,87.0,89.0,472
2024-04,northeast,AUR,88.5,87.3,89.3,185
2024-04,northeast,MRD,87.8,86.6,88.6,288
2024-04,northeast,NOV,88.7,87.5,89.5,241
2024-04,northeast,LUM,88.4,87.2,89.2,300
2024-04,southeast,TRN,87.9,86.7,88.7,485
2024-04,southeast,VST,88.7,87.5,89.5,500
2024-04,southeast,AUR,88.6,87.4,89.4,145
2024-04,southeast,MRD,88.3,87.1,89.1,305
2024-04,southeast,NOV,88.3,87.1,89.1,255
2024-04,southeast,LUM,88.0,86.8,88.8,236
