ym,zone_id,model_id,csi_score,csi_sales_exp,csi_service_exp,resp_cnt
2025-07,west,TRN,88.6,87.4,89.4,707
2025-07,west,VST,88.3,87.1,89.1,766
2025-07,west,AUR,89.0,87.8,89.8,312
2025-07,west,MRD,88.2,87.0,89.0,474
2025-07,west,NOV,89.0,87.8,89.8,366
2025-07,west,LUM,88.3,87.1,89.1,533
2025-07,central,TRN,88.9,87.7,89.7,462
2025-07,central,VST,88.2,87.0,89.0,501
2025-07,central,AUR,88.0,86.8,88.8,113
2025-07,central,MRD,88.8,87.6,89.6,310
2025-07,central,NOV,88.8,87.6,89.6,239
2025-07,central,LUM,87.7,86.5,88.5,193
2025-07,south,TRN,87.8,86.6,88.6,598
2025-07,south,VST,88.4,87.2,89.2,649
2025-07,south,AUR,88.4,87.2,89.2,147
2025-07,south,MRD,88.1,86.9,88.9,401
2025-07,south,NOV,89.0,87.8,89.8,310
2025-07,south,LUM,88.2,87.0,89.0,250
2025-07,northeast,TRN,88.7,87.5,89.5,462
2025-07,northeast,VST,89.1,87.9,89.9,501
2025-07,northeast,AUR,88.8,87.6,89.6,204
2025-07,northeast,MRD,88.7,87.5,89.5,310
2025-07,northeast,NOV,88.4,87.2,89.2,239
2025-07,northeast,LUM,89.1,87.9,89.9,348
2025-07,southeast,TRN,89.0,87.8,89.8,490
2025-07,southeast,VST,88.2,87.0,89.0,531
2025-07,southeast,AUR,88.0,86.8,88.8,160
2025-07,southeast,MRD,88.5,87.3,89.3,328
2025-07,southeast,NOV,88.5,87.3,89.3,254
2025-07,southeast,LUM,89.0,87.8,89.8,273
