ym,zone_id,model_id,csi_score,csi_sales_exp,csi_service_exp,resp_cnt
2025-08,west,TRN,88.3,87.1,89.1,794
2025-08,west,VST,88.1,86.9,88.9,862
2025-08,west,AUR,87.7,86.5,88.5,372
2025-08,west,MRD,87.5,86.3,88.3,527
2025-08,west,NOV,88.5,87.3,89.3,442
2025-08,west,LUM,88.2,87.0,89.0,613
2025-08,central,TRN,88.6,87.4,89.4,519
2025-08,central,VST,88.6,87.4,89.4,564
2025-08,central,AUR,88.4,87.2,89.2,135
2025-08,central,MRD,88.3,87.1,89.1,344
2025-08,central,NOV,89.3,88.1,90.1,289
2025-08,central,LUM,88.8,87.6,89.6,223
2025-08,south,TRN,88.6,87.4,89.4,672
2025-08,south,VST,88.2,87.0,89.0,729
2025-08,south,AUR,88.0,86.8,88.8,175
2025-08,south,MRD,87.8,86.6,88.6,446
2025-08,south,NOV,89.2,88.0,90.0,374
2025-08,south,LUM,88.9,87.7,89.7,288
2025-08,northeast,TRN,88.6,87.4,89.4,519
2025-08,northeast,VST,88.5,87.3,89.3,564
2025-08,northeast,AUR,88.3,87.1,89.1,243
2025-08,northeast,MRD,88.6,87.4,89.4,344
2025-08,northeast,NOV,88.2,87.0,89.0,289
2025-08,northeast,LUM,88.1,86.9,88.9,401
2025-08,southeast,TRN,87.8,86.6,88.6,550
2025-08,southeast,VST,89.3,88.1,90.1,597
2025-08,southeast,AUR,88.3,87.1,89.1,191
2025-08,southeast,MRD,87.6,86.4,88.4,365
2025-08,southeast,NOV,88.5,87.3,89.3,306
2025-08,southeast,LUM,88.4,87.2,89.2,314
