ym,zone_id,model_id,csi_score,csi_sales_exp,csi_service_exp,resp_cnt
2024-01,west,TRN,88.4,87.2,89.2,592
2024-01,west,VST,89.4,88.2,90.2,617
2024-01,west,AUR,87.8,86.6,88.6,243
2024-01,west,MRD,88.9,87.7,89.7,362
2024-01,west,NOV,88.2,87.0,89.0,303
2024-01,west,LUM,88.6,87.4,89.4,412
2024-01,central,TRN,89.0,87.8,89.8,387
2024-01,central,VST,89.0,87.8,89.8,403
2024-01,central,AUR,88.4,87.2,89.2,88
2024-01,central,MRD,88.8,87.6,89.6,237
2024-01,central,NOV,88.9,87.7,89.7,198
2024-01,central,LUM,88.8,87.6,89.6,150
2024-01,south,TRN,87.5,86.3,88.3,501
2024-01,south,VST,88.7,87.5,89.5,522
2024-01,south,AUR,88.9,87.7,89.7,114
2024-01,south,MRD,88.4,87.2,89.2,306
2024-01,south,NOV,87.9,86.7,88.7,257
2024-01,south,LUM,87.5,86.3,88.3,194
2024-01,northeast,TRN,89.0,87.8,89.8,387
2024-01,northeast,VST,89.3,88.1,90.1,403
2024-01,northeast,AUR,88.5,87.3,89.3,159
2024-01,northeast,MRD,88.3,87.1,89.1,237
2024-01,northeast,NOV,88.3,87.1,89.1,198
2024-01,northeast,LUM,88.4,87.2,89.2,269
2024-01,southeast,TRN,88.7,87.5,89.5,410
2024-01,southeast,VST,88.6,87.4,89.4,427
2024-01,southeast,AUR,88.8,87.6,89.6,124
2024-01,southeast,MRD,87.7,86.5,88.5,251
2024-01,southeast,NOV,87.9,86.7,88.7,210
2024-01,southeast,LUM,89.2,88.0,90.0,211
