ym,zone_id,model_id,csi_score,csi_sales_exp,csi_service_exp,resp_cnt
2026-01,west,TRN,88.3,87.1,89.1,679
2026-01,west,VST,88.4,87.2,89.2,715
2026-01,west,AUR,88.5,87.3,89.3,307
2026-01,west,MRD,88.2,87.0,89.0,454
2026-01,west,NOV,89.0,87.8,89.8,360
2026-01,west,LUM,88.6,87.4,89.4,522
2026-01,central,TRN,88.2,87.0,89.0,444
2026-01,central,VST,89.1,87.9,89.9,467
2026-01,central,AUR,88.2,87.0,89.0,111
2026-01,central,MRD,88.3,87.1,89.1,297
2026-01,central,NOV,88.1,86.9,88.9,235
2026-01,central,LUM,88.2,87.0,89.0,190
2026-01,south,TRN,88.2,87.0,89.0,575
2026-01,south,VST,88.3,87.1,89.1,605
2026-01,south,AUR,88.7,87.5,89.5,144
2026-01,south,MRD,88.3,87.1,89.1,384
2026-01,south,NOV,88.7,87.5,89.5,304
2026-01,south,LUM,88.9,87.7,89.7,246
2026-01,northeast,TRN,88.5,87.3,89.3,444
2026-01,northeast,VST,89.3,88.1,90.1,467
2026-01,northeast,AUR,89.1,87.9,89.9,201
2026-01,northeast,MRD,88.4,87.2,89.2,297
2026-01,northeast,NOV,88.4,87.2,89.2,235
2026-01,northeast,LUM,88.5,87.3,89.3,342
2026-01,southeast,TRN,88.5,87.3,89.3,470
2026-01,southeast,VST,89.3,88.1,90.1,495
2026-01,southeast,AUR,88.0,86.8,88.8,157
2026-01,southeast,MRD,89.1,87.9,89.9,314
2026-01,southeast,NOV,88.9,87.7,89.7,249
2026-01,southeast,LUM,88.7,87.5,89.5,268
