ym,zone_id,model_id,csi_score,csi_sales_exp,csi_service_exp,resp_cnt
2025-10,west,TRN,88.0,86.8,88.8,693
2025-10,west,VST,88.8,87.6,89.6,734
2025-10,west,AUR,88.9,87.7,89.7,314
2025-10,west,MRD,88.9,87.7,89.7,502
2025-10,west,NOV,87.6,86.4,88.4,379
2025-10,west,LUM,88.9,87.7,89.7,509
2025-10,central,TRN,88.6,87.4,89.4,453
2025-10,central,VST,88.4,87.2,89.2,480
2025-10,central,AUR,88.5,87.3,89.3,114
2025-10,central,MRD,88.5,87.3,89.3,328
2025-10,central,NOV,88.4,87.2,89.2,248
2025-10,central,LUM,88.3,87.1,89.1,185
2025-10,south,TRN,88.7,87.5,89.5,586
2025-10,south,VST,87.9,86.7,88.7,621
2025-10,south,AUR,88.8,87.6,89.6,148
2025-10,south,MRD,87.9,86.7,88.7,425
2025-10,south,NOV,89.0,87.8,89.8,321
2025-10,south,LUM,88.4,87.2,89.2,239
2025-10,northeast,TRN,88.3,87.1,89.1,453
2025-10,northeast,VST,88.6,87.4,89.4,480
2025-10,northeast,AUR,89.2,88.0,90.0,205
2025-10,northeast,MRD,88.3,87.1,89.1,328
2025-10,northeast,NOV,87.9,86.7,88.7,248
2025-10,northeast,LUM,88.7,87.5,89.5,332
2025-10,southeast,TRN,88.4,87.2,89.2,480
2025-10,southeast,VST,88.7,87.5,89.5,508
2025-10,southeast,AUR,88.8,87.6,89.6,161
2025-10,southeast,MRD,88.8,87.6,89.6,348
2025-10,southeast,NOV,88.7,87.5,89.5,262
2025-10,southeast,LUM,88.9,87.7,89.7,261
