ym,zone_id,model_id,csi_score,csi_sales_exp,csi_service_exp,resp_cnt
2026-07,west,TRN,88.5,87.3,89.3,733
2026-07,west,VST,88.6,87.4,89.4,782
2026-07,west,AUR,88.7,87.5,89.5,332
2026-07,west,MRD,88.0,86.8,88.8,513
2026-07,west,NOV,89.1,87.9,89.9,394
2026-07,west,LUM,89.4,88.2,90.2,564
2026-07,central,TRN,88.2,87.0,89.0,479
2026-07,central,VST,88.7,87.5,89.5,511
2026-07,central,AUR,88.7,87.5,89.5,120
2026-07,central,MRD,88.3,87.1,89.1,335
2026-07,central,NOV,89.1,87.9,89.9,258
2026-07,central,LUM,89.4,88.2,90.2,205
2026-07,south,TRN,88.6,87.4,89.4,620
2026-07,south,VST,88.6,87.4,89.4,662
2026-07,south,AUR,88.6,87.4,89.4,156
2026-07,south,MRD,88.4,87.2,89.2,434
2026-07,south,NOV,88.3,87.1,89.1,334
2026-07,south,LUM,88.8,87.6,89.6,265
2026-07,northeast,TRN,88.2,87.0,89.0,479
2026-07,northeast,VST,88.8,87.6,89.6,511
2026-07,northeast,AUR,87.9,86.7,88.7,217
2026-07,northeast,MRD,88.7,87.5,89.5,335
2026-07,northeast,NOV,88.9,87.7,89.7,258
2026-07,northeast,LUM,88.4,87.2,89.2,369
2026-07,southeast,TRN,88.4,87.2,89.2,508
2026-07,southeast,VST,88.8,87.6,89.6,541
2026-07,southeast,AUR,88.6,87.4,89.4,170
2026-07,southeast,MRD,88.7,87.5,89.5,355
2026-07,southeast,NOV,87.9,86.7,88.7,273
2026-07,southeast,LUM,88.5,87.3,89.3,289
