ym,zone_id,model_id,csi_score,csi_sales_exp,csi_service_exp,resp_cnt
2024-11,west,TRN,88.8,87.6,89.6,659
2024-11,west,VST,88.7,87.5,89.5,741
2024-11,west,AUR,88.4,87.2,89.2,308
2024-11,west,MRD,89.0,87.8,89.8,451
2024-11,west,NOV,88.4,87.2,89.2,348
2024-11,west,LUM,87.8,86.6,88.6,478
2024-11,central,TRN,88.5,87.3,89.3,431
2024-11,central,VST,88.4,87.2,89.2,484
2024-11,central,AUR,88.3,87.1,89.1,112
2024-11,central,MRD,88.1,86.9,88.9,295
2024-11,central,NOV,88.2,87.0,89.0,228
2024-11,central,LUM,89.1,87.9,89.9,174
2024-11,south,TRN,88.0,86.8,88.8,557
2024-11,south,VST,88.9,87.7,89.7,627
2024-11,south,AUR,88.7,87.5,89.5,145
2024-11,south,MRD,89.0,87.8,89.8,382
2024-11,south,NOV,88.7,87.5,89.5,295
2024-11,south,LUM,87.9,86.7,88.7,225
2024-11,northeast,TRN,88.9,87.7,89.7,431
2024-11,northeast,VST,88.9,87.7,89.7,484
2024-11,northeast,AUR,88.4,87.2,89.2,202
2024-11,northeast,MRD,88.8,87.6,89.6,295
2024-11,northeast,NOV,88.2,87.0,89.0,228
2024-11,northeast,LUM,88.8,87.6,89.6,313
2024-11,southeast,TRN,88.0,86.8,88.8,456
2024-11,southeast,VST,88.2,87.0,89.0,513
2024-11,southeast,AUR,87.8,86.6,88.6,158
2024-11,southeast,MRD,88.7,87.5,89.5,312
2024-11,southeast,NOV,88.7,87.5,89.5,241
2024-11,southeast,LUM,88.8,87.6,89.6,245
