ym,zone_id,model_id,csi_score,csi_sales_exp,csi_service_exp,resp_cnt
2026-04,west,TRN,85.6,84.4,86.4,760
2026-04,west,VST,85.0,83.8,85.8,831
2026-04,west,AUR,70.2,69.0,71.0,346
2026-04,west,MRD,85.0,83.8,85.8,489
2026-04,west,NOV,84.7,83.5,85.5,427
2026-04,west,LUM,84.9,83.7,85.7,590
2026-04,central,TRN,86.1,84.9,86.9,497
2026-04,central,VST,85.9,84.7,86.7,543
2026-04,central,AUR,77.5,76.3,78.3,126
2026-04,central,MRD,86.4,85.2,87.2,320
2026-04,central,NOV,86.6,85.4,87.4,279
2026-04,central,LUM,86.5,85.3,87.3,214
2026-04,south,TRN,86.0,84.8,86.8,643
2026-04,south,VST,86.5,85.3,87.3,703
2026-04,south,AUR,76.9,75.7,77.7,163
2026-04,south,MRD,86.9,85.7,87.7,414
2026-04,south,NOV,87.0,85.8,87.8,362
2026-04,south,LUM,86.3,85.1,87.1,277
2026-04,northeast,TRN,85.6,84.4,86.4,497
2026-04,northeast,VST,84.9,83.7,85.7,543
2026-04,northeast,AUR,69.8,68.6,70.6,226
2026-04,northeast,MRD,84.8,83.6,85.6,320
2026-04,northeast,NOV,84.6,83.4,85.4,279
2026-04,northeast,LUM,84.6,83.4,85.4,386
2026-04,southeast,TRN,86.5,85.3,87.3,526
2026-04,southeast,VST,86.1,84.9,86.9,575
2026-04,southeast,AUR,76.7,75.5,77.5,178
2026-04,southeast,MRD,86.7,85.5,87.5,338
2026-04,southeast,NOV,86.6,85.4,87.4,296
2026-04,southeast,LUM,87.0,85.8,87.8,303
