ym,zone_id,model_id,csi_score,csi_sales_exp,csi_service_exp,resp_cnt
2024-10,west,TRN,88.6,87.4,89.4,673
2024-10,west,VST,88.3,87.1,89.1,696
2024-10,west,AUR,88.2,87.0,89.0,283
2024-10,west,MRD,88.3,87.1,89.1,436
2024-10,west,NOV,88.4,87.2,89.2,343
2024-10,west,LUM,88.6,87.4,89.4,469
2024-10,central,TRN,88.4,87.2,89.2,440
2024-10,central,VST,88.3,87.1,89.1,455
2024-10,central,AUR,88.1,86.9,88.9,103
2024-10,central,MRD,88.7,87.5,89.5,285
2024-10,central,NOV,88.8,87.6,89.6,224
2024-10,central,LUM,88.5,87.3,89.3,170
2024-10,south,TRN,88.4,87.2,89.2,570
2024-10,south,VST,88.6,87.4,89.4,589
2024-10,south,AUR,88.3,87.1,89.1,133
2024-10,south,MRD,87.6,86.4,88.4,369
2024-10,south,NOV,88.7,87.5,89.5,290
2024-10,south,LUM,87.8,86.6,88.6,220
2024-10,northeast,TRN,88.3,87.1,89.1,440
2024-10,northeast,VST,88.1,86.9,88.9,455
2024-10,northeast,AUR,87.8,86.6,88.6,185
2024-10,northeast,MRD,88.4,87.2,89.2,285
2024-10,northeast,NOV,88.1,86.9,88.9,224
2024-10,northeast,LUM,88.7,87.5,89.5,306
2024-10,southeast,TRN,88.9,87.7,89.7,466
2024-10,southeast,VST,88.1,86.9,88.9,482
2024-10,southeast,AUR,88.6,87.4,89.4,145
2024-10,southeast,MRD,88.6,87.4,89.4,302
2024-10,southeast,NOV,87.9,86.7,88.7,237
2024-10,southeast,LUM,89.2,88.0,90.0,240
