ym,zone_id,model_id,csi_score,csi_sales_exp,csi_service_exp,resp_cnt
2025-06,west,TRN,88.4,87.2,89.2,708
2025-06,west,VST,88.6,87.4,89.4,837
2025-06,west,AUR,88.3,87.1,89.1,335
2025-06,west,MRD,88.0,86.8,88.8,485
2025-06,west,NOV,89.4,88.2,90.2,387
2025-06,west,LUM,88.1,86.9,88.9,539
2025-06,central,TRN,88.6,87.4,89.4,463
2025-06,central,VST,88.4,87.2,89.2,547
2025-06,central,AUR,88.8,87.6,89.6,122
2025-06,central,MRD,88.1,86.9,88.9,317
2025-06,central,NOV,88.8,87.6,89.6,253
2025-06,central,LUM,87.7,86.5,88.5,196
2025-06,south,TRN,88.5,87.3,89.3,599
2025-06,south,VST,88.6,87.4,89.4,708
2025-06,south,AUR,88.7,87.5,89.5,157
2025-06,south,MRD,88.7,87.5,89.5,410
2025-06,south,NOV,88.5,87.3,89.3,327
2025-06,south,LUM,88.6,87.4,89.4,253
2025-06,northeast,TRN,88.4,87.2,89.2,463
2025-06,northeast,VST,88.3,87.1,89.1,547
2025-06,northeast,AUR,89.1,87.9,89.9,219
2025-06,northeast,MRD,89.2,88.0,90.0,317
2025-06,northeast,NOV,89.1,87.9,89.9,253
2025-06,northeast,LUM,88.5,87.3,89.3,352
2025-06,southeast,TRN,88.3,87.1,89.1,490
2025-06,southeast,VST,89.3,88.1,90.1,579
2025-06,southeast,AUR,88.6,87.4,89.4,172
2025-06,southeast,MRD,88.6,87.4,89.4,336
2025-06,southeast,NOV,89.2,88.0,90.0,268
2025-06,southeast,LUM,88.3,87.1,89.1,276
