ym,zone_id,model_id,csi_score,csi_sales_exp,csi_service_exp,resp_cnt
2025-03,west,TRN,88.9,87.7,89.7,785
2025-03,west,VST,88.4,87.2,89.2,829
2025-03,west,AUR,89.2,88.0,90.0,372
2025-03,west,MRD,88.6,87.4,89.4,524
2025-03,west,NOV,88.9,87.7,89.7,418
2025-03,west,LUM,88.2,87.0,89.0,556
2025-03,central,TRN,88.3,87.1,89.1,513
2025-03,central,VST,88.9,87.7,89.7,542
2025-03,central,AUR,88.8,87.6,89.6,135
2025-03,central,MRD,88.6,87.4,89.4,343
2025-03,central,NOV,88.9,87.7,89.7,273
2025-03,central,LUM,88.6,87.4,89.4,202
2025-03,south,TRN,88.6,87.4,89.4,664
2025-03,south,VST,88.1,86.9,88.9,702
2025-03,south,AUR,88.7,87.5,89.5,175
2025-03,south,MRD,88.0,86.8,88.8,444
2025-03,south,NOV,88.4,87.2,89.2,354
2025-03,south,LUM,88.0,86.8,88.8,261
2025-03,northeast,TRN,89.1,87.9,89.9,513
2025-03,northeast,VST,88.6,87.4,89.4,542
2025-03,northeast,AUR,88.3,87.1,89.1,243
2025-03,northeast,MRD,88.3,87.1,89.1,343
2025-03,northeast,NOV,88.9,87.7,89.7,273
2025-03,northeast,LUM,88.1,86.9,88.9,364
2025-03,southeast,TRN,88.6,87.4,89.4,544
2025-03,southeast,VST,88.9,87.7,89.7,574
2025-03,southeast,AUR,88.1,86.9,88.9,191
2025-03,southeast,MRD,88.4,87.2,89.2,363
2025-03,southeast,NOV,88.0,86.8,88.8,289
2025-03,southeast,LUM,89.3,88.1,90.1,285
