ws_ym,vin,zone_id,wholesale_price_usd,variable_margin_usd,freight_usd
2025-06,VF3TSACXSU0021396,west,57502,5271,380
2025-06,VF3TPAGXSU0021397,southeast,50440,4624,380
2025-06,VF3TPADXSU0021398,west,50440,4624,380
2025-06,VF3TPAEXSU0021399,central,50440,4624,380
2025-06,VF3TPABXSU0021400,west,50440,4624,380
2025-06,VF3TCABXSU0021401,northeast,46405,4254,380
2025-06,VF3TSFAXSU0021402,central,57502,5271,380
2025-06,VF3TSAEXSU0021403,northeast,57502,5271,380
2025-06,VF3TPADXSU0021404,northeast,50440,4624,380
2025-06,VF3TSADXSU0021405,west,57502,5271,380
2025-06,VF3TSFHXSU0021406,southeast,57502,5271,380
2025-06,VF3TPFAXSU0021407,northeast,50440,4624,380
2025-06,VF3TPADXSU0021408,south,50440,4624,380
2025-06,VF3TPABXSU0021409,southeast,50440,4624,380
2025-06,VF3TCADXSU0021410,central,46405,4254,380
2025-06,VF3TPFAXSU0021411,southeast,50440,4624,380
2025-06,VF3TCABXSU0021412,northeast,46405,4254,380
2025-06,VF3TCACXSU0021413,west,46405,4254,380
2025-06,VF3TCFDXSU0021414,west,46405,4254,380
2025-06,VF3TPAFXSU0021415,west,50440,4624,380
2025-06,VF3TSACXSU0021416,west,57502,5271,380
2025-06,VF3TCACXSU0021417,south,46405,4254,380
2025-06,VF3TPABXSU0021418,south,50440,4624,380
2025-06,VF3TPFAXSU0021419,west,50440,4624,380
2025-06,VF3TPAEXSU0021420,northeast,50440,4624,380
2025-06,VF3TPAAXSU0021421,west,50440,4624,380
2025-06,VF3TCAAXSU0021422,south,46405,4254,380
2025-06,VF3TCACXSU0021423,west,46405,4254,380
2025-06,VF3TSAAXSU0021424,northeast,57502,5271,380
2025-06,VF3TCAAXSU0021425,southeast,46405,4254,380
2025-06,VF3TPFEXSU0021426,south,50440,4624,380
2025-06,VF3TCACXSU0021427,southeast,46405,4254,380
2025-06,VF3TCFFXSU0021428,west,46405,4254,380
2025-06,VF3TCFEXSU0021429,south,46405,4254,380
2025-06,VF3TCFBXSU0021430,southeast,46405,4254,380
2025-06,VF3TCFCXSU0021431,south,46405,4254,380
2025-06,VF3TCAAXSU0021432,northeast,46405,4254,380
2025-06,VF3TSAAXSU0021433,west,57502,5271,380
2025-06,VF3TCFBXSU0021434,south,46405,4254,380
2025-06,VF3TSABXSU0021435,central,57502,5271,380
2025-06,VF3TCABXSU0021436,west,46405,4254,380
2025-06,VF3TCACXSU0021437,southeast,46405,4254,380
2025-06,VF3TCAEXSU0021438,west,46405,4254,380
2025-06,VF3TPABXSU0021439,west,50440,4624,380
2025-06,VF3TCAGXSU0021440,west,46405,4254,380
2025-06,VF3TCFDXSU0021441,south,46405,4254,380
2025-06,VF3TPAAXSU0021442,northeast,50440,4624,380
2025-06,VF3TSFAXSU0021443,southeast,57502,5271,380
2025-06,VF3TSACXSU0021444,central,57502,5271,380
2025-06,VF3TSABXSU0021445,south,57502,5271,380
2025-06,VF3TCFCXSU0021446,south,46405,4254,380
2025-06,VF3TCFDXSU0021447,southeast,46405,4254,380
2025-06,VF3TCADXSU0021448,west,46405,4254,380
2025-06,VF3TSABXSU0021449,west,57502,5271,380
2025-06,VF3TSAHXSU0021450,central,57502,5271,380
2025-06,VF3TPFAXSU0021451,south,50440,4624,380
2025-06,VF3TCADXSU0021452,south,46405,4254,380
2025-06,VF3TPFCXSU0021453,central,50440,4624,380
2025-06,VF3TSABXSU0021454,west,57502,5271,380
2025-06,VF3TSFHXSU0021455,south,57502,5271,380
2025-06,VF3TPAAXSU0021456,southeast,50440,4624,380
2025-06,VF3TCFDXSU0021457,southeast,46405,4254,380
2025-06,VF3TCAGXSU0021458,central,46405,4254,380
2025-06,VF3TSAAXSU0021459,south,57502,5271,380
2025-06,VF3TPACXSU0021460,central,50440,4624,380
2025-06,VF3TSABXSU0021461,southeast,57502,5271,380
2025-06,VF3TSAHXSU0021462,northeast,57502,5271,380
2025-06,VF3TPFBXSU0021463,northeast,50440,4624,380
2025-06,VF3TCFGXSU0021464,south,46405,4254,380
2025-06,VF3TPAFXSU0021465,west,50440,4624,380
2025-06,VF3TSABXSU0021466,west,57502,5271,380
2025-06,VF3TSAAXSU0021467,central,57502,5271,380
2025-06,VF3TPADXSU0021468,west,50440,4624,380
2025-06,VF3TSFGXSU0021469,south,57502,5271,380
2025-06,VF3TPFAXSU0021470,southeast,50440,4624,380
2025-06,VF3TPAHXSU0021471,southeast,50440,4624,380
2025-06,VF3TPAAXSU0021472,northeast,50440,4624,380
2025-06,VF3TSFGXSU0021473,southeast,57502,5271,380
2025-06,VF3TPACXSU0021474,south,50440,4624,380
2025-06,VF3TPAHXSU0021475,southeast,50440,4624,380
2025-06,VF3TPAHXSU0021476,west,50440,4624,380
2025-06,VF3TPFBXSU0021477,west,50440,4624,380
2025-06,VF3TCAFXSU0021478,west,46405,4254,380
2025-06,VF3TCFCXSU0021479,southeast,46405,4254,380
2025-06,VF3TPFFXSU0021480,southeast,50440,4624,380
2025-06,VF3TPAAXSU0021481,northeast,50440,4624,380
2025-06,VF3TPACXSU0021482,northeast,50440,4624,380
2025-06,VF3TPABXSU0021483,central,50440,4624,380
2025-06,VF3TCABXSU0021484,southeast,46405,4254,380
2025-06,VF3TPFBXSU0021485,south,50440,4624,380
2025-06,VF3TCFBXSU0021486,west,46405,4254,380
2025-06,VF3TCACXSU0021487,southeast,46405,4254,380
2025-06,VF3TPACXSU0021488,south,50440,4624,380
2025-06,VF3TPFEXSU0021489,southeast,50440,4624,380
2025-06,VF3TCABXSU0021490,central,46405,4254,380
2025-06,VF3TPADXSU0021491,west,50440,4624,380
2025-06,VF3TPFBXSU0021492,west,50440,4624,380
2025-06,VF3TPFBXSU0021493,southeast,50440,4624,380
2025-06,VF3TPAFXSU0021494,southeast,50440,4624,380
2025-06,VF3TCACXSU0021495,central,46405,4254,380
2025-06,VF3TPABXSU0021496,south,50440,4624,380
2025-06,VF3TCAAXSU0021497,northeast,46405,4254,380
2025-06,VF3TCADXSU0021498,central,46405,4254,380
2025-06,VF3TPFHXSU0021499,south,50440,4624,380
2025-06,VF3TCFEXSU0021500,southeast,46405,4254,380
2025-06,VF3TCABXSU0021501,northeast,46405,4254,380
2025-06,VF3TSFCXSU0021502,southeast,57502,5271,380
2025-06,VF3TSFDXSU0021503,south,57502,5271,380
2025-06,VF3TPADXSU0021504,northeast,50440,4624,380
2025-06,VF3TPFBXSU0021505,southeast,50440,4624,380
2025-06,VF3TPFFXSU0021506,southeast,50440,4624,380
2025-06,VF3TPFAXSU0021507,northeast,50440,4624,380
2025-06,VF3TCAEXSU0021508,southeast,46405,4254,380
2025-06,VF3TPAFXSU0021509,south,50440,4624,380
2025-06,VF3TPFCXSU0021510,south,50440,4624,380
2025-06,VF3TPAAXSU0021511,northeast,50440,4624,380
2025-06,VF3TCABXSU0021512,southeast,46405,4254,380
2025-06,VF3TPAEXSU0021513,west,50440,4624,380
2025-06,VF3TCFAXSU0021514,south,46405,4254,380
2025-06,VF3TCACXSU0021515,west,46405,4254,380
2025-06,VF3TCACXSU0021516,west,46405,4254,380
2025-06,VF3TSFAXSU0021517,south,57502,5271,380
2025-06,VF3TPADXSU0021518,west,50440,4624,380
2025-06,VF3TCFBXSU0021519,west,46405,4254,380
