ym_order,model_id,zone_id,trim_id,color,retail_ma3,stock_qty,ds_days,dos_weight,order_qty,prod_ym
2025-03,TRN,west,TRN-CO,스노우 화이트,352.4,742,64.0,0.94,372,2025-03
2025-03,TRN,west,TRN-CO,미드나잇 블랙,279.0,588,64.0,0.94,294,2025-03
2025-03,TRN,west,TRN-CO,스틸 그레이,234.9,495,64.0,0.94,248,2025-03
2025-03,TRN,west,TRN-CO,실버,190.9,402,64.0,0.94,201,2025-03
2025-03,TRN,west,TRN-CO,오션 블루,146.8,309,64.0,0.94,155,2025-03
2025-03,TRN,west,TRN-CO,선셋 레드,117.5,247,64.0,0.94,124,2025-03
2025-03,TRN,west,TRN-CO,포레스트 그린,73.4,155,64.0,0.94,77,2025-03
2025-03,TRN,west,TRN-CO,샌드 베이지,73.4,155,64.0,0.94,77,2025-03
2025-03,TRN,west,TRN-PR,스노우 화이트,408.0,859,64.0,0.94,430,2025-03
2025-03,TRN,west,TRN-PR,미드나잇 블랙,323.0,680,64.0,0.94,341,2025-03
2025-03,TRN,west,TRN-PR,스틸 그레이,272.0,573,64.0,0.94,287,2025-03
2025-03,TRN,west,TRN-PR,실버,221.0,465,64.0,0.94,233,2025-03
2025-03,TRN,west,TRN-PR,오션 블루,170.0,358,64.0,0.94,179,2025-03
2025-03,TRN,west,TRN-PR,선셋 레드,136.0,286,64.0,0.94,143,2025-03
2025-03,TRN,west,TRN-PR,포레스트 그린,85.0,179,64.0,0.94,90,2025-03
2025-03,TRN,west,TRN-PR,샌드 베이지,85.0,179,64.0,0.94,90,2025-03
2025-03,TRN,west,TRN-SU,스노우 화이트,166.9,352,64.0,0.94,176,2025-03
2025-03,TRN,west,TRN-SU,미드나잇 블랙,132.1,278,64.0,0.94,139,2025-03
2025-03,TRN,west,TRN-SU,스틸 그레이,111.3,234,64.0,0.94,117,2025-03
2025-03,TRN,west,TRN-SU,실버,90.4,190,64.0,0.94,95,2025-03
2025-03,TRN,west,TRN-SU,오션 블루,69.5,146,64.0,0.94,73,2025-03
2025-03,TRN,west,TRN-SU,선셋 레드,55.6,117,64.0,0.94,59,2025-03
2025-03,TRN,west,TRN-SU,포레스트 그린,34.8,73,64.0,0.94,37,2025-03
2025-03,TRN,west,TRN-SU,샌드 베이지,34.8,73,64.0,0.94,37,2025-03
2025-03,TRN,central,TRN-CO,스노우 화이트,230.4,418,55.1,1.09,282,2025-03
2025-03,TRN,central,TRN-CO,미드나잇 블랙,182.4,331,55.1,1.09,223,2025-03
2025-03,TRN,central,TRN-CO,스틸 그레이,153.6,279,55.1,1.09,188,2025-03
2025-03,TRN,central,TRN-CO,실버,124.8,226,55.1,1.09,153,2025-03
2025-03,TRN,central,TRN-CO,오션 블루,96.0,174,55.1,1.09,118,2025-03
2025-03,TRN,central,TRN-CO,선셋 레드,76.8,139,55.1,1.09,94,2025-03
2025-03,TRN,central,TRN-CO,포레스트 그린,48.0,87,55.1,1.09,59,2025-03
2025-03,TRN,central,TRN-CO,샌드 베이지,48.0,87,55.1,1.09,59,2025-03
2025-03,TRN,central,TRN-PR,스노우 화이트,266.8,484,55.1,1.09,327,2025-03
2025-03,TRN,central,TRN-PR,미드나잇 블랙,211.2,383,55.1,1.09,259,2025-03
2025-03,TRN,central,TRN-PR,스틸 그레이,177.9,323,55.1,1.09,218,2025-03
2025-03,TRN,central,TRN-PR,실버,144.5,262,55.1,1.09,177,2025-03
2025-03,TRN,central,TRN-PR,오션 블루,111.2,202,55.1,1.09,136,2025-03
2025-03,TRN,central,TRN-PR,선셋 레드,88.9,161,55.1,1.09,109,2025-03
2025-03,TRN,central,TRN-PR,포레스트 그린,55.6,101,55.1,1.09,68,2025-03
2025-03,TRN,central,TRN-PR,샌드 베이지,55.6,101,55.1,1.09,68,2025-03
2025-03,TRN,central,TRN-SU,스노우 화이트,109.1,198,55.1,1.09,134,2025-03
2025-03,TRN,central,TRN-SU,미드나잇 블랙,86.4,157,55.1,1.09,106,2025-03
2025-03,TRN,central,TRN-SU,스틸 그레이,72.8,132,55.1,1.09,89,2025-03
