ym_order,model_id,zone_id,trim_id,color,retail_ma3,stock_qty,ds_days,dos_weight,order_qty,prod_ym
2026-05,TRN,west,TRN-CO,스노우 화이트,411.5,835,61.7,0.97,423,2026-05
2026-05,TRN,west,TRN-CO,미드나잇 블랙,325.8,661,61.7,0.97,335,2026-05
2026-05,TRN,west,TRN-CO,스틸 그레이,274.4,556,61.7,0.97,282,2026-05
2026-05,TRN,west,TRN-CO,실버,222.9,452,61.7,0.97,229,2026-05
2026-05,TRN,west,TRN-CO,오션 블루,171.5,348,61.7,0.97,176,2026-05
2026-05,TRN,west,TRN-CO,선셋 레드,137.2,278,61.7,0.97,141,2026-05
2026-05,TRN,west,TRN-CO,포레스트 그린,85.7,174,61.7,0.97,88,2026-05
2026-05,TRN,west,TRN-CO,샌드 베이지,85.7,174,61.7,0.97,88,2026-05
2026-05,TRN,west,TRN-PR,스노우 화이트,476.5,967,61.7,0.97,490,2026-05
2026-05,TRN,west,TRN-PR,미드나잇 블랙,377.3,765,61.7,0.97,388,2026-05
2026-05,TRN,west,TRN-PR,스틸 그레이,317.7,644,61.7,0.97,327,2026-05
2026-05,TRN,west,TRN-PR,실버,258.1,524,61.7,0.97,265,2026-05
2026-05,TRN,west,TRN-PR,오션 블루,198.6,403,61.7,0.97,204,2026-05
2026-05,TRN,west,TRN-PR,선셋 레드,158.8,322,61.7,0.97,163,2026-05
2026-05,TRN,west,TRN-PR,포레스트 그린,99.3,201,61.7,0.97,102,2026-05
2026-05,TRN,west,TRN-PR,샌드 베이지,99.3,201,61.7,0.97,102,2026-05
2026-05,TRN,west,TRN-SU,스노우 화이트,194.9,395,61.7,0.97,200,2026-05
2026-05,TRN,west,TRN-SU,미드나잇 블랙,154.3,313,61.7,0.97,159,2026-05
2026-05,TRN,west,TRN-SU,스틸 그레이,130.0,264,61.7,0.97,134,2026-05
2026-05,TRN,west,TRN-SU,실버,105.6,214,61.7,0.97,109,2026-05
2026-05,TRN,west,TRN-SU,오션 블루,81.2,165,61.7,0.97,83,2026-05
2026-05,TRN,west,TRN-SU,선셋 레드,65.0,132,61.7,0.97,67,2026-05
2026-05,TRN,west,TRN-SU,포레스트 그린,40.6,82,61.7,0.97,42,2026-05
2026-05,TRN,west,TRN-SU,샌드 베이지,40.6,82,61.7,0.97,42,2026-05
2026-05,TRN,central,TRN-CO,스노우 화이트,269.1,470,53.1,1.13,321,2026-05
2026-05,TRN,central,TRN-CO,미드나잇 블랙,213.0,372,53.1,1.13,254,2026-05
2026-05,TRN,central,TRN-CO,스틸 그레이,179.4,313,53.1,1.13,214,2026-05
2026-05,TRN,central,TRN-CO,실버,145.8,255,53.1,1.13,174,2026-05
2026-05,TRN,central,TRN-CO,오션 블루,112.1,196,53.1,1.13,134,2026-05
2026-05,TRN,central,TRN-CO,선셋 레드,89.7,157,53.1,1.13,107,2026-05
2026-05,TRN,central,TRN-CO,포레스트 그린,56.1,98,53.1,1.13,67,2026-05
2026-05,TRN,central,TRN-CO,샌드 베이지,56.1,98,53.1,1.13,67,2026-05
2026-05,TRN,central,TRN-PR,스노우 화이트,311.6,544,53.1,1.13,372,2026-05
2026-05,TRN,central,TRN-PR,미드나잇 블랙,246.7,431,53.1,1.13,294,2026-05
2026-05,TRN,central,TRN-PR,스틸 그레이,207.7,363,53.1,1.13,248,2026-05
2026-05,TRN,central,TRN-PR,실버,168.8,295,53.1,1.13,201,2026-05
2026-05,TRN,central,TRN-PR,오션 블루,129.8,227,53.1,1.13,155,2026-05
2026-05,TRN,central,TRN-PR,선셋 레드,103.9,181,53.1,1.13,124,2026-05
2026-05,TRN,central,TRN-PR,포레스트 그린,64.9,113,53.1,1.13,77,2026-05
2026-05,TRN,central,TRN-PR,샌드 베이지,64.9,113,53.1,1.13,77,2026-05
2026-05,TRN,central,TRN-SU,스노우 화이트,127.5,223,53.1,1.13,152,2026-05
2026-05,TRN,central,TRN-SU,미드나잇 블랙,100.9,176,53.1,1.13,120,2026-05
2026-05,TRN,central,TRN-SU,스틸 그레이,85.0,148,53.1,1.13,101,2026-05
2026-05,TRN,central,TRN-SU,실버,69.0,121,53.1,1.13,82,2026-05
2026-05,TRN,central,TRN-SU,오션 블루,53.1,93,53.1,1.13,63,2026-05
2026-05,TRN,central,TRN-SU,선셋 레드,42.5,74,53.1,1.13,51,2026-05
2026-05,TRN,central,TRN-SU,포레스트 그린,26.6,46,53.1,1.13,32,2026-05
2026-05,TRN,central,TRN-SU,샌드 베이지,26.6,46,53.1,1.13,32,2026-05
2026-05,TRN,south,TRN-CO,스노우 화이트,348.2,680,59.4,1.01,372,2026-05
2026-05,TRN,south,TRN-CO,미드나잇 블랙,275.7,538,59.4,1.01,294,2026-05
2026-05,TRN,south,TRN-CO,스틸 그레이,232.2,453,59.4,1.01,248,2026-05
2026-05,TRN,south,TRN-CO,실버,188.6,368,59.4,1.01,201,2026-05
2026-05,TRN,south,TRN-CO,오션 블루,145.1,283,59.4,1.01,155,2026-05
2026-05,TRN,south,TRN-CO,선셋 레드,116.1,227,59.4,1.01,124,2026-05
2026-05,TRN,south,TRN-CO,포레스트 그린,72.5,142,59.4,1.01,77,2026-05
2026-05,TRN,south,TRN-CO,샌드 베이지,72.5,142,59.4,1.01,77,2026-05
2026-05,TRN,south,TRN-PR,스노우 화이트,403.2,788,59.4,1.01,430,2026-05
2026-05,TRN,south,TRN-PR,미드나잇 블랙,319.2,623,59.4,1.01,341,2026-05
2026-05,TRN,south,TRN-PR,스틸 그레이,268.8,525,59.4,1.01,287,2026-05
2026-05,TRN,south,TRN-PR,실버,218.4,427,59.4,1.01,233,2026-05
2026-05,TRN,south,TRN-PR,오션 블루,168.0,328,59.4,1.01,179,2026-05
2026-05,TRN,south,TRN-PR,선셋 레드,134.4,263,59.4,1.01,143,2026-05
2026-05,TRN,south,TRN-PR,포레스트 그린,84.0,164,59.4,1.01,90,2026-05
2026-05,TRN,south,TRN-PR,샌드 베이지,84.0,164,59.4,1.01,90,2026-05
2026-05,TRN,south,TRN-SU,스노우 화이트,165.0,322,59.4,1.01,176,2026-05
2026-05,TRN,south,TRN-SU,미드나잇 블랙,130.6,255,59.4,1.01,139,2026-05
2026-05,TRN,south,TRN-SU,스틸 그레이,110.0,215,59.4,1.01,117,2026-05
2026-05,TRN,south,TRN-SU,실버,89.3,175,59.4,1.01,95,2026-05
2026-05,TRN,south,TRN-SU,오션 블루,68.7,134,59.4,1.01,73,2026-05
2026-05,TRN,south,TRN-SU,선셋 레드,55.0,107,59.4,1.01,59,2026-05
2026-05,TRN,south,TRN-SU,포레스트 그린,34.4,67,59.4,1.01,37,2026-05
2026-05,TRN,south,TRN-SU,샌드 베이지,34.4,67,59.4,1.01,37,2026-05
2026-05,TRN,northeast,TRN-CO,스노우 화이트,269.1,455,51.4,1.17,332,2026-05
2026-05,TRN,northeast,TRN-CO,미드나잇 블랙,213.0,360,51.4,1.17,263,2026-05
2026-05,TRN,northeast,TRN-CO,스틸 그레이,179.4,303,51.4,1.17,221,2026-05
2026-05,TRN,northeast,TRN-CO,실버,145.8,246,51.4,1.17,180,2026-05
2026-05,TRN,northeast,TRN-CO,오션 블루,112.1,190,51.4,1.17,138,2026-05
