ym_order,model_id,zone_id,trim_id,color,retail_ma3,stock_qty,ds_days,dos_weight,order_qty,prod_ym
2025-07,TRN,west,TRN-CO,스노우 화이트,370.3,784,64.4,0.93,331,2025-07
2025-07,TRN,west,TRN-CO,미드나잇 블랙,293.2,621,64.4,0.93,262,2025-07
2025-07,TRN,west,TRN-CO,스틸 그레이,246.9,523,64.4,0.93,221,2025-07
2025-07,TRN,west,TRN-CO,실버,200.6,425,64.4,0.93,179,2025-07
2025-07,TRN,west,TRN-CO,오션 블루,154.3,327,64.4,0.93,138,2025-07
2025-07,TRN,west,TRN-CO,선셋 레드,123.4,261,64.4,0.93,110,2025-07
2025-07,TRN,west,TRN-CO,포레스트 그린,77.2,163,64.4,0.93,69,2025-07
2025-07,TRN,west,TRN-CO,샌드 베이지,77.2,163,64.4,0.93,69,2025-07
2025-07,TRN,west,TRN-PR,스노우 화이트,428.8,908,64.4,0.93,383,2025-07
2025-07,TRN,west,TRN-PR,미드나잇 블랙,339.5,719,64.4,0.93,304,2025-07
2025-07,TRN,west,TRN-PR,스틸 그레이,285.9,605,64.4,0.93,256,2025-07
2025-07,TRN,west,TRN-PR,실버,232.3,492,64.4,0.93,208,2025-07
2025-07,TRN,west,TRN-PR,오션 블루,178.7,378,64.4,0.93,160,2025-07
2025-07,TRN,west,TRN-PR,선셋 레드,142.9,303,64.4,0.93,128,2025-07
2025-07,TRN,west,TRN-PR,포레스트 그린,89.3,189,64.4,0.93,80,2025-07
2025-07,TRN,west,TRN-PR,샌드 베이지,89.3,189,64.4,0.93,80,2025-07
2025-07,TRN,west,TRN-SU,스노우 화이트,175.4,372,64.4,0.93,157,2025-07
2025-07,TRN,west,TRN-SU,미드나잇 블랙,138.9,294,64.4,0.93,124,2025-07
2025-07,TRN,west,TRN-SU,스틸 그레이,117.0,248,64.4,0.93,105,2025-07
2025-07,TRN,west,TRN-SU,실버,95.0,201,64.4,0.93,85,2025-07
2025-07,TRN,west,TRN-SU,오션 블루,73.1,155,64.4,0.93,65,2025-07
2025-07,TRN,west,TRN-SU,선셋 레드,58.5,124,64.4,0.93,52,2025-07
2025-07,TRN,west,TRN-SU,포레스트 그린,36.5,77,64.4,0.93,33,2025-07
2025-07,TRN,west,TRN-SU,샌드 베이지,36.5,77,64.4,0.93,33,2025-07
2025-07,TRN,central,TRN-CO,스노우 화이트,242.2,442,55.4,1.08,251,2025-07
2025-07,TRN,central,TRN-CO,미드나잇 블랙,191.7,350,55.4,1.08,199,2025-07
2025-07,TRN,central,TRN-CO,스틸 그레이,161.4,294,55.4,1.08,168,2025-07
2025-07,TRN,central,TRN-CO,실버,131.2,239,55.4,1.08,136,2025-07
2025-07,TRN,central,TRN-CO,오션 블루,100.9,184,55.4,1.08,105,2025-07
2025-07,TRN,central,TRN-CO,선셋 레드,80.7,147,55.4,1.08,84,2025-07
2025-07,TRN,central,TRN-CO,포레스트 그린,50.4,92,55.4,1.08,52,2025-07
2025-07,TRN,central,TRN-CO,샌드 베이지,50.4,92,55.4,1.08,52,2025-07
2025-07,TRN,central,TRN-PR,스노우 화이트,280.4,511,55.4,1.08,291,2025-07
2025-07,TRN,central,TRN-PR,미드나잇 블랙,222.0,405,55.4,1.08,230,2025-07
2025-07,TRN,central,TRN-PR,스틸 그레이,186.9,341,55.4,1.08,194,2025-07
2025-07,TRN,central,TRN-PR,실버,151.9,277,55.4,1.08,158,2025-07
2025-07,TRN,central,TRN-PR,오션 블루,116.8,213,55.4,1.08,121,2025-07
2025-07,TRN,central,TRN-PR,선셋 레드,93.5,170,55.4,1.08,97,2025-07
2025-07,TRN,central,TRN-PR,포레스트 그린,58.4,107,55.4,1.08,61,2025-07
2025-07,TRN,central,TRN-PR,샌드 베이지,58.4,107,55.4,1.08,61,2025-07
2025-07,TRN,central,TRN-SU,스노우 화이트,114.7,209,55.4,1.08,119,2025-07
2025-07,TRN,central,TRN-SU,미드나잇 블랙,90.8,166,55.4,1.08,94,2025-07
2025-07,TRN,central,TRN-SU,스틸 그레이,76.5,139,55.4,1.08,79,2025-07
2025-07,TRN,central,TRN-SU,실버,62.1,113,55.4,1.08,65,2025-07
2025-07,TRN,central,TRN-SU,오션 블루,47.8,87,55.4,1.08,50,2025-07
2025-07,TRN,central,TRN-SU,선셋 레드,38.2,70,55.4,1.08,40,2025-07
2025-07,TRN,central,TRN-SU,포레스트 그린,23.9,44,55.4,1.08,25,2025-07
2025-07,TRN,central,TRN-SU,샌드 베이지,23.9,44,55.4,1.08,25,2025-07
2025-07,TRN,south,TRN-CO,스노우 화이트,313.4,639,62.0,0.97,291,2025-07
2025-07,TRN,south,TRN-CO,미드나잇 블랙,248.1,506,62.0,0.97,230,2025-07
2025-07,TRN,south,TRN-CO,스틸 그레이,208.9,426,62.0,0.97,194,2025-07
2025-07,TRN,south,TRN-CO,실버,169.7,346,62.0,0.97,158,2025-07
2025-07,TRN,south,TRN-CO,오션 블루,130.6,266,62.0,0.97,121,2025-07
2025-07,TRN,south,TRN-CO,선셋 레드,104.5,213,62.0,0.97,97,2025-07
2025-07,TRN,south,TRN-CO,포레스트 그린,65.3,133,62.0,0.97,61,2025-07
2025-07,TRN,south,TRN-CO,샌드 베이지,65.3,133,62.0,0.97,61,2025-07
2025-07,TRN,south,TRN-PR,스노우 화이트,362.9,740,62.0,0.97,337,2025-07
2025-07,TRN,south,TRN-PR,미드나잇 블랙,287.3,586,62.0,0.97,267,2025-07
2025-07,TRN,south,TRN-PR,스틸 그레이,241.9,493,62.0,0.97,225,2025-07
2025-07,TRN,south,TRN-PR,실버,196.5,401,62.0,0.97,182,2025-07
2025-07,TRN,south,TRN-PR,오션 블루,151.2,308,62.0,0.97,140,2025-07
2025-07,TRN,south,TRN-PR,선셋 레드,121.0,247,62.0,0.97,112,2025-07
2025-07,TRN,south,TRN-PR,포레스트 그린,75.6,154,62.0,0.97,70,2025-07
2025-07,TRN,south,TRN-PR,샌드 베이지,75.6,154,62.0,0.97,70,2025-07
2025-07,TRN,south,TRN-SU,스노우 화이트,148.4,303,62.0,0.97,138,2025-07
2025-07,TRN,south,TRN-SU,미드나잇 블랙,117.5,240,62.0,0.97,109,2025-07
2025-07,TRN,south,TRN-SU,스틸 그레이,99.0,202,62.0,0.97,92,2025-07
2025-07,TRN,south,TRN-SU,실버,80.4,164,62.0,0.97,75,2025-07
2025-07,TRN,south,TRN-SU,오션 블루,61.8,126,62.0,0.97,57,2025-07
2025-07,TRN,south,TRN-SU,선셋 레드,49.5,101,62.0,0.97,46,2025-07
2025-07,TRN,south,TRN-SU,포레스트 그린,30.9,63,62.0,0.97,29,2025-07
2025-07,TRN,south,TRN-SU,샌드 베이지,30.9,63,62.0,0.97,29,2025-07
2025-07,TRN,northeast,TRN-CO,스노우 화이트,242.2,427,53.7,1.12,260,2025-07
2025-07,TRN,northeast,TRN-CO,미드나잇 블랙,191.7,338,53.7,1.12,206,2025-07
2025-07,TRN,northeast,TRN-CO,스틸 그레이,161.4,285,53.7,1.12,173,2025-07
2025-07,TRN,northeast,TRN-CO,실버,131.2,231,53.7,1.12,141,2025-07
2025-07,TRN,northeast,TRN-CO,오션 블루,100.9,178,53.7,1.12,108,2025-07
2025-07,TRN,northeast,TRN-CO,선셋 레드,80.7,142,53.7,1.12,87,2025-07
2025-07,TRN,northeast,TRN-CO,포레스트 그린,50.4,89,53.7,1.12,54,2025-07
2025-07,TRN,northeast,TRN-CO,샌드 베이지,50.4,89,53.7,1.12,54,2025-07
2025-07,TRN,northeast,TRN-PR,스노우 화이트,280.4,495,53.7,1.12,301,2025-07
2025-07,TRN,northeast,TRN-PR,미드나잇 블랙,222.0,392,53.7,1.12,238,2025-07
2025-07,TRN,northeast,TRN-PR,스틸 그레이,186.9,330,53.7,1.12,201,2025-07
2025-07,TRN,northeast,TRN-PR,실버,151.9,268,53.7,1.12,163,2025-07
2025-07,TRN,northeast,TRN-PR,오션 블루,116.8,206,53.7,1.12,125,2025-07
2025-07,TRN,northeast,TRN-PR,선셋 레드,93.5,165,53.7,1.12,100,2025-07
2025-07,TRN,northeast,TRN-PR,포레스트 그린,58.4,103,53.7,1.12,63,2025-07
2025-07,TRN,northeast,TRN-PR,샌드 베이지,58.4,103,53.7,1.12,63,2025-07
2025-07,TRN,northeast,TRN-SU,스노우 화이트,114.7,202,53.7,1.12,123,2025-07
2025-07,TRN,northeast,TRN-SU,미드나잇 블랙,90.8,160,53.7,1.12,97,2025-07
2025-07,TRN,northeast,TRN-SU,스틸 그레이,76.5,135,53.7,1.12,82,2025-07
2025-07,TRN,northeast,TRN-SU,실버,62.1,110,53.7,1.12,67,2025-07
2025-07,TRN,northeast,TRN-SU,오션 블루,47.8,84,53.7,1.12,51,2025-07
2025-07,TRN,northeast,TRN-SU,선셋 레드,38.2,67,53.7,1.12,41,2025-07
2025-07,TRN,northeast,TRN-SU,포레스트 그린,23.9,42,53.7,1.12,26,2025-07
2025-07,TRN,northeast,TRN-SU,샌드 베이지,23.9,42,53.7,1.12,26,2025-07
2025-07,TRN,southeast,TRN-CO,스노우 화이트,256.4,528,62.6,0.96,236,2025-07
2025-07,TRN,southeast,TRN-CO,미드나잇 블랙,203.0,418,62.6,0.96,187,2025-07
2025-07,TRN,southeast,TRN-CO,스틸 그레이,170.9,352,62.6,0.96,157,2025-07
2025-07,TRN,southeast,TRN-CO,실버,138.9,286,62.6,0.96,128,2025-07
2025-07,TRN,southeast,TRN-CO,오션 블루,106.8,220,62.6,0.96,98,2025-07
2025-07,TRN,southeast,TRN-CO,선셋 레드,85.5,176,62.6,0.96,79,2025-07
2025-07,TRN,southeast,TRN-CO,포레스트 그린,53.4,110,62.6,0.96,49,2025-07
2025-07,TRN,southeast,TRN-CO,샌드 베이지,53.4,110,62.6,0.96,49,2025-07
2025-07,TRN,southeast,TRN-PR,스노우 화이트,296.9,611,62.6,0.96,273,2025-07
2025-07,TRN,southeast,TRN-PR,미드나잇 블랙,235.0,484,62.6,0.96,216,2025-07
2025-07,TRN,southeast,TRN-PR,스틸 그레이,197.9,408,62.6,0.96,182,2025-07
2025-07,TRN,southeast,TRN-PR,실버,160.8,331,62.6,0.96,148,2025-07
2025-07,TRN,southeast,TRN-PR,오션 블루,123.7,255,62.6,0.96,114,2025-07
2025-07,TRN,southeast,TRN-PR,선셋 레드,99.0,204,62.6,0.96,91,2025-07
2025-07,TRN,southeast,TRN-PR,포레스트 그린,61.8,127,62.6,0.96,57,2025-07
2025-07,TRN,southeast,TRN-PR,샌드 베이지,61.8,127,62.6,0.96,57,2025-07
2025-07,TRN,southeast,TRN-SU,스노우 화이트,121.5,250,62.6,0.96,112,2025-07
2025-07,TRN,southeast,TRN-SU,미드나잇 블랙,96.1,198,62.6,0.96,88,2025-07
2025-07,TRN,southeast,TRN-SU,스틸 그레이,81.0,167,62.6,0.96,74,2025-07
2025-07,TRN,southeast,TRN-SU,실버,65.8,135,62.6,0.96,60,2025-07
2025-07,TRN,southeast,TRN-SU,오션 블루,50.6,104,62.6,0.96,47,2025-07
2025-07,TRN,southeast,TRN-SU,선셋 레드,40.5,83,62.6,0.96,37,2025-07
