ym,zone_id,model_id,model_year,trim_id,engine,drivetrain,color,retail_qty,wholesale_qty,variable_margin_usd,op_profit_usd,stock_qty,days_supply,csi_score
2026-07,west,TRN,2026,TRN-CO,3.5 가솔린,AWD,스노우 화이트,128,126,536418,222866,266,63,88.5
2026-07,west,TRN,2026,TRN-CO,3.5 가솔린,AWD,미드나잇 블랙,101,100,424664,176436,211,63,88.5
2026-07,west,TRN,2026,TRN-CO,3.5 가솔린,AWD,스틸 그레이,85,84,357612,148577,177,63,88.5
2026-07,west,TRN,2026,TRN-CO,3.5 가솔린,AWD,실버,69,68,290560,120719,144,63,88.5
2026-07,west,TRN,2026,TRN-CO,3.5 가솔린,AWD,오션 블루,53,53,223508,92861,111,63,88.5
2026-07,west,TRN,2026,TRN-CO,3.5 가솔린,AWD,선셋 레드,43,42,178806,74289,89,63,88.5
2026-07,west,TRN,2026,TRN-CO,3.5 가솔린,AWD,포레스트 그린,27,26,111754,46430,55,63,88.5
2026-07,west,TRN,2026,TRN-CO,3.5 가솔린,AWD,샌드 베이지,27,26,111754,46430,55,63,88.5
2026-07,west,TRN,2026,TRN-CO,3.5 가솔린,FWD,스노우 화이트,43,42,178806,74289,89,63,88.5
2026-07,west,TRN,2026,TRN-CO,3.5 가솔린,FWD,미드나잇 블랙,34,33,141555,58812,70,63,88.5
2026-07,west,TRN,2026,TRN-CO,3.5 가솔린,FWD,스틸 그레이,28,28,119204,49526,59,63,88.5
2026-07,west,TRN,2026,TRN-CO,3.5 가솔린,FWD,실버,23,23,96853,40240,48,63,88.5
2026-07,west,TRN,2026,TRN-CO,3.5 가솔린,FWD,오션 블루,18,18,74503,30954,37,63,88.5
2026-07,west,TRN,2026,TRN-CO,3.5 가솔린,FWD,선셋 레드,14,14,59602,24763,30,63,88.5
2026-07,west,TRN,2026,TRN-CO,3.5 가솔린,FWD,포레스트 그린,9,9,37251,15477,18,63,88.5
2026-07,west,TRN,2026,TRN-CO,3.5 가솔린,FWD,샌드 베이지,9,9,37251,15477,18,63,88.5
2026-07,west,TRN,2026,TRN-CO,2.5T 하이브리드,AWD,스노우 화이트,150,148,629708,261625,312,63,88.5
2026-07,west,TRN,2026,TRN-CO,2.5T 하이브리드,AWD,미드나잇 블랙,119,117,498519,207120,247,63,88.5
2026-07,west,TRN,2026,TRN-CO,2.5T 하이브리드,AWD,스틸 그레이,100,99,419806,174417,208,63,88.5
2026-07,west,TRN,2026,TRN-CO,2.5T 하이브리드,AWD,실버,81,80,341092,141714,169,63,88.5
2026-07,west,TRN,2026,TRN-CO,2.5T 하이브리드,AWD,오션 블루,63,62,262379,109011,130,63,88.5
2026-07,west,TRN,2026,TRN-CO,2.5T 하이브리드,AWD,선셋 레드,50,49,209903,87208,104,63,88.5
2026-07,west,TRN,2026,TRN-CO,2.5T 하이브리드,AWD,포레스트 그린,31,31,131189,54505,65,63,88.5
2026-07,west,TRN,2026,TRN-CO,2.5T 하이브리드,AWD,샌드 베이지,31,31,131189,54505,65,63,88.5
2026-07,west,TRN,2026,TRN-CO,2.5T 하이브리드,FWD,스노우 화이트,50,49,209903,87208,104,63,88.5
2026-07,west,TRN,2026,TRN-CO,2.5T 하이브리드,FWD,미드나잇 블랙,40,39,166173,69040,82,63,88.5
2026-07,west,TRN,2026,TRN-CO,2.5T 하이브리드,FWD,스틸 그레이,33,33,139935,58139,69,63,88.5
2026-07,west,TRN,2026,TRN-CO,2.5T 하이브리드,FWD,실버,27,27,113697,47238,56,63,88.5
2026-07,west,TRN,2026,TRN-CO,2.5T 하이브리드,FWD,오션 블루,21,21,87460,36337,43,63,88.5
2026-07,west,TRN,2026,TRN-CO,2.5T 하이브리드,FWD,선셋 레드,17,16,69968,29069,35,63,88.5
2026-07,west,TRN,2026,TRN-CO,2.5T 하이브리드,FWD,포레스트 그린,10,10,43730,18168,22,63,88.5
2026-07,west,TRN,2026,TRN-CO,2.5T 하이브리드,FWD,샌드 베이지,10,10,43730,18168,22,63,88.5
2026-07,west,TRN,2026,TRN-PR,3.5 가솔린,AWD,스노우 화이트,148,146,675126,312065,308,63,88.5
2026-07,west,TRN,2026,TRN-PR,3.5 가솔린,AWD,미드나잇 블랙,117,116,534475,247052,244,63,88.5
2026-07,west,TRN,2026,TRN-PR,3.5 가솔린,AWD,스틸 그레이,99,97,450084,208044,205,63,88.5
2026-07,west,TRN,2026,TRN-PR,3.5 가솔린,AWD,실버,80,79,365693,169035,167,63,88.5
2026-07,west,TRN,2026,TRN-PR,3.5 가솔린,AWD,오션 블루,62,61,281303,130027,128,63,88.5
2026-07,west,TRN,2026,TRN-PR,3.5 가솔린,AWD,선셋 레드,49,49,225042,104022,103,63,88.5
2026-07,west,TRN,2026,TRN-PR,3.5 가솔린,AWD,포레스트 그린,31,30,140651,65014,64,63,88.5
2026-07,west,TRN,2026,TRN-PR,3.5 가솔린,AWD,샌드 베이지,31,30,140651,65014,64,63,88.5
2026-07,west,TRN,2026,TRN-PR,3.5 가솔린,FWD,스노우 화이트,49,49,225042,104022,103,63,88.5
2026-07,west,TRN,2026,TRN-PR,3.5 가솔린,FWD,미드나잇 블랙,39,39,178158,82351,81,63,88.5
2026-07,west,TRN,2026,TRN-PR,3.5 가솔린,FWD,스틸 그레이,33,32,150028,69348,68,63,88.5
2026-07,west,TRN,2026,TRN-PR,3.5 가솔린,FWD,실버,27,26,121898,56345,56,63,88.5
2026-07,west,TRN,2026,TRN-PR,3.5 가솔린,FWD,오션 블루,21,20,93768,43342,43,63,88.5
2026-07,west,TRN,2026,TRN-PR,3.5 가솔린,FWD,선셋 레드,16,16,75014,34674,34,63,88.5
2026-07,west,TRN,2026,TRN-PR,3.5 가솔린,FWD,포레스트 그린,10,10,46884,21671,21,63,88.5
2026-07,west,TRN,2026,TRN-PR,3.5 가솔린,FWD,샌드 베이지,10,10,46884,21671,21,63,88.5
2026-07,west,TRN,2026,TRN-PR,2.5T 하이브리드,AWD,스노우 화이트,174,171,792539,366338,362,63,88.5
2026-07,west,TRN,2026,TRN-PR,2.5T 하이브리드,AWD,미드나잇 블랙,138,136,627427,290017,286,63,88.5
2026-07,west,TRN,2026,TRN-PR,2.5T 하이브리드,AWD,스틸 그레이,116,114,528359,244225,241,63,88.5
2026-07,west,TRN,2026,TRN-PR,2.5T 하이브리드,AWD,실버,94,93,429292,198433,196,63,88.5
2026-07,west,TRN,2026,TRN-PR,2.5T 하이브리드,AWD,오션 블루,73,71,330225,152641,151,63,88.5
2026-07,west,TRN,2026,TRN-PR,2.5T 하이브리드,AWD,선셋 레드,58,57,264180,122113,121,63,88.5
2026-07,west,TRN,2026,TRN-PR,2.5T 하이브리드,AWD,포레스트 그린,36,36,165112,76320,75,63,88.5
2026-07,west,TRN,2026,TRN-PR,2.5T 하이브리드,AWD,샌드 베이지,36,36,165112,76320,75,63,88.5
2026-07,west,TRN,2026,TRN-PR,2.5T 하이브리드,FWD,스노우 화이트,58,57,264180,122113,121,63,88.5
2026-07,west,TRN,2026,TRN-PR,2.5T 하이브리드,FWD,미드나잇 블랙,46,45,209142,96672,95,63,88.5
2026-07,west,TRN,2026,TRN-PR,2.5T 하이브리드,FWD,스틸 그레이,39,38,176120,81408,80,63,88.5
2026-07,west,TRN,2026,TRN-PR,2.5T 하이브리드,FWD,실버,31,31,143097,66144,65,63,88.5
2026-07,west,TRN,2026,TRN-PR,2.5T 하이브리드,FWD,오션 블루,24,24,110075,50880,50,63,88.5
2026-07,west,TRN,2026,TRN-PR,2.5T 하이브리드,FWD,선셋 레드,19,19,88060,40704,40,63,88.5
2026-07,west,TRN,2026,TRN-PR,2.5T 하이브리드,FWD,포레스트 그린,12,12,55037,25440,25,63,88.5
2026-07,west,TRN,2026,TRN-PR,2.5T 하이브리드,FWD,샌드 베이지,12,12,55037,25440,25,63,88.5
2026-07,west,TRN,2026,TRN-SU,3.5 가솔린,AWD,스노우 화이트,61,60,314854,166329,126,63,88.5
2026-07,west,TRN,2026,TRN-SU,3.5 가솔린,AWD,미드나잇 블랙,48,47,249260,131677,100,63,88.5
2026-07,west,TRN,2026,TRN-SU,3.5 가솔린,AWD,스틸 그레이,40,40,209903,110886,84,63,88.5
2026-07,west,TRN,2026,TRN-SU,3.5 가솔린,AWD,실버,33,32,170546,90095,68,63,88.5
2026-07,west,TRN,2026,TRN-SU,3.5 가솔린,AWD,오션 블루,25,25,131189,69304,53,63,88.5
2026-07,west,TRN,2026,TRN-SU,3.5 가솔린,AWD,선셋 레드,20,20,104951,55443,42,63,88.5
2026-07,west,TRN,2026,TRN-SU,3.5 가솔린,AWD,포레스트 그린,13,12,65595,34652,26,63,88.5
2026-07,west,TRN,2026,TRN-SU,3.5 가솔린,AWD,샌드 베이지,13,12,65595,34652,26,63,88.5
2026-07,west,TRN,2026,TRN-SU,3.5 가솔린,FWD,스노우 화이트,20,20,104951,55443,42,63,88.5
2026-07,west,TRN,2026,TRN-SU,3.5 가솔린,FWD,미드나잇 블랙,16,16,83087,43892,33,63,88.5
2026-07,west,TRN,2026,TRN-SU,3.5 가솔린,FWD,스틸 그레이,13,13,69968,36962,28,63,88.5
2026-07,west,TRN,2026,TRN-SU,3.5 가솔린,FWD,실버,11,11,56849,30032,23,63,88.5
2026-07,west,TRN,2026,TRN-SU,3.5 가솔린,FWD,오션 블루,8,8,43730,23101,18,63,88.5
2026-07,west,TRN,2026,TRN-SU,3.5 가솔린,FWD,선셋 레드,7,7,34984,18481,14,63,88.5
2026-07,west,TRN,2026,TRN-SU,3.5 가솔린,FWD,포레스트 그린,4,4,21865,11551,9,63,88.5
2026-07,west,TRN,2026,TRN-SU,3.5 가솔린,FWD,샌드 베이지,4,4,21865,11551,9,63,88.5
2026-07,west,TRN,2026,TRN-SU,2.5T 하이브리드,AWD,스노우 화이트,71,70,369611,195256,148,63,88.5
2026-07,west,TRN,2026,TRN-SU,2.5T 하이브리드,AWD,미드나잇 블랙,56,56,292609,154578,117,63,88.5
2026-07,west,TRN,2026,TRN-SU,2.5T 하이브리드,AWD,스틸 그레이,48,47,246408,130171,99,63,88.5
2026-07,west,TRN,2026,TRN-SU,2.5T 하이브리드,AWD,실버,39,38,200206,105764,80,63,88.5
2026-07,west,TRN,2026,TRN-SU,2.5T 하이브리드,AWD,오션 블루,30,29,154005,81357,62,63,88.5
2026-07,west,TRN,2026,TRN-SU,2.5T 하이브리드,AWD,선셋 레드,24,23,123204,65085,49,63,88.5
2026-07,west,TRN,2026,TRN-SU,2.5T 하이브리드,AWD,포레스트 그린,15,15,77002,40678,31,63,88.5
2026-07,west,TRN,2026,TRN-SU,2.5T 하이브리드,AWD,샌드 베이지,15,15,77002,40678,31,63,88.5
2026-07,west,TRN,2026,TRN-SU,2.5T 하이브리드,FWD,스노우 화이트,24,23,123204,65085,49,63,88.5
2026-07,west,TRN,2026,TRN-SU,2.5T 하이브리드,FWD,미드나잇 블랙,19,19,97536,51526,39,63,88.5
2026-07,west,TRN,2026,TRN-SU,2.5T 하이브리드,FWD,스틸 그레이,16,16,82136,43390,33,63,88.5
2026-07,west,TRN,2026,TRN-SU,2.5T 하이브리드,FWD,실버,13,13,66735,35255,27,63,88.5
2026-07,west,TRN,2026,TRN-SU,2.5T 하이브리드,FWD,오션 블루,10,10,51335,27119,21,63,88.5
2026-07,west,TRN,2026,TRN-SU,2.5T 하이브리드,FWD,선셋 레드,8,8,41068,21695,16,63,88.5
2026-07,west,TRN,2026,TRN-SU,2.5T 하이브리드,FWD,포레스트 그린,5,5,25667,13559,10,63,88.5
2026-07,west,TRN,2026,TRN-SU,2.5T 하이브리드,FWD,샌드 베이지,5,5,25667,13559,10,63,88.5
2026-07,central,TRN,2026,TRN-CO,3.5 가솔린,AWD,스노우 화이트,96,95,403345,167578,200,63,88.5
2026-07,central,TRN,2026,TRN-CO,3.5 가솔린,AWD,미드나잇 블랙,76,75,319315,132666,158,63,88.5
2026-07,central,TRN,2026,TRN-CO,3.5 가솔린,AWD,스틸 그레이,64,63,268897,111719,133,63,88.5
2026-07,central,TRN,2026,TRN-CO,3.5 가솔린,AWD,실버,52,51,218479,90771,108,63,88.5
2026-07,central,TRN,2026,TRN-CO,3.5 가솔린,AWD,오션 블루,40,40,168061,69824,83,63,88.5
2026-07,central,TRN,2026,TRN-CO,3.5 가솔린,AWD,선셋 레드,32,32,134448,55859,67,63,88.5
2026-07,central,TRN,2026,TRN-CO,3.5 가솔린,AWD,포레스트 그린,20,20,84030,34912,42,63,88.5
2026-07,central,TRN,2026,TRN-CO,3.5 가솔린,AWD,샌드 베이지,20,20,84030,34912,42,63,88.5
2026-07,central,TRN,2026,TRN-CO,3.5 가솔린,FWD,스노우 화이트,15,15,64301,26715,32,63,88.5
2026-07,central,TRN,2026,TRN-CO,3.5 가솔린,FWD,미드나잇 블랙,12,12,50905,21150,25,63,88.5
2026-07,central,TRN,2026,TRN-CO,3.5 가솔린,FWD,스틸 그레이,10,10,42868,17810,21,63,88.5
2026-07,central,TRN,2026,TRN-CO,3.5 가솔린,FWD,실버,8,8,34830,14471,17,63,88.5
2026-07,central,TRN,2026,TRN-CO,3.5 가솔린,FWD,오션 블루,6,6,26792,11131,13,63,88.5
2026-07,central,TRN,2026,TRN-CO,3.5 가솔린,FWD,선셋 레드,5,5,21434,8905,11,63,88.5
2026-07,central,TRN,2026,TRN-CO,3.5 가솔린,FWD,포레스트 그린,3,3,13396,5566,7,63,88.5
2026-07,central,TRN,2026,TRN-CO,3.5 가솔린,FWD,샌드 베이지,3,3,13396,5566,7,63,88.5
2026-07,central,TRN,2026,TRN-CO,2.5T 하이브리드,AWD,스노우 화이트,113,111,473492,196722,235,63,88.5
2026-07,central,TRN,2026,TRN-CO,2.5T 하이브리드,AWD,미드나잇 블랙,90,88,374848,155738,186,63,88.5
2026-07,central,TRN,2026,TRN-CO,2.5T 하이브리드,AWD,스틸 그레이,75,74,315662,131148,157,63,88.5
2026-07,central,TRN,2026,TRN-CO,2.5T 하이브리드,AWD,실버,61,60,256475,106558,127,63,88.5
2026-07,central,TRN,2026,TRN-CO,2.5T 하이브리드,AWD,오션 블루,47,46,197288,81968,98,63,88.5
2026-07,central,TRN,2026,TRN-CO,2.5T 하이브리드,AWD,선셋 레드,38,37,157831,65574,78,63,88.5
2026-07,central,TRN,2026,TRN-CO,2.5T 하이브리드,AWD,포레스트 그린,24,23,98644,40984,49,63,88.5
2026-07,central,TRN,2026,TRN-CO,2.5T 하이브리드,AWD,샌드 베이지,24,23,98644,40984,49,63,88.5
2026-07,central,TRN,2026,TRN-CO,2.5T 하이브리드,FWD,스노우 화이트,18,18,75484,31361,37,63,88.5
2026-07,central,TRN,2026,TRN-CO,2.5T 하이브리드,FWD,미드나잇 블랙,14,14,59758,24828,30,63,88.5
2026-07,central,TRN,2026,TRN-CO,2.5T 하이브리드,FWD,스틸 그레이,12,12,50323,20908,25,63,88.5
2026-07,central,TRN,2026,TRN-CO,2.5T 하이브리드,FWD,실버,10,10,40887,16987,20,63,88.5
2026-07,central,TRN,2026,TRN-CO,2.5T 하이브리드,FWD,오션 블루,8,7,31452,13067,16,63,88.5
2026-07,central,TRN,2026,TRN-CO,2.5T 하이브리드,FWD,선셋 레드,6,6,25161,10454,12,63,88.5
2026-07,central,TRN,2026,TRN-CO,2.5T 하이브리드,FWD,포레스트 그린,4,4,15726,6534,8,63,88.5
2026-07,central,TRN,2026,TRN-CO,2.5T 하이브리드,FWD,샌드 베이지,4,4,15726,6534,8,63,88.5
2026-07,central,TRN,2026,TRN-PR,3.5 가솔린,AWD,스노우 화이트,112,110,507643,234649,232,63,88.5
2026-07,central,TRN,2026,TRN-PR,3.5 가솔린,AWD,미드나잇 블랙,88,87,401884,185764,183,63,88.5
