ym,zone_id,model_id,model_year,trim_id,engine,drivetrain,color,retail_qty,wholesale_qty,variable_margin_usd,op_profit_usd,stock_qty,days_supply,csi_score
2024-09,west,TRN,2024,TRN-CO,3.5 가솔린,AWD,스노우 화이트,95,94,401088,160099,200,64,88.5
2024-09,west,TRN,2024,TRN-CO,3.5 가솔린,AWD,미드나잇 블랙,75,75,317528,126745,159,64,88.5
2024-09,west,TRN,2024,TRN-CO,3.5 가솔린,AWD,스틸 그레이,63,63,267392,106732,133,64,88.5
2024-09,west,TRN,2024,TRN-CO,3.5 가솔린,AWD,실버,51,51,217256,86720,108,64,88.5
2024-09,west,TRN,2024,TRN-CO,3.5 가솔린,AWD,오션 블루,40,39,167120,66708,83,64,88.5
2024-09,west,TRN,2024,TRN-CO,3.5 가솔린,AWD,선셋 레드,32,31,133696,53366,67,64,88.5
2024-09,west,TRN,2024,TRN-CO,3.5 가솔린,AWD,포레스트 그린,20,20,83560,33354,42,64,88.5
2024-09,west,TRN,2024,TRN-CO,3.5 가솔린,AWD,샌드 베이지,20,20,83560,33354,42,64,88.5
2024-09,west,TRN,2024,TRN-CO,3.5 가솔린,FWD,스노우 화이트,32,31,133696,53366,67,64,88.5
2024-09,west,TRN,2024,TRN-CO,3.5 가솔린,FWD,미드나잇 블랙,25,25,105843,42248,53,64,88.5
2024-09,west,TRN,2024,TRN-CO,3.5 가솔린,FWD,스틸 그레이,21,21,89131,35577,44,64,88.5
2024-09,west,TRN,2024,TRN-CO,3.5 가솔린,FWD,실버,17,17,72419,28907,36,64,88.5
2024-09,west,TRN,2024,TRN-CO,3.5 가솔린,FWD,오션 블루,13,13,55707,22236,28,64,88.5
2024-09,west,TRN,2024,TRN-CO,3.5 가솔린,FWD,선셋 레드,11,10,44565,17789,22,64,88.5
2024-09,west,TRN,2024,TRN-CO,3.5 가솔린,FWD,포레스트 그린,7,7,27853,11118,14,64,88.5
2024-09,west,TRN,2024,TRN-CO,3.5 가솔린,FWD,샌드 베이지,7,7,27853,11118,14,64,88.5
2024-09,west,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,스노우 화이트,54,54,229553,91629,115,64,88.5
2024-09,west,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,미드나잇 블랙,43,43,181730,72539,91,64,88.5
2024-09,west,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,스틸 그레이,36,36,153036,61086,76,64,88.5
2024-09,west,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,실버,29,29,124341,49632,62,64,88.5
2024-09,west,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,오션 블루,23,22,95647,38179,48,64,88.5
2024-09,west,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,선셋 레드,18,18,76518,30543,38,64,88.5
2024-09,west,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,포레스트 그린,11,11,47824,19089,24,64,88.5
2024-09,west,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,샌드 베이지,11,11,47824,19089,24,64,88.5
2024-09,west,TRN,2024,TRN-CO,2.5T 하이브리드,FWD,스노우 화이트,18,18,76518,30543,38,64,88.5
2024-09,west,TRN,2024,TRN-CO,2.5T 하이브리드,FWD,미드나잇 블랙,14,14,60577,24180,30,64,88.5
2024-09,west,TRN,2024,TRN-CO,2.5T 하이브리드,FWD,스틸 그레이,12,12,51012,20362,25,64,88.5
2024-09,west,TRN,2024,TRN-CO,2.5T 하이브리드,FWD,실버,10,10,41447,16544,21,64,88.5
2024-09,west,TRN,2024,TRN-CO,2.5T 하이브리드,FWD,오션 블루,8,7,31882,12726,16,64,88.5
2024-09,west,TRN,2024,TRN-CO,2.5T 하이브리드,FWD,선셋 레드,6,6,25506,10181,13,64,88.5
2024-09,west,TRN,2024,TRN-CO,2.5T 하이브리드,FWD,포레스트 그린,4,4,15941,6363,8,64,88.5
2024-09,west,TRN,2024,TRN-CO,2.5T 하이브리드,FWD,샌드 베이지,4,4,15941,6363,8,64,88.5
