ym,zone_id,model_id,model_year,trim_id,engine,drivetrain,color,retail_qty,wholesale_qty,variable_margin_usd,op_profit_usd,stock_qty,days_supply,csi_score
2025-06,west,TRN,2025,TRN-CO,3.5 가솔린,AWD,스노우 화이트,152,152,645702,268476,311,62,88.5
2025-06,west,TRN,2025,TRN-CO,3.5 가솔린,AWD,미드나잇 블랙,120,120,511181,212543,246,62,88.5
2025-06,west,TRN,2025,TRN-CO,3.5 가솔린,AWD,스틸 그레이,101,101,430468,178984,207,62,88.5
2025-06,west,TRN,2025,TRN-CO,3.5 가솔린,AWD,실버,82,82,349755,145424,169,62,88.5
2025-06,west,TRN,2025,TRN-CO,3.5 가솔린,AWD,오션 블루,63,63,269042,111865,130,62,88.5
2025-06,west,TRN,2025,TRN-CO,3.5 가솔린,AWD,선셋 레드,51,51,215234,89492,104,62,88.5
2025-06,west,TRN,2025,TRN-CO,3.5 가솔린,AWD,포레스트 그린,32,32,134521,55932,65,62,88.5
2025-06,west,TRN,2025,TRN-CO,3.5 가솔린,AWD,샌드 베이지,32,32,134521,55932,65,62,88.5
2025-06,west,TRN,2025,TRN-CO,3.5 가솔린,FWD,스노우 화이트,51,51,215234,89492,104,62,88.5
2025-06,west,TRN,2025,TRN-CO,3.5 가솔린,FWD,미드나잇 블랙,40,40,170394,70848,82,62,88.5
2025-06,west,TRN,2025,TRN-CO,3.5 가솔린,FWD,스틸 그레이,34,34,143489,59661,69,62,88.5
2025-06,west,TRN,2025,TRN-CO,3.5 가솔린,FWD,실버,27,27,116585,48475,56,62,88.5
2025-06,west,TRN,2025,TRN-CO,3.5 가솔린,FWD,오션 블루,21,21,89681,37288,43,62,88.5
2025-06,west,TRN,2025,TRN-CO,3.5 가솔린,FWD,선셋 레드,17,17,71745,29831,35,62,88.5
2025-06,west,TRN,2025,TRN-CO,3.5 가솔린,FWD,포레스트 그린,11,11,44840,18644,22,62,88.5
2025-06,west,TRN,2025,TRN-CO,3.5 가솔린,FWD,샌드 베이지,11,11,44840,18644,22,62,88.5
2025-06,west,TRN,2025,TRN-CO,2.5T 하이브리드,AWD,스노우 화이트,117,117,499160,207545,241,62,88.5
2025-06,west,TRN,2025,TRN-CO,2.5T 하이브리드,AWD,미드나잇 블랙,93,93,395168,164307,190,62,88.5
2025-06,west,TRN,2025,TRN-CO,2.5T 하이브리드,AWD,스틸 그레이,78,78,332773,138363,160,62,88.5
2025-06,west,TRN,2025,TRN-CO,2.5T 하이브리드,AWD,실버,64,64,270378,112420,130,62,88.5
2025-06,west,TRN,2025,TRN-CO,2.5T 하이브리드,AWD,오션 블루,49,49,207983,86477,100,62,88.5
2025-06,west,TRN,2025,TRN-CO,2.5T 하이브리드,AWD,선셋 레드,39,39,166387,69182,80,62,88.5
2025-06,west,TRN,2025,TRN-CO,2.5T 하이브리드,AWD,포레스트 그린,24,24,103992,43239,50,62,88.5
2025-06,west,TRN,2025,TRN-CO,2.5T 하이브리드,AWD,샌드 베이지,24,24,103992,43239,50,62,88.5
2025-06,west,TRN,2025,TRN-CO,2.5T 하이브리드,FWD,스노우 화이트,39,39,166387,69182,80,62,88.5
2025-06,west,TRN,2025,TRN-CO,2.5T 하이브리드,FWD,미드나잇 블랙,31,31,131723,54769,63,62,88.5
2025-06,west,TRN,2025,TRN-CO,2.5T 하이브리드,FWD,스틸 그레이,26,26,110924,46121,53,62,88.5
2025-06,west,TRN,2025,TRN-CO,2.5T 하이브리드,FWD,실버,21,21,90126,37473,43,62,88.5
2025-06,west,TRN,2025,TRN-CO,2.5T 하이브리드,FWD,오션 블루,16,16,69328,28826,33,62,88.5
2025-06,west,TRN,2025,TRN-CO,2.5T 하이브리드,FWD,선셋 레드,13,13,55462,23061,27,62,88.5
2025-06,west,TRN,2025,TRN-CO,2.5T 하이브리드,FWD,포레스트 그린,8,8,34664,14413,17,62,88.5
2025-06,west,TRN,2025,TRN-CO,2.5T 하이브리드,FWD,샌드 베이지,8,8,34664,14413,17,62,88.5
2025-06,west,TRN,2025,TRN-PR,3.5 가솔린,AWD,스노우 화이트,176,176,812668,375880,360,62,88.5
2025-06,west,TRN,2025,TRN-PR,3.5 가솔린,AWD,미드나잇 블랙,139,139,643362,297572,285,62,88.5
2025-06,west,TRN,2025,TRN-PR,3.5 가솔린,AWD,스틸 그레이,117,117,541779,250587,240,62,88.5
2025-06,west,TRN,2025,TRN-PR,3.5 가솔린,AWD,실버,95,95,440195,203602,195,62,88.5
2025-06,west,TRN,2025,TRN-PR,3.5 가솔린,AWD,오션 블루,73,73,338612,156617,150,62,88.5
2025-06,west,TRN,2025,TRN-PR,3.5 가솔린,AWD,선셋 레드,59,59,270889,125293,120,62,88.5
2025-06,west,TRN,2025,TRN-PR,3.5 가솔린,AWD,포레스트 그린,37,37,169306,78308,75,62,88.5
2025-06,west,TRN,2025,TRN-PR,3.5 가솔린,AWD,샌드 베이지,37,37,169306,78308,75,62,88.5
2025-06,west,TRN,2025,TRN-PR,3.5 가솔린,FWD,스노우 화이트,59,59,270889,125293,120,62,88.5
2025-06,west,TRN,2025,TRN-PR,3.5 가솔린,FWD,미드나잇 블랙,46,46,214454,99191,95,62,88.5
2025-06,west,TRN,2025,TRN-PR,3.5 가솔린,FWD,스틸 그레이,39,39,180593,83529,80,62,88.5
2025-06,west,TRN,2025,TRN-PR,3.5 가솔린,FWD,실버,32,32,146732,67867,65,62,88.5
2025-06,west,TRN,2025,TRN-PR,3.5 가솔린,FWD,오션 블루,24,24,112871,52206,50,62,88.5
2025-06,west,TRN,2025,TRN-PR,3.5 가솔린,FWD,선셋 레드,20,20,90296,41764,40,62,88.5
2025-06,west,TRN,2025,TRN-PR,3.5 가솔린,FWD,포레스트 그린,12,12,56435,26103,25,62,88.5
2025-06,west,TRN,2025,TRN-PR,3.5 가솔린,FWD,샌드 베이지,12,12,56435,26103,25,62,88.5
2025-06,west,TRN,2025,TRN-PR,2.5T 하이브리드,AWD,스노우 화이트,136,136,628233,290574,279,62,88.5
2025-06,west,TRN,2025,TRN-PR,2.5T 하이브리드,AWD,미드나잇 블랙,108,108,497351,230038,220,62,88.5
2025-06,west,TRN,2025,TRN-PR,2.5T 하이브리드,AWD,스틸 그레이,91,91,418822,193716,186,62,88.5
2025-06,west,TRN,2025,TRN-PR,2.5T 하이브리드,AWD,실버,74,74,340293,157394,151,62,88.5
2025-06,west,TRN,2025,TRN-PR,2.5T 하이브리드,AWD,오션 블루,57,57,261764,121073,116,62,88.5
2025-06,west,TRN,2025,TRN-PR,2.5T 하이브리드,AWD,선셋 레드,45,45,209411,96858,93,62,88.5
2025-06,west,TRN,2025,TRN-PR,2.5T 하이브리드,AWD,포레스트 그린,28,28,130882,60536,58,62,88.5
2025-06,west,TRN,2025,TRN-PR,2.5T 하이브리드,AWD,샌드 베이지,28,28,130882,60536,58,62,88.5
2025-06,west,TRN,2025,TRN-PR,2.5T 하이브리드,FWD,스노우 화이트,45,45,209411,96858,93,62,88.5
2025-06,west,TRN,2025,TRN-PR,2.5T 하이브리드,FWD,미드나잇 블랙,36,36,165784,76679,73,62,88.5
2025-06,west,TRN,2025,TRN-PR,2.5T 하이브리드,FWD,스틸 그레이,30,30,139607,64572,62,62,88.5
2025-06,west,TRN,2025,TRN-PR,2.5T 하이브리드,FWD,실버,25,25,113431,52465,50,62,88.5
2025-06,west,TRN,2025,TRN-PR,2.5T 하이브리드,FWD,오션 블루,19,19,87255,40358,39,62,88.5
2025-06,west,TRN,2025,TRN-PR,2.5T 하이브리드,FWD,선셋 레드,15,15,69804,32286,31,62,88.5
2025-06,west,TRN,2025,TRN-PR,2.5T 하이브리드,FWD,포레스트 그린,9,9,43627,20179,19,62,88.5
2025-06,west,TRN,2025,TRN-PR,2.5T 하이브리드,FWD,샌드 베이지,9,9,43627,20179,19,62,88.5
