ym,model_id,category,voc_cnt,voc_per_1k_uio,severity,safety_flag
2026-05,TRN,파워트레인,36,0.5,low,0
2026-05,TRN,전장/배터리,36,0.5,low,0
2026-05,TRN,커넥티드/SW,27,0.4,low,0
2026-05,TRN,바디/내장,42,0.6,low,0
2026-05,TRN,샤시/조향,29,0.4,low,0
2026-05,TRN,안전/ADAS,15,0.2,low,0
2026-05,TRN,인포테인먼트,35,0.5,low,0
2026-05,TRN,공조,23,0.3,low,0
2026-05,TRN,기타,26,0.4,low,0
2026-05,VST,파워트레인,41,0.6,low,0
2026-05,VST,전장/배터리,39,0.5,low,0
2026-05,VST,커넥티드/SW,27,0.4,low,0
2026-05,VST,바디/내장,41,0.6,low,0
2026-05,VST,샤시/조향,32,0.4,low,0
2026-05,VST,안전/ADAS,19,0.3,low,0
2026-05,VST,인포테인먼트,35,0.5,low,0
2026-05,VST,공조,21,0.3,low,0
2026-05,VST,기타,26,0.4,low,0
2026-05,AUR,파워트레인,25,1.1,low,0
2026-05,AUR,전장/배터리,43,1.9,med,0
2026-05,AUR,커넥티드/SW,19,0.9,low,0
2026-05,AUR,바디/내장,26,1.2,low,0
2026-05,AUR,샤시/조향,24,1.1,low,0
2026-05,AUR,안전/ADAS,14,0.6,med,1
2026-05,AUR,인포테인먼트,24,1.1,low,0
2026-05,AUR,공조,16,0.7,low,0
2026-05,AUR,기타,21,0.9,low,0
2026-05,MRD,파워트레인,23,0.5,low,0
2026-05,MRD,전장/배터리,23,0.5,low,0
2026-05,MRD,커넥티드/SW,19,0.4,low,0
2026-05,MRD,바디/내장,27,0.6,low,0
2026-05,MRD,샤시/조향,20,0.4,low,0
2026-05,MRD,안전/ADAS,12,0.3,low,0
2026-05,MRD,인포테인먼트,21,0.5,low,0
2026-05,MRD,공조,13,0.3,low,0
2026-05,MRD,기타,19,0.4,low,0
2026-05,NOV,파워트레인,22,0.6,low,0
2026-05,NOV,전장/배터리,18,0.5,low,0
2026-05,NOV,커넥티드/SW,14,0.4,low,0
2026-05,NOV,바디/내장,22,0.6,low,0
2026-05,NOV,샤시/조향,15,0.4,low,0
2026-05,NOV,안전/ADAS,9,0.2,low,0
2026-05,NOV,인포테인먼트,19,0.5,low,0
2026-05,NOV,공조,12,0.3,low,0
2026-05,NOV,기타,15,0.4,low,0
2026-05,LUM,파워트레인,18,0.5,low,0
2026-05,LUM,전장/배터리,16,0.4,low,0
2026-05,LUM,커넥티드/SW,55,1.5,high,0
2026-05,LUM,바디/내장,23,0.6,low,0
2026-05,LUM,샤시/조향,16,0.4,low,0
2026-05,LUM,안전/ADAS,9,0.2,low,0
2026-05,LUM,인포테인먼트,19,0.5,low,0
2026-05,LUM,공조,13,0.4,low,0
2026-05,LUM,기타,14,0.4,low,0
