ym,model_id,category,voc_cnt,voc_per_1k_uio,severity,safety_flag
2024-12,TRN,파워트레인,36,0.6,low,0
2024-12,TRN,전장/배터리,36,0.6,low,0
2024-12,TRN,커넥티드/SW,24,0.4,low,0
2024-12,TRN,바디/내장,36,0.6,low,0
2024-12,TRN,샤시/조향,27,0.4,low,0
2024-12,TRN,안전/ADAS,15,0.2,low,0
2024-12,TRN,인포테인먼트,33,0.5,low,0
2024-12,TRN,공조,20,0.3,low,0
2024-12,TRN,기타,26,0.4,low,0
2024-12,VST,파워트레인,37,0.5,low,0
2024-12,VST,전장/배터리,37,0.5,low,0
2024-12,VST,커넥티드/SW,28,0.4,low,0
2024-12,VST,바디/내장,42,0.6,low,0
2024-12,VST,샤시/조향,30,0.4,low,0
2024-12,VST,안전/ADAS,16,0.2,low,0
2024-12,VST,인포테인먼트,35,0.5,low,0
2024-12,VST,공조,22,0.3,low,0
2024-12,VST,기타,28,0.4,low,0
2024-12,AUR,파워트레인,13,0.6,low,0
2024-12,AUR,전장/배터리,12,0.5,low,0
2024-12,AUR,커넥티드/SW,8,0.4,low,0
2024-12,AUR,바디/내장,12,0.6,low,0
2024-12,AUR,샤시/조향,9,0.4,low,0
2024-12,AUR,안전/ADAS,5,0.3,low,0
2024-12,AUR,인포테인먼트,11,0.5,low,0
2024-12,AUR,공조,7,0.3,low,0
2024-12,AUR,기타,10,0.5,low,0
2024-12,MRD,파워트레인,24,0.6,low,0
2024-12,MRD,전장/배터리,23,0.5,low,0
2024-12,MRD,커넥티드/SW,17,0.4,low,0
2024-12,MRD,바디/내장,26,0.6,low,0
2024-12,MRD,샤시/조향,19,0.5,low,0
2024-12,MRD,안전/ADAS,10,0.2,low,0
2024-12,MRD,인포테인먼트,21,0.5,low,0
2024-12,MRD,공조,14,0.3,low,0
2024-12,MRD,기타,16,0.4,low,0
2024-12,NOV,파워트레인,19,0.6,low,0
2024-12,NOV,전장/배터리,18,0.5,low,0
2024-12,NOV,커넥티드/SW,12,0.4,low,0
2024-12,NOV,바디/내장,19,0.6,low,0
2024-12,NOV,샤시/조향,17,0.5,low,0
2024-12,NOV,안전/ADAS,9,0.3,low,0
2024-12,NOV,인포테인먼트,18,0.5,low,0
2024-12,NOV,공조,11,0.3,low,0
2024-12,NOV,기타,14,0.4,low,0
2024-12,LUM,파워트레인,19,0.5,low,0
2024-12,LUM,전장/배터리,20,0.6,low,0
2024-12,LUM,커넥티드/SW,13,0.4,low,0
2024-12,LUM,바디/내장,21,0.6,low,0
2024-12,LUM,샤시/조향,15,0.4,low,0
2024-12,LUM,안전/ADAS,8,0.2,low,0
2024-12,LUM,인포테인먼트,18,0.5,low,0
2024-12,LUM,공조,10,0.3,low,0
2024-12,LUM,기타,14,0.4,low,0
