ym,model_id,category,voc_cnt,voc_per_1k_uio,severity,safety_flag
2026-03,TRN,파워트레인,37,0.6,low,0
2026-03,TRN,전장/배터리,36,0.5,low,0
2026-03,TRN,커넥티드/SW,28,0.4,low,0
2026-03,TRN,바디/내장,37,0.6,low,0
2026-03,TRN,샤시/조향,29,0.4,low,0
2026-03,TRN,안전/ADAS,17,0.3,low,0
2026-03,TRN,인포테인먼트,34,0.5,low,0
2026-03,TRN,공조,19,0.3,low,0
2026-03,TRN,기타,29,0.4,low,0
2026-03,VST,파워트레인,38,0.5,low,0
2026-03,VST,전장/배터리,41,0.6,low,0
2026-03,VST,커넥티드/SW,27,0.4,low,0
2026-03,VST,바디/내장,40,0.6,low,0
2026-03,VST,샤시/조향,33,0.5,low,0
2026-03,VST,안전/ADAS,19,0.3,low,0
2026-03,VST,인포테인먼트,38,0.5,low,0
2026-03,VST,공조,25,0.3,low,0
2026-03,VST,기타,29,0.4,low,0
2026-03,AUR,파워트레인,26,1.2,low,0
2026-03,AUR,전장/배터리,60,2.7,high,0
2026-03,AUR,커넥티드/SW,18,0.8,low,0
2026-03,AUR,바디/내장,27,1.2,low,0
2026-03,AUR,샤시/조향,21,0.9,low,0
2026-03,AUR,안전/ADAS,21,0.9,high,1
2026-03,AUR,인포테인먼트,26,1.2,low,0
2026-03,AUR,공조,14,0.6,low,0
2026-03,AUR,기타,19,0.8,low,0
2026-03,MRD,파워트레인,25,0.6,low,0
2026-03,MRD,전장/배터리,22,0.5,low,0
2026-03,MRD,커넥티드/SW,18,0.4,low,0
2026-03,MRD,바디/내장,24,0.6,low,0
2026-03,MRD,샤시/조향,18,0.4,low,0
2026-03,MRD,안전/ADAS,11,0.2,low,0
2026-03,MRD,인포테인먼트,25,0.6,low,0
2026-03,MRD,공조,24,0.6,high,0
2026-03,MRD,기타,18,0.4,low,0
2026-03,NOV,파워트레인,21,0.6,low,0
2026-03,NOV,전장/배터리,19,0.5,low,0
2026-03,NOV,커넥티드/SW,15,0.4,low,0
2026-03,NOV,바디/내장,22,0.6,low,0
2026-03,NOV,샤시/조향,14,0.4,low,0
2026-03,NOV,안전/ADAS,8,0.2,low,0
2026-03,NOV,인포테인먼트,20,0.6,low,0
2026-03,NOV,공조,12,0.3,low,0
2026-03,NOV,기타,14,0.4,low,0
2026-03,LUM,파워트레인,21,0.6,low,0
2026-03,LUM,전장/배터리,19,0.5,low,0
2026-03,LUM,커넥티드/SW,13,0.4,low,0
2026-03,LUM,바디/내장,22,0.6,low,0
2026-03,LUM,샤시/조향,18,0.5,low,0
2026-03,LUM,안전/ADAS,9,0.2,low,0
2026-03,LUM,인포테인먼트,18,0.5,low,0
2026-03,LUM,공조,12,0.3,low,0
2026-03,LUM,기타,14,0.4,low,0
