ym,model_id,category,voc_cnt,voc_per_1k_uio,severity,safety_flag
2025-08,TRN,파워트레인,35,0.5,low,0
2025-08,TRN,전장/배터리,33,0.5,low,0
2025-08,TRN,커넥티드/SW,24,0.4,low,0
2025-08,TRN,바디/내장,39,0.6,low,0
2025-08,TRN,샤시/조향,27,0.4,low,0
2025-08,TRN,안전/ADAS,15,0.2,low,0
2025-08,TRN,인포테인먼트,34,0.5,low,0
2025-08,TRN,공조,19,0.3,low,0
2025-08,TRN,기타,27,0.4,low,0
2025-08,VST,파워트레인,40,0.6,low,0
2025-08,VST,전장/배터리,34,0.5,low,0
2025-08,VST,커넥티드/SW,29,0.4,low,0
2025-08,VST,바디/내장,45,0.6,low,0
2025-08,VST,샤시/조향,36,0.5,low,0
2025-08,VST,안전/ADAS,17,0.2,low,0
2025-08,VST,인포테인먼트,35,0.5,low,0
2025-08,VST,공조,22,0.3,low,0
2025-08,VST,기타,30,0.4,low,0
2025-08,AUR,파워트레인,12,0.6,low,0
2025-08,AUR,전장/배터리,10,0.5,low,0
2025-08,AUR,커넥티드/SW,9,0.4,low,0
2025-08,AUR,바디/내장,13,0.6,low,0
2025-08,AUR,샤시/조향,10,0.5,low,0
2025-08,AUR,안전/ADAS,5,0.2,low,0
2025-08,AUR,인포테인먼트,11,0.5,low,0
2025-08,AUR,공조,7,0.3,low,0
2025-08,AUR,기타,8,0.4,low,0
2025-08,MRD,파워트레인,24,0.6,low,0
2025-08,MRD,전장/배터리,23,0.5,low,0
2025-08,MRD,커넥티드/SW,17,0.4,low,0
2025-08,MRD,바디/내장,28,0.7,low,0
2025-08,MRD,샤시/조향,19,0.4,low,0
2025-08,MRD,안전/ADAS,9,0.2,low,0
2025-08,MRD,인포테인먼트,24,0.6,low,0
2025-08,MRD,공조,13,0.3,low,0
2025-08,MRD,기타,18,0.4,low,0
2025-08,NOV,파워트레인,20,0.6,low,0
2025-08,NOV,전장/배터리,20,0.6,low,0
2025-08,NOV,커넥티드/SW,13,0.4,low,0
2025-08,NOV,바디/내장,22,0.6,low,0
2025-08,NOV,샤시/조향,13,0.4,low,0
2025-08,NOV,안전/ADAS,7,0.2,low,0
2025-08,NOV,인포테인먼트,19,0.5,low,0
2025-08,NOV,공조,12,0.3,low,0
2025-08,NOV,기타,13,0.4,low,0
2025-08,LUM,파워트레인,19,0.5,low,0
2025-08,LUM,전장/배터리,19,0.5,low,0
2025-08,LUM,커넥티드/SW,14,0.4,low,0
2025-08,LUM,바디/내장,19,0.5,low,0
2025-08,LUM,샤시/조향,15,0.4,low,0
2025-08,LUM,안전/ADAS,9,0.3,low,0
2025-08,LUM,인포테인먼트,18,0.5,low,0
2025-08,LUM,공조,11,0.3,low,0
2025-08,LUM,기타,13,0.4,low,0
