ym,model_id,category,voc_cnt,voc_per_1k_uio,severity,safety_flag
2026-02,TRN,파워트레인,40,0.6,low,0
2026-02,TRN,전장/배터리,33,0.5,low,0
2026-02,TRN,커넥티드/SW,28,0.4,low,0
2026-02,TRN,바디/내장,43,0.6,low,0
2026-02,TRN,샤시/조향,25,0.4,low,0
2026-02,TRN,안전/ADAS,17,0.3,low,0
2026-02,TRN,인포테인먼트,36,0.5,low,0
2026-02,TRN,공조,20,0.3,low,0
2026-02,TRN,기타,26,0.4,low,0
2026-02,VST,파워트레인,41,0.6,low,0
2026-02,VST,전장/배터리,36,0.5,low,0
2026-02,VST,커넥티드/SW,30,0.4,low,0
2026-02,VST,바디/내장,43,0.6,low,0
2026-02,VST,샤시/조향,31,0.4,low,0
2026-02,VST,안전/ADAS,16,0.2,low,0
2026-02,VST,인포테인먼트,35,0.5,low,0
2026-02,VST,공조,24,0.3,low,0
2026-02,VST,기타,30,0.4,low,0
2026-02,AUR,파워트레인,12,0.6,low,0
2026-02,AUR,전장/배터리,12,0.5,low,0
2026-02,AUR,커넥티드/SW,9,0.4,low,0
2026-02,AUR,바디/내장,13,0.6,low,0
2026-02,AUR,샤시/조향,10,0.5,low,0
2026-02,AUR,안전/ADAS,6,0.3,low,0
2026-02,AUR,인포테인먼트,11,0.5,low,0
2026-02,AUR,공조,7,0.3,low,0
2026-02,AUR,기타,9,0.4,low,0
2026-02,MRD,파워트레인,27,0.6,low,0
2026-02,MRD,전장/배터리,23,0.5,low,0
2026-02,MRD,커넥티드/SW,18,0.4,low,0
2026-02,MRD,바디/내장,26,0.6,low,0
2026-02,MRD,샤시/조향,18,0.4,low,0
2026-02,MRD,안전/ADAS,11,0.2,low,0
2026-02,MRD,인포테인먼트,21,0.5,low,0
2026-02,MRD,공조,34,0.8,high,0
2026-02,MRD,기타,16,0.4,low,0
2026-02,NOV,파워트레인,21,0.6,low,0
2026-02,NOV,전장/배터리,18,0.5,low,0
2026-02,NOV,커넥티드/SW,14,0.4,low,0
2026-02,NOV,바디/내장,21,0.6,low,0
2026-02,NOV,샤시/조향,15,0.4,low,0
2026-02,NOV,안전/ADAS,10,0.3,low,0
2026-02,NOV,인포테인먼트,20,0.6,low,0
2026-02,NOV,공조,13,0.4,low,0
2026-02,NOV,기타,13,0.4,low,0
2026-02,LUM,파워트레인,18,0.5,low,0
2026-02,LUM,전장/배터리,20,0.6,low,0
2026-02,LUM,커넥티드/SW,15,0.4,low,0
2026-02,LUM,바디/내장,24,0.7,low,0
2026-02,LUM,샤시/조향,15,0.4,low,0
2026-02,LUM,안전/ADAS,8,0.2,low,0
2026-02,LUM,인포테인먼트,18,0.5,low,0
2026-02,LUM,공조,12,0.3,low,0
2026-02,LUM,기타,14,0.4,low,0
