ym,model_id,category,voc_cnt,voc_per_1k_uio,severity,safety_flag
2025-04,TRN,파워트레인,77,1.2,high,0
2025-04,TRN,전장/배터리,35,0.5,low,0
2025-04,TRN,커넥티드/SW,27,0.4,low,0
2025-04,TRN,바디/내장,37,0.6,low,0
2025-04,TRN,샤시/조향,29,0.5,low,0
2025-04,TRN,안전/ADAS,16,0.2,low,0
2025-04,TRN,인포테인먼트,35,0.5,low,0
2025-04,TRN,공조,22,0.3,low,0
2025-04,TRN,기타,27,0.4,low,0
2025-04,VST,파워트레인,36,0.5,low,0
2025-04,VST,전장/배터리,34,0.5,low,0
2025-04,VST,커넥티드/SW,28,0.4,low,0
2025-04,VST,바디/내장,43,0.6,low,0
2025-04,VST,샤시/조향,29,0.4,low,0
2025-04,VST,안전/ADAS,19,0.3,low,0
2025-04,VST,인포테인먼트,36,0.5,low,0
2025-04,VST,공조,22,0.3,low,0
2025-04,VST,기타,28,0.4,low,0
2025-04,AUR,파워트레인,12,0.6,low,0
2025-04,AUR,전장/배터리,10,0.5,low,0
2025-04,AUR,커넥티드/SW,9,0.4,low,0
2025-04,AUR,바디/내장,13,0.6,low,0
2025-04,AUR,샤시/조향,10,0.4,low,0
2025-04,AUR,안전/ADAS,5,0.2,low,0
2025-04,AUR,인포테인먼트,12,0.5,low,0
2025-04,AUR,공조,7,0.3,low,0
2025-04,AUR,기타,9,0.4,low,0
2025-04,MRD,파워트레인,26,0.6,low,0
2025-04,MRD,전장/배터리,24,0.6,low,0
2025-04,MRD,커넥티드/SW,16,0.4,low,0
2025-04,MRD,바디/내장,28,0.7,low,0
2025-04,MRD,샤시/조향,20,0.5,low,0
2025-04,MRD,안전/ADAS,11,0.3,low,0
2025-04,MRD,인포테인먼트,23,0.5,low,0
2025-04,MRD,공조,13,0.3,low,0
2025-04,MRD,기타,15,0.4,low,0
2025-04,NOV,파워트레인,20,0.6,low,0
2025-04,NOV,전장/배터리,20,0.6,low,0
2025-04,NOV,커넥티드/SW,14,0.4,low,0
2025-04,NOV,바디/내장,22,0.6,low,0
2025-04,NOV,샤시/조향,16,0.5,low,0
2025-04,NOV,안전/ADAS,9,0.2,low,0
2025-04,NOV,인포테인먼트,18,0.5,low,0
2025-04,NOV,공조,11,0.3,low,0
2025-04,NOV,기타,14,0.4,low,0
2025-04,LUM,파워트레인,20,0.6,low,0
2025-04,LUM,전장/배터리,18,0.5,low,0
2025-04,LUM,커넥티드/SW,12,0.4,low,0
2025-04,LUM,바디/내장,19,0.5,low,0
2025-04,LUM,샤시/조향,16,0.4,low,0
2025-04,LUM,안전/ADAS,8,0.2,low,0
2025-04,LUM,인포테인먼트,17,0.5,low,0
2025-04,LUM,공조,12,0.3,low,0
2025-04,LUM,기타,14,0.4,low,0
