ym,model_id,category,voc_cnt,voc_per_1k_uio,severity,safety_flag
2026-07,TRN,파워트레인,41,0.6,low,0
2026-07,TRN,전장/배터리,33,0.5,low,0
2026-07,TRN,커넥티드/SW,28,0.4,low,0
2026-07,TRN,바디/내장,39,0.6,low,0
2026-07,TRN,샤시/조향,29,0.4,low,0
2026-07,TRN,안전/ADAS,17,0.3,low,0
2026-07,TRN,인포테인먼트,34,0.5,low,0
2026-07,TRN,공조,22,0.3,low,0
2026-07,TRN,기타,26,0.4,low,0
2026-07,VST,파워트레인,41,0.6,low,0
2026-07,VST,전장/배터리,36,0.5,low,0
2026-07,VST,커넥티드/SW,27,0.4,low,0
2026-07,VST,바디/내장,43,0.6,low,0
2026-07,VST,샤시/조향,67,0.9,high,0
2026-07,VST,안전/ADAS,18,0.2,low,0
2026-07,VST,인포테인먼트,40,0.5,low,0
2026-07,VST,공조,24,0.3,low,0
2026-07,VST,기타,28,0.4,low,0
2026-07,AUR,파워트레인,13,0.6,low,0
2026-07,AUR,전장/배터리,12,0.5,low,0
2026-07,AUR,커넥티드/SW,8,0.4,low,0
2026-07,AUR,바디/내장,13,0.6,low,0
2026-07,AUR,샤시/조향,10,0.4,low,0
2026-07,AUR,안전/ADAS,5,0.2,low,0
2026-07,AUR,인포테인먼트,12,0.5,low,0
2026-07,AUR,공조,7,0.3,low,0
2026-07,AUR,기타,9,0.4,low,0
2026-07,MRD,파워트레인,25,0.6,low,0
2026-07,MRD,전장/배터리,25,0.6,low,0
2026-07,MRD,커넥티드/SW,18,0.4,low,0
2026-07,MRD,바디/내장,25,0.6,low,0
2026-07,MRD,샤시/조향,20,0.4,low,0
2026-07,MRD,안전/ADAS,10,0.2,low,0
2026-07,MRD,인포테인먼트,21,0.5,low,0
2026-07,MRD,공조,15,0.3,low,0
2026-07,MRD,기타,17,0.4,low,0
2026-07,NOV,파워트레인,20,0.5,low,0
2026-07,NOV,전장/배터리,21,0.6,low,0
2026-07,NOV,커넥티드/SW,13,0.4,low,0
2026-07,NOV,바디/내장,24,0.7,low,0
2026-07,NOV,샤시/조향,16,0.4,low,0
2026-07,NOV,안전/ADAS,8,0.2,low,0
2026-07,NOV,인포테인먼트,19,0.5,low,0
2026-07,NOV,공조,12,0.3,low,0
2026-07,NOV,기타,14,0.4,low,0
2026-07,LUM,파워트레인,18,0.5,low,0
2026-07,LUM,전장/배터리,17,0.5,low,0
2026-07,LUM,커넥티드/SW,22,0.6,med,0
2026-07,LUM,바디/내장,22,0.6,low,0
2026-07,LUM,샤시/조향,17,0.5,low,0
2026-07,LUM,안전/ADAS,9,0.3,low,0
2026-07,LUM,인포테인먼트,19,0.5,low,0
2026-07,LUM,공조,12,0.3,low,0
2026-07,LUM,기타,15,0.4,low,0
