plan_my,model_id,trim_id,mix_prev_pct,mix_plan_pct,plan_ws_qty,fob_usd,fob_prev_usd,plant_id,status,decided_ym
2027,TRN,TRN-CO,35.0,33.5,67197,31941,31162,US-GA,수립 중 (BP-1),
2027,TRN,TRN-PR,44.0,44.0,88259,34719,33872,US-GA,수립 중 (BP-1),
2027,TRN,TRN-SU,21.0,22.5,45133,39580,38614,US-GA,수립 중 (BP-1),
2027,VST,VST-CO,35.0,33.5,72797,23649,23072,US-GA,수립 중 (BP-1),
2027,VST,VST-PR,44.0,44.0,95614,25705,25078,US-GA,수립 중 (BP-1),
2027,VST,VST-TR,21.0,22.5,48894,29304,28589,US-GA,수립 중 (BP-1),
2027,AUR,AUR-AI,32.0,29.0,23735,36180,35297,US-SV,수립 중 (BP-1),
2027,AUR,AUR-RA,44.0,44.0,36012,39326,38367,US-SV,수립 중 (BP-1),
2027,AUR,AUR-MA,24.0,27.0,22098,44832,43738,US-SV,수립 중 (BP-1),
2027,MRD,MRD-CO,35.0,33.5,44798,19165,18697,MX-MT,수립 중 (BP-1),
2027,MRD,MRD-PR,44.0,44.0,58839,20831,20323,MX-MT,수립 중 (BP-1),
2027,MRD,MRD-SP,21.0,22.5,30088,23748,23169,MX-MT,수립 중 (BP-1),
2027,NOV,NOV-CO,35.0,33.5,36399,27212,26548,KR-2,수립 중 (BP-1),
2027,NOV,NOV-PR,44.0,44.0,47807,29578,28856,KR-2,수립 중 (BP-1),
2027,NOV,NOV-LO,21.0,22.5,24447,33719,32896,KR-2,수립 중 (BP-1),
2027,LUM,LUM-AI,32.0,29.0,38569,26229,25589,KR-1,수립 중 (BP-1),
2027,LUM,LUM-RA,44.0,44.0,58519,28510,27814,KR-1,수립 중 (BP-1),
2027,LUM,LUM-SP,24.0,27.0,35909,32501,31708,KR-1,수립 중 (BP-1),
2027,SOL,SOL-AI,0.0,60.0,11016,23405,0,US-SV,수립 중 (BP-1),
2027,SOL,SOL-RA,0.0,40.0,7344,26608,0,US-SV,수립 중 (BP-1),
