plan_my,model_id,trim_id,mix_prev_pct,mix_plan_pct,plan_ws_qty,fob_usd,fob_prev_usd,plant_id,status,decided_ym
2026,TRN,TRN-CO,36.5,35.0,66063,31162,30402,US-GA,FOB 확정,2025-11
2026,TRN,TRN-PR,44.0,44.0,83050,33872,33046,US-GA,FOB 확정,2025-11
2026,TRN,TRN-SU,19.5,21.0,39638,38614,37672,US-GA,FOB 확정,2025-11
2026,VST,VST-CO,36.5,35.0,71568,23072,22509,US-GA,FOB 확정,2025-11
2026,VST,VST-PR,44.0,44.0,89971,25078,24467,US-GA,FOB 확정,2025-11
2026,VST,VST-TR,19.5,21.0,42941,28589,27892,US-GA,FOB 확정,2025-11
2026,AUR,AUR-AI,35.0,32.0,23104,35297,34436,US-SV,FOB 확정,2025-11
2026,AUR,AUR-RA,44.0,44.0,31768,38367,37431,US-SV,FOB 확정,2025-11
2026,AUR,AUR-MA,21.0,24.0,17328,43738,42671,US-SV,FOB 확정,2025-11
2026,MRD,MRD-CO,36.5,35.0,44042,18697,18241,MX-MT,FOB 확정,2025-11
2026,MRD,MRD-PR,44.0,44.0,55367,20323,19828,MX-MT,FOB 확정,2025-11
2026,MRD,MRD-SP,19.5,21.0,26425,23169,22603,MX-MT,FOB 확정,2025-11
2026,NOV,NOV-CO,36.5,35.0,35784,26548,25900,KR-2,FOB 확정,2025-11
2026,NOV,NOV-PR,44.0,44.0,44986,28856,28153,KR-2,FOB 확정,2025-11
2026,NOV,NOV-LO,19.5,21.0,21470,32896,32094,KR-2,FOB 확정,2025-11
2026,LUM,LUM-AI,35.0,32.0,37544,25589,24965,KR-1,FOB 확정,2025-11
2026,LUM,LUM-RA,44.0,44.0,51623,27814,27136,KR-1,FOB 확정,2025-11
2026,LUM,LUM-SP,21.0,24.0,28158,31708,30935,KR-1,FOB 확정,2025-11
