ym,campaign_id,model_id,feature_focus,medium,asset_name,spend_musd,impressions_m,clicks_k,ctr_pct,cpm_usd,status
2024-05,TRN-24Q2,TRN,V6 토잉 패키지,TV,V6 토잉 패키지 TV·CTV 크리에이티브,4.8,150.1,0,0,32.0,집행중
2024-05,TRN-24Q2,TRN,V6 토잉 패키지,DIG,V6 토잉 패키지 디지털 크리에이티브,3.6,379.3,3583,0.94,9.5,집행중
2024-05,TRN-24Q2,TRN,V6 토잉 패키지,SOC,V6 토잉 패키지 소셜 크리에이티브,2.2,300.2,3542,1.18,7.2,집행중
2024-05,TRN-24Q2,TRN,V6 토잉 패키지,SRCH,V6 토잉 패키지 검색 크리에이티브,1.4,68.6,2358,3.44,21.0,집행중
2024-05,VST-24Q2,VST,하이브리드 연비,TV,하이브리드 연비 TV·CTV 크리에이티브,5.2,162.6,0,0,32.0,집행중
2024-05,VST-24Q2,VST,하이브리드 연비,DIG,하이브리드 연비 디지털 크리에이티브,3.9,410.9,3949,0.96,9.5,집행중
2024-05,VST-24Q2,VST,하이브리드 연비,SOC,하이브리드 연비 소셜 크리에이티브,2.3,325.3,4669,1.44,7.2,집행중
2024-05,VST-24Q2,VST,하이브리드 연비,SRCH,하이브리드 연비 검색 크리에이티브,1.6,74.3,2621,3.53,21.0,집행중
2024-05,AUR-24Q2,AUR,롱레인지 배터리,TV,롱레인지 배터리 TV·CTV 크리에이티브,1.6,50.0,0,0,32.0,집행중
2024-05,AUR-24Q2,AUR,롱레인지 배터리,DIG,롱레인지 배터리 디지털 크리에이티브,1.2,126.4,1152,0.91,9.5,집행중
2024-05,AUR-24Q2,AUR,롱레인지 배터리,SOC,롱레인지 배터리 소셜 크리에이티브,0.7,100.1,1449,1.45,7.2,집행중
2024-05,AUR-24Q2,AUR,롱레인지 배터리,SRCH,롱레인지 배터리 검색 크리에이티브,0.5,22.9,729,3.19,21.0,집행중
2024-05,MRD-24Q2,MRD,스포츠 다이내믹,TV,스포츠 다이내믹 TV·CTV 크리에이티브,3.2,100.1,0,0,32.0,집행중
2024-05,MRD-24Q2,MRD,스포츠 다이내믹,DIG,스포츠 다이내믹 디지털 크리에이티브,2.4,252.8,2339,0.93,9.5,집행중
2024-05,MRD-24Q2,MRD,스포츠 다이내믹,SOC,스포츠 다이내믹 소셜 크리에이티브,1.4,200.2,2593,1.3,7.2,집행중
2024-05,MRD-24Q2,MRD,스포츠 다이내믹,SRCH,스포츠 다이내믹 검색 크리에이티브,1.0,45.8,1545,3.38,21.0,집행중
2024-05,NOV-24Q2,NOV,패밀리 라운지 시트,TV,패밀리 라운지 시트 TV·CTV 크리에이티브,2.6,81.3,0,0,32.0,집행중
2024-05,NOV-24Q2,NOV,패밀리 라운지 시트,DIG,패밀리 라운지 시트 디지털 크리에이티브,2.0,205.4,1979,0.96,9.5,집행중
2024-05,NOV-24Q2,NOV,패밀리 라운지 시트,SOC,패밀리 라운지 시트 소셜 크리에이티브,1.2,162.6,2383,1.47,7.2,집행중
2024-05,NOV-24Q2,NOV,패밀리 라운지 시트,SRCH,패밀리 라운지 시트 검색 크리에이티브,0.8,37.2,1291,3.47,21.0,집행중
2024-05,LUM-24Q2,LUM,V2L 파워,TV,V2L 파워 TV·CTV 크리에이티브,2.6,81.3,0,0,32.0,집행중
2024-05,LUM-24Q2,LUM,V2L 파워,DIG,V2L 파워 디지털 크리에이티브,2.0,205.4,2020,0.98,9.5,집행중
2024-05,LUM-24Q2,LUM,V2L 파워,SOC,V2L 파워 소셜 크리에이티브,1.2,162.6,2199,1.35,7.2,집행중
2024-05,LUM-24Q2,LUM,V2L 파워,SRCH,V2L 파워 검색 크리에이티브,0.8,37.2,1222,3.29,21.0,집행중
