ym,campaign_id,model_id,feature_focus,medium,asset_name,spend_musd,impressions_m,clicks_k,ctr_pct,cpm_usd,status
2024-06,TRN-24Q2,TRN,V6 토잉 패키지,TV,V6 토잉 패키지 TV·CTV 크리에이티브,4.8,148.5,0,0,32.0,집행중(최적화)
2024-06,TRN-24Q2,TRN,V6 토잉 패키지,DIG,V6 토잉 패키지 디지털 크리에이티브,3.6,375.2,3244,0.86,9.5,집행중(최적화)
2024-06,TRN-24Q2,TRN,V6 토잉 패키지,SOC,V6 토잉 패키지 소셜 크리에이티브,2.1,297.0,4412,1.49,7.2,집행중(최적화)
2024-06,TRN-24Q2,TRN,V6 토잉 패키지,SRCH,V6 토잉 패키지 검색 크리에이티브,1.4,67.9,2273,3.35,21.0,집행중(최적화)
2024-06,VST-24Q2,VST,하이브리드 연비,TV,하이브리드 연비 TV·CTV 크리에이티브,5.1,160.9,0,0,32.0,집행중(최적화)
2024-06,VST-24Q2,VST,하이브리드 연비,DIG,하이브리드 연비 디지털 크리에이티브,3.9,406.4,3632,0.89,9.5,집행중(최적화)
2024-06,VST-24Q2,VST,하이브리드 연비,SOC,하이브리드 연비 소셜 크리에이티브,2.3,321.8,4441,1.38,7.2,집행중(최적화)
2024-06,VST-24Q2,VST,하이브리드 연비,SRCH,하이브리드 연비 검색 크리에이티브,1.5,73.5,2535,3.45,21.0,집행중(최적화)
2024-06,AUR-24Q2,AUR,롱레인지 배터리,TV,롱레인지 배터리 TV·CTV 크리에이티브,1.6,49.5,0,0,32.0,집행중(최적화)
2024-06,AUR-24Q2,AUR,롱레인지 배터리,DIG,롱레인지 배터리 디지털 크리에이티브,1.2,125.1,1219,0.98,9.5,집행중(최적화)
2024-06,AUR-24Q2,AUR,롱레인지 배터리,SOC,롱레인지 배터리 소셜 크리에이티브,0.7,99.0,1386,1.4,7.2,집행중(최적화)
2024-06,AUR-24Q2,AUR,롱레인지 배터리,SRCH,롱레인지 배터리 검색 크리에이티브,0.5,22.6,732,3.24,21.0,집행중(최적화)
2024-06,MRD-24Q2,MRD,스포츠 다이내믹,TV,스포츠 다이내믹 TV·CTV 크리에이티브,3.2,99.0,0,0,32.0,집행중(최적화)
2024-06,MRD-24Q2,MRD,스포츠 다이내믹,DIG,스포츠 다이내믹 디지털 크리에이티브,2.4,250.1,2278,0.91,9.5,집행중(최적화)
2024-06,MRD-24Q2,MRD,스포츠 다이내믹,SOC,스포츠 다이내믹 소셜 크리에이티브,1.4,198.0,2792,1.41,7.2,집행중(최적화)
2024-06,MRD-24Q2,MRD,스포츠 다이내믹,SRCH,스포츠 다이내믹 검색 크리에이티브,1.0,45.3,1370,3.03,21.0,집행중(최적화)
2024-06,NOV-24Q2,NOV,패밀리 라운지 시트,TV,패밀리 라운지 시트 TV·CTV 크리에이티브,2.6,80.4,0,0,32.0,집행중(최적화)
2024-06,NOV-24Q2,NOV,패밀리 라운지 시트,DIG,패밀리 라운지 시트 디지털 크리에이티브,1.9,203.2,1821,0.9,9.5,집행중(최적화)
2024-06,NOV-24Q2,NOV,패밀리 라운지 시트,SOC,패밀리 라운지 시트 소셜 크리에이티브,1.2,160.9,2263,1.41,7.2,집행중(최적화)
2024-06,NOV-24Q2,NOV,패밀리 라운지 시트,SRCH,패밀리 라운지 시트 검색 크리에이티브,0.8,36.8,1214,3.3,21.0,집행중(최적화)
2024-06,LUM-24Q2,LUM,V2L 파워,TV,V2L 파워 TV·CTV 크리에이티브,2.6,80.4,0,0,32.0,집행중(최적화)
2024-06,LUM-24Q2,LUM,V2L 파워,DIG,V2L 파워 디지털 크리에이티브,1.9,203.2,1852,0.91,9.5,집행중(최적화)
2024-06,LUM-24Q2,LUM,V2L 파워,SOC,V2L 파워 소셜 크리에이티브,1.2,160.9,2224,1.38,7.2,집행중(최적화)
2024-06,LUM-24Q2,LUM,V2L 파워,SRCH,V2L 파워 검색 크리에이티브,0.8,36.8,1190,3.24,21.0,집행중(최적화)
