ym,campaign_id,model_id,feature_focus,medium,asset_name,spend_musd,impressions_m,clicks_k,ctr_pct,cpm_usd,status
2025-06,TRN-25Q2,TRN,V6 토잉 패키지,TV,V6 토잉 패키지 TV·CTV 크리에이티브,4.8,148.5,0,0,32.0,집행중(최적화)
2025-06,TRN-25Q2,TRN,V6 토잉 패키지,DIG,V6 토잉 패키지 디지털 크리에이티브,3.6,375.2,3367,0.9,9.5,집행중(최적화)
2025-06,TRN-25Q2,TRN,V6 토잉 패키지,SOC,V6 토잉 패키지 소셜 크리에이티브,2.1,297.0,4384,1.48,7.2,집행중(최적화)
2025-06,TRN-25Q2,TRN,V6 토잉 패키지,SRCH,V6 토잉 패키지 검색 크리에이티브,1.4,67.9,2468,3.64,21.0,집행중(최적화)
2025-06,VST-25Q2,VST,하이브리드 연비,TV,하이브리드 연비 TV·CTV 크리에이티브,5.1,160.9,0,0,32.0,집행중(최적화)
2025-06,VST-25Q2,VST,하이브리드 연비,DIG,하이브리드 연비 디지털 크리에이티브,3.9,406.4,3492,0.86,9.5,집행중(최적화)
2025-06,VST-25Q2,VST,하이브리드 연비,SOC,하이브리드 연비 소셜 크리에이티브,2.3,321.8,4686,1.46,7.2,집행중(최적화)
2025-06,VST-25Q2,VST,하이브리드 연비,SRCH,하이브리드 연비 검색 크리에이티브,1.5,73.5,2602,3.54,21.0,집행중(최적화)
2025-06,AUR-25Q2,AUR,롱레인지 배터리,TV,롱레인지 배터리 TV·CTV 크리에이티브,1.6,49.5,0,0,32.0,집행중(최적화)
2025-06,AUR-25Q2,AUR,롱레인지 배터리,DIG,롱레인지 배터리 디지털 크리에이티브,1.2,125.1,1103,0.88,9.5,집행중(최적화)
2025-06,AUR-25Q2,AUR,롱레인지 배터리,SOC,롱레인지 배터리 소셜 크리에이티브,0.7,99.0,1342,1.36,7.2,집행중(최적화)
2025-06,AUR-25Q2,AUR,롱레인지 배터리,SRCH,롱레인지 배터리 검색 크리에이티브,0.5,22.6,692,3.06,21.0,집행중(최적화)
2025-06,MRD-25Q2,MRD,스포츠 다이내믹,TV,스포츠 다이내믹 TV·CTV 크리에이티브,3.2,99.0,0,0,32.0,집행중(최적화)
2025-06,MRD-25Q2,MRD,스포츠 다이내믹,DIG,스포츠 다이내믹 디지털 크리에이티브,2.4,250.1,2184,0.87,9.5,집행중(최적화)
2025-06,MRD-25Q2,MRD,스포츠 다이내믹,SOC,스포츠 다이내믹 소셜 크리에이티브,1.4,198.0,2765,1.4,7.2,집행중(최적화)
2025-06,MRD-25Q2,MRD,스포츠 다이내믹,SRCH,스포츠 다이내믹 검색 크리에이티브,1.0,45.3,1598,3.53,21.0,집행중(최적화)
2025-06,NOV-25Q2,NOV,패밀리 라운지 시트,TV,패밀리 라운지 시트 TV·CTV 크리에이티브,2.6,80.4,0,0,32.0,집행중(최적화)
2025-06,NOV-25Q2,NOV,패밀리 라운지 시트,DIG,패밀리 라운지 시트 디지털 크리에이티브,1.9,203.2,1489,0.73,9.5,집행중(최적화)
2025-06,NOV-25Q2,NOV,패밀리 라운지 시트,SOC,패밀리 라운지 시트 소셜 크리에이티브,1.2,160.9,2103,1.31,7.2,집행중(최적화)
2025-06,NOV-25Q2,NOV,패밀리 라운지 시트,SRCH,패밀리 라운지 시트 검색 크리에이티브,0.8,36.8,1180,3.21,21.0,집행중(최적화)
2025-06,LUM-25Q2,LUM,V2L 파워,TV,V2L 파워 TV·CTV 크리에이티브,2.6,80.4,0,0,32.0,집행중(최적화)
2025-06,LUM-25Q2,LUM,V2L 파워,DIG,V2L 파워 디지털 크리에이티브,1.9,203.2,1780,0.88,9.5,집행중(최적화)
2025-06,LUM-25Q2,LUM,V2L 파워,SOC,V2L 파워 소셜 크리에이티브,1.2,160.9,2318,1.44,7.2,집행중(최적화)
2025-06,LUM-25Q2,LUM,V2L 파워,SRCH,V2L 파워 검색 크리에이티브,0.8,36.8,1224,3.33,21.0,집행중(최적화)
