ym,campaign_id,model_id,feature_focus,medium,asset_name,spend_musd,impressions_m,clicks_k,ctr_pct,cpm_usd,status
2025-03,TRN-25Q1,TRN,V6 토잉 패키지,TV,V6 토잉 패키지 TV·CTV 크리에이티브,4.8,150.7,0,0,32.0,집행중(최적화)
2025-03,TRN-25Q1,TRN,V6 토잉 패키지,DIG,V6 토잉 패키지 디지털 크리에이티브,3.6,380.6,3751,0.99,9.5,집행중(최적화)
2025-03,TRN-25Q1,TRN,V6 토잉 패키지,SOC,V6 토잉 패키지 소셜 크리에이티브,2.2,301.3,3877,1.29,7.2,집행중(최적화)
2025-03,TRN-25Q1,TRN,V6 토잉 패키지,SRCH,V6 토잉 패키지 검색 크리에이티브,1.4,68.9,2514,3.65,21.0,집행중(최적화)
2025-03,VST-25Q1,VST,하이브리드 연비,TV,하이브리드 연비 TV·CTV 크리에이티브,5.2,163.2,0,0,32.0,집행중(최적화)
2025-03,VST-25Q1,VST,하이브리드 연비,DIG,하이브리드 연비 디지털 크리에이티브,3.9,412.3,3482,0.84,9.5,집행중(최적화)
2025-03,VST-25Q1,VST,하이브리드 연비,SOC,하이브리드 연비 소셜 크리에이티브,2.4,326.4,4599,1.41,7.2,집행중(최적화)
2025-03,VST-25Q1,VST,하이브리드 연비,SRCH,하이브리드 연비 검색 크리에이티브,1.6,74.6,2527,3.39,21.0,집행중(최적화)
2025-03,AUR-25Q1,AUR,롱레인지 배터리,TV,롱레인지 배터리 TV·CTV 크리에이티브,3.1,95.4,0,0,32.0,집행중(최적화)
2025-03,AUR-25Q1,AUR,롱레인지 배터리,DIG,롱레인지 배터리 디지털 크리에이티브,2.3,241.1,2066,0.86,9.5,집행중(최적화)
2025-03,AUR-25Q1,AUR,롱레인지 배터리,SOC,롱레인지 배터리 소셜 크리에이티브,1.4,190.8,2839,1.49,7.2,집행중(최적화)
2025-03,AUR-25Q1,AUR,롱레인지 배터리,SRCH,롱레인지 배터리 검색 크리에이티브,0.9,43.6,1368,3.14,21.0,집행중(최적화)
2025-03,MRD-25Q1,MRD,스포츠 다이내믹,TV,스포츠 다이내믹 TV·CTV 크리에이티브,3.2,100.4,0,0,32.0,집행중(최적화)
2025-03,MRD-25Q1,MRD,스포츠 다이내믹,DIG,스포츠 다이내믹 디지털 크리에이티브,2.4,253.7,2337,0.92,9.5,집행중(최적화)
2025-03,MRD-25Q1,MRD,스포츠 다이내믹,SOC,스포츠 다이내믹 소셜 크리에이티브,1.4,200.9,2811,1.4,7.2,집행중(최적화)
2025-03,MRD-25Q1,MRD,스포츠 다이내믹,SRCH,스포츠 다이내믹 검색 크리에이티브,1.0,45.9,1546,3.37,21.0,집행중(최적화)
2025-03,NOV-25Q1,NOV,패밀리 라운지 시트,TV,패밀리 라운지 시트 TV·CTV 크리에이티브,2.6,81.6,0,0,32.0,집행중(최적화)
2025-03,NOV-25Q1,NOV,패밀리 라운지 시트,DIG,패밀리 라운지 시트 디지털 크리에이티브,2.0,206.2,1979,0.96,9.5,집행중(최적화)
2025-03,NOV-25Q1,NOV,패밀리 라운지 시트,SOC,패밀리 라운지 시트 소셜 크리에이티브,1.2,163.2,2277,1.4,7.2,집행중(최적화)
2025-03,NOV-25Q1,NOV,패밀리 라운지 시트,SRCH,패밀리 라운지 시트 검색 크리에이티브,0.8,37.3,1260,3.38,21.0,집행중(최적화)
2025-03,LUM-25Q1,LUM,V2L 파워,TV,V2L 파워 TV·CTV 크리에이티브,2.6,81.6,0,0,32.0,집행중(최적화)
2025-03,LUM-25Q1,LUM,V2L 파워,DIG,V2L 파워 디지털 크리에이티브,2.0,206.2,1901,0.92,9.5,집행중(최적화)
2025-03,LUM-25Q1,LUM,V2L 파워,SOC,V2L 파워 소셜 크리에이티브,1.2,163.2,2286,1.4,7.2,집행중(최적화)
2025-03,LUM-25Q1,LUM,V2L 파워,SRCH,V2L 파워 검색 크리에이티브,0.8,37.3,1288,3.45,21.0,집행중(최적화)
