ym,campaign_id,model_id,feature_focus,medium,asset_name,spend_musd,impressions_m,clicks_k,ctr_pct,cpm_usd,status
2024-10,TRN-24Q4,TRN,V6 토잉 패키지,TV,V6 토잉 패키지 TV·CTV 크리에이티브,4.7,146.9,0,0,32.0,제작·런칭
2024-10,TRN-24Q4,TRN,V6 토잉 패키지,DIG,V6 토잉 패키지 디지털 크리에이티브,3.5,371.1,3529,0.95,9.5,제작·런칭
2024-10,TRN-24Q4,TRN,V6 토잉 패키지,SOC,V6 토잉 패키지 소셜 크리에이티브,2.1,293.8,4119,1.4,7.2,제작·런칭
2024-10,TRN-24Q4,TRN,V6 토잉 패키지,SRCH,V6 토잉 패키지 검색 크리에이티브,1.4,67.1,2372,3.53,21.0,제작·런칭
2024-10,VST-24Q4,VST,하이브리드 연비,TV,하이브리드 연비 TV·CTV 크리에이티브,5.1,159.1,0,0,32.0,제작·런칭
2024-10,VST-24Q4,VST,하이브리드 연비,DIG,하이브리드 연비 디지털 크리에이티브,3.8,402.0,3665,0.91,9.5,제작·런칭
2024-10,VST-24Q4,VST,하이브리드 연비,SOC,하이브리드 연비 소셜 크리에이티브,2.3,318.2,4375,1.37,7.2,제작·런칭
2024-10,VST-24Q4,VST,하이브리드 연비,SRCH,하이브리드 연비 검색 크리에이티브,1.5,72.7,2320,3.19,21.0,제작·런칭
2024-10,AUR-24Q4,AUR,롱레인지 배터리,TV,롱레인지 배터리 TV·CTV 크리에이티브,1.6,49.0,0,0,32.0,제작·런칭
2024-10,AUR-24Q4,AUR,롱레인지 배터리,DIG,롱레인지 배터리 디지털 크리에이티브,1.2,123.7,1141,0.92,9.5,제작·런칭
2024-10,AUR-24Q4,AUR,롱레인지 배터리,SOC,롱레인지 배터리 소셜 크리에이티브,0.7,97.9,1473,1.5,7.2,제작·런칭
2024-10,AUR-24Q4,AUR,롱레인지 배터리,SRCH,롱레인지 배터리 검색 크리에이티브,0.5,22.4,747,3.34,21.0,제작·런칭
2024-10,MRD-24Q4,MRD,스포츠 다이내믹,TV,스포츠 다이내믹 TV·CTV 크리에이티브,3.1,97.9,0,0,32.0,제작·런칭
2024-10,MRD-24Q4,MRD,스포츠 다이내믹,DIG,스포츠 다이내믹 디지털 크리에이티브,2.4,247.4,2490,1.01,9.5,제작·런칭
2024-10,MRD-24Q4,MRD,스포츠 다이내믹,SOC,스포츠 다이내믹 소셜 크리에이티브,1.4,195.8,2761,1.41,7.2,제작·런칭
2024-10,MRD-24Q4,MRD,스포츠 다이내믹,SRCH,스포츠 다이내믹 검색 크리에이티브,0.9,44.8,1423,3.18,21.0,제작·런칭
2024-10,NOV-24Q4,NOV,패밀리 라운지 시트,TV,패밀리 라운지 시트 TV·CTV 크리에이티브,2.5,79.6,0,0,32.0,제작·런칭
2024-10,NOV-24Q4,NOV,패밀리 라운지 시트,DIG,패밀리 라운지 시트 디지털 크리에이티브,1.9,201.0,1657,0.82,9.5,제작·런칭
2024-10,NOV-24Q4,NOV,패밀리 라운지 시트,SOC,패밀리 라운지 시트 소셜 크리에이티브,1.1,159.1,2486,1.56,7.2,제작·런칭
2024-10,NOV-24Q4,NOV,패밀리 라운지 시트,SRCH,패밀리 라운지 시트 검색 크리에이티브,0.8,36.4,1169,3.21,21.0,제작·런칭
2024-10,LUM-24Q4,LUM,V2L 파워,TV,V2L 파워 TV·CTV 크리에이티브,2.5,79.6,0,0,32.0,제작·런칭
2024-10,LUM-24Q4,LUM,V2L 파워,DIG,V2L 파워 디지털 크리에이티브,1.9,201.0,1727,0.86,9.5,제작·런칭
2024-10,LUM-24Q4,LUM,V2L 파워,SOC,V2L 파워 소셜 크리에이티브,1.1,159.1,2354,1.48,7.2,제작·런칭
2024-10,LUM-24Q4,LUM,V2L 파워,SRCH,V2L 파워 검색 크리에이티브,0.8,36.4,1228,3.38,21.0,제작·런칭
