ym,campaign_id,model_id,feature_focus,medium,asset_name,spend_musd,impressions_m,clicks_k,ctr_pct,cpm_usd,status
2026-03,TRN-26Q1,TRN,X-Pro 오프로드,TV,X-Pro 오프로드 TV·CTV 크리에이티브,4.8,150.7,0,0,32.0,집행중(최적화)
2026-03,TRN-26Q1,TRN,X-Pro 오프로드,DIG,X-Pro 오프로드 디지털 크리에이티브,3.6,380.6,3512,0.92,9.5,집행중(최적화)
2026-03,TRN-26Q1,TRN,X-Pro 오프로드,SOC,X-Pro 오프로드 소셜 크리에이티브,2.2,301.3,4292,1.42,7.2,집행중(최적화)
2026-03,TRN-26Q1,TRN,X-Pro 오프로드,SRCH,X-Pro 오프로드 검색 크리에이티브,1.4,68.9,2364,3.43,21.0,집행중(최적화)
2026-03,VST-26Q1,VST,12.3인치 인포테인먼트,TV,12.3인치 인포테인먼트 TV·CTV 크리에이티브,5.2,163.2,0,0,32.0,집행중(최적화)
2026-03,VST-26Q1,VST,12.3인치 인포테인먼트,DIG,12.3인치 인포테인먼트 디지털 크리에이티브,3.9,412.3,3811,0.92,9.5,집행중(최적화)
2026-03,VST-26Q1,VST,12.3인치 인포테인먼트,SOC,12.3인치 인포테인먼트 소셜 크리에이티브,2.4,326.4,4671,1.43,7.2,집행중(최적화)
2026-03,VST-26Q1,VST,12.3인치 인포테인먼트,SRCH,12.3인치 인포테인먼트 검색 크리에이티브,1.6,74.6,2480,3.32,21.0,집행중(최적화)
2026-03,AUR-26Q1,AUR,ADAS 3.0,TV,ADAS 3.0 TV·CTV 크리에이티브,2.2,70.3,0,0,32.0,집행중(최적화)
2026-03,AUR-26Q1,AUR,ADAS 3.0,DIG,ADAS 3.0 디지털 크리에이티브,1.7,177.6,1571,0.88,9.5,집행중(최적화)
2026-03,AUR-26Q1,AUR,ADAS 3.0,SOC,ADAS 3.0 소셜 크리에이티브,1.0,140.6,2094,1.49,7.2,집행중(최적화)
2026-03,AUR-26Q1,AUR,ADAS 3.0,SRCH,ADAS 3.0 검색 크리에이티브,0.7,32.1,1182,3.68,21.0,집행중(최적화)
2026-03,MRD-26Q1,MRD,가치 패키지,TV,가치 패키지 TV·CTV 크리에이티브,3.2,100.4,0,0,32.0,집행중(최적화)
2026-03,MRD-26Q1,MRD,가치 패키지,DIG,가치 패키지 디지털 크리에이티브,2.4,253.7,2286,0.9,9.5,집행중(최적화)
2026-03,MRD-26Q1,MRD,가치 패키지,SOC,가치 패키지 소셜 크리에이티브,1.4,200.9,2961,1.47,7.2,집행중(최적화)
2026-03,MRD-26Q1,MRD,가치 패키지,SRCH,가치 패키지 검색 크리에이티브,1.0,45.9,1579,3.44,21.0,집행중(최적화)
2026-03,NOV-26Q1,NOV,슬라이딩 편의,TV,슬라이딩 편의 TV·CTV 크리에이티브,2.6,81.6,0,0,32.0,집행중(최적화)
2026-03,NOV-26Q1,NOV,슬라이딩 편의,DIG,슬라이딩 편의 디지털 크리에이티브,2.0,206.2,1625,0.79,9.5,집행중(최적화)
2026-03,NOV-26Q1,NOV,슬라이딩 편의,SOC,슬라이딩 편의 소셜 크리에이티브,1.2,163.2,2452,1.5,7.2,집행중(최적화)
2026-03,NOV-26Q1,NOV,슬라이딩 편의,SRCH,슬라이딩 편의 검색 크리에이티브,0.8,37.3,1265,3.39,21.0,집행중(최적화)
2026-03,LUM-26Q1,LUM,OTA 2.0 커넥티드,TV,OTA 2.0 커넥티드 TV·CTV 크리에이티브,2.6,81.6,0,0,32.0,집행중(최적화)
2026-03,LUM-26Q1,LUM,OTA 2.0 커넥티드,DIG,OTA 2.0 커넥티드 디지털 크리에이티브,2.0,206.2,1839,0.89,9.5,집행중(최적화)
2026-03,LUM-26Q1,LUM,OTA 2.0 커넥티드,SOC,OTA 2.0 커넥티드 소셜 크리에이티브,1.2,163.2,2313,1.42,7.2,집행중(최적화)
2026-03,LUM-26Q1,LUM,OTA 2.0 커넥티드,SRCH,OTA 2.0 커넥티드 검색 크리에이티브,0.8,37.3,1326,3.56,21.0,집행중(최적화)
