ym,campaign_id,model_id,feature_focus,medium,asset_name,spend_musd,impressions_m,clicks_k,ctr_pct,cpm_usd,status
2024-02,TRN-24Q1,TRN,V6 토잉 패키지,TV,V6 토잉 패키지 TV·CTV 크리에이티브,4.7,145.8,0,0,32.0,집행중
2024-02,TRN-24Q1,TRN,V6 토잉 패키지,DIG,V6 토잉 패키지 디지털 크리에이티브,3.5,368.3,3514,0.95,9.5,집행중
2024-02,TRN-24Q1,TRN,V6 토잉 패키지,SOC,V6 토잉 패키지 소셜 크리에이티브,2.1,291.6,3698,1.27,7.2,집행중
2024-02,TRN-24Q1,TRN,V6 토잉 패키지,SRCH,V6 토잉 패키지 검색 크리에이티브,1.4,66.7,2306,3.46,21.0,집행중
2024-02,VST-24Q1,VST,하이브리드 연비,TV,하이브리드 연비 TV·CTV 크리에이티브,5.1,158.0,0,0,32.0,집행중
2024-02,VST-24Q1,VST,하이브리드 연비,DIG,하이브리드 연비 디지털 크리에이티브,3.8,399.0,3788,0.95,9.5,집행중
2024-02,VST-24Q1,VST,하이브리드 연비,SOC,하이브리드 연비 소셜 크리에이티브,2.3,315.9,4457,1.41,7.2,집행중
2024-02,VST-24Q1,VST,하이브리드 연비,SRCH,하이브리드 연비 검색 크리에이티브,1.5,72.2,2656,3.68,21.0,집행중
2024-02,AUR-24Q1,AUR,롱레인지 배터리,TV,롱레인지 배터리 TV·CTV 크리에이티브,1.6,48.6,0,0,32.0,집행중
2024-02,AUR-24Q1,AUR,롱레인지 배터리,DIG,롱레인지 배터리 디지털 크리에이티브,1.2,122.8,1054,0.86,9.5,집행중
2024-02,AUR-24Q1,AUR,롱레인지 배터리,SOC,롱레인지 배터리 소셜 크리에이티브,0.7,97.2,1409,1.45,7.2,집행중
2024-02,AUR-24Q1,AUR,롱레인지 배터리,SRCH,롱레인지 배터리 검색 크리에이티브,0.5,22.2,809,3.64,21.0,집행중
2024-02,MRD-24Q1,MRD,스포츠 다이내믹,TV,스포츠 다이내믹 TV·CTV 크리에이티브,3.1,97.2,0,0,32.0,집행중
2024-02,MRD-24Q1,MRD,스포츠 다이내믹,DIG,스포츠 다이내믹 디지털 크리에이티브,2.3,245.6,2243,0.91,9.5,집행중
2024-02,MRD-24Q1,MRD,스포츠 다이내믹,SOC,스포츠 다이내믹 소셜 크리에이티브,1.4,194.4,2724,1.4,7.2,집행중
2024-02,MRD-24Q1,MRD,스포츠 다이내믹,SRCH,스포츠 다이내믹 검색 크리에이티브,0.9,44.4,1495,3.36,21.0,집행중
2024-02,NOV-24Q1,NOV,패밀리 라운지 시트,TV,패밀리 라운지 시트 TV·CTV 크리에이티브,2.5,79.0,0,0,32.0,집행중
2024-02,NOV-24Q1,NOV,패밀리 라운지 시트,DIG,패밀리 라운지 시트 디지털 크리에이티브,1.9,199.5,1712,0.86,9.5,집행중
2024-02,NOV-24Q1,NOV,패밀리 라운지 시트,SOC,패밀리 라운지 시트 소셜 크리에이티브,1.1,158.0,2348,1.49,7.2,집행중
2024-02,NOV-24Q1,NOV,패밀리 라운지 시트,SRCH,패밀리 라운지 시트 검색 크리에이티브,0.8,36.1,1151,3.19,21.0,집행중
2024-02,LUM-24Q1,LUM,V2L 파워,TV,V2L 파워 TV·CTV 크리에이티브,2.5,79.0,0,0,32.0,집행중
2024-02,LUM-24Q1,LUM,V2L 파워,DIG,V2L 파워 디지털 크리에이티브,1.9,199.5,1655,0.83,9.5,집행중
2024-02,LUM-24Q1,LUM,V2L 파워,SOC,V2L 파워 소셜 크리에이티브,1.1,158.0,2117,1.34,7.2,집행중
2024-02,LUM-24Q1,LUM,V2L 파워,SRCH,V2L 파워 검색 크리에이티브,0.8,36.1,1384,3.83,21.0,집행중
