ym,campaign_id,model_id,feature_focus,medium,asset_name,spend_musd,impressions_m,clicks_k,ctr_pct,cpm_usd,status
2024-07,TRN-24Q3,TRN,V6 토잉 패키지,TV,V6 토잉 패키지 TV·CTV 크리에이티브,4.7,147.4,0,0,32.0,제작·런칭
2024-07,TRN-24Q3,TRN,V6 토잉 패키지,DIG,V6 토잉 패키지 디지털 크리에이티브,3.5,372.4,3489,0.94,9.5,제작·런칭
2024-07,TRN-24Q3,TRN,V6 토잉 패키지,SOC,V6 토잉 패키지 소셜 크리에이티브,2.1,294.8,4032,1.37,7.2,제작·런칭
2024-07,TRN-24Q3,TRN,V6 토잉 패키지,SRCH,V6 토잉 패키지 검색 크리에이티브,1.4,67.4,2352,3.49,21.0,제작·런칭
2024-07,VST-24Q3,VST,하이브리드 연비,TV,하이브리드 연비 TV·CTV 크리에이티브,5.1,159.7,0,0,32.0,제작·런칭
2024-07,VST-24Q3,VST,하이브리드 연비,DIG,하이브리드 연비 디지털 크리에이티브,3.8,403.5,3861,0.96,9.5,제작·런칭
2024-07,VST-24Q3,VST,하이브리드 연비,SOC,하이브리드 연비 소셜 크리에이티브,2.3,319.4,4339,1.36,7.2,제작·런칭
2024-07,VST-24Q3,VST,하이브리드 연비,SRCH,하이브리드 연비 검색 크리에이티브,1.5,73.0,2950,4.04,21.0,제작·런칭
2024-07,AUR-24Q3,AUR,롱레인지 배터리,TV,롱레인지 배터리 TV·CTV 크리에이티브,1.6,49.1,0,0,32.0,제작·런칭
2024-07,AUR-24Q3,AUR,롱레인지 배터리,DIG,롱레인지 배터리 디지털 크리에이티브,1.2,124.1,1080,0.87,9.5,제작·런칭
2024-07,AUR-24Q3,AUR,롱레인지 배터리,SOC,롱레인지 배터리 소셜 크리에이티브,0.7,98.3,1273,1.3,7.2,제작·런칭
2024-07,AUR-24Q3,AUR,롱레인지 배터리,SRCH,롱레인지 배터리 검색 크리에이티브,0.5,22.5,837,3.73,21.0,제작·런칭
2024-07,MRD-24Q3,MRD,스포츠 다이내믹,TV,스포츠 다이내믹 TV·CTV 크리에이티브,3.1,98.3,0,0,32.0,제작·런칭
2024-07,MRD-24Q3,MRD,스포츠 다이내믹,DIG,스포츠 다이내믹 디지털 크리에이티브,2.4,248.3,2272,0.92,9.5,제작·런칭
2024-07,MRD-24Q3,MRD,스포츠 다이내믹,SOC,스포츠 다이내믹 소셜 크리에이티브,1.4,196.6,2740,1.39,7.2,제작·런칭
2024-07,MRD-24Q3,MRD,스포츠 다이내믹,SRCH,스포츠 다이내믹 검색 크리에이티브,0.9,44.9,1544,3.44,21.0,제작·런칭
2024-07,NOV-24Q3,NOV,패밀리 라운지 시트,TV,패밀리 라운지 시트 TV·CTV 크리에이티브,2.6,79.9,0,0,32.0,제작·런칭
2024-07,NOV-24Q3,NOV,패밀리 라운지 시트,DIG,패밀리 라운지 시트 디지털 크리에이티브,1.9,201.7,1793,0.89,9.5,제작·런칭
2024-07,NOV-24Q3,NOV,패밀리 라운지 시트,SOC,패밀리 라운지 시트 소셜 크리에이티브,1.1,159.7,2174,1.36,7.2,제작·런칭
2024-07,NOV-24Q3,NOV,패밀리 라운지 시트,SRCH,패밀리 라운지 시트 검색 크리에이티브,0.8,36.5,1281,3.51,21.0,제작·런칭
2024-07,LUM-24Q3,LUM,V2L 파워,TV,V2L 파워 TV·CTV 크리에이티브,2.6,79.9,0,0,32.0,제작·런칭
2024-07,LUM-24Q3,LUM,V2L 파워,DIG,V2L 파워 디지털 크리에이티브,1.9,201.7,1766,0.88,9.5,제작·런칭
2024-07,LUM-24Q3,LUM,V2L 파워,SOC,V2L 파워 소셜 크리에이티브,1.1,159.7,2275,1.42,7.2,제작·런칭
2024-07,LUM-24Q3,LUM,V2L 파워,SRCH,V2L 파워 검색 크리에이티브,0.8,36.5,1276,3.5,21.0,제작·런칭
