ym,zone_id,model_id,voc_cnt,service_in_cnt,booking_delay_days,campaign_repair_cnt
2025-12,west,TRN,74,360,3.1,0
2025-12,central,TRN,47,236,3.0,0
2025-12,south,TRN,51,305,4.1,0
2025-12,northeast,TRN,52,236,3.4,0
2025-12,southeast,TRN,45,249,3.3,0
2025-12,west,VST,81,390,4.0,0
2025-12,central,VST,51,255,3.8,0
2025-12,south,VST,65,330,2.9,0
2025-12,northeast,VST,50,255,3.0,0
2025-12,southeast,VST,46,270,2.8,0
2025-12,west,AUR,29,154,2.7,0
2025-12,central,AUR,10,56,2.4,0
2025-12,south,AUR,12,72,3.6,0
2025-12,northeast,AUR,19,101,4.0,0
2025-12,southeast,AUR,14,79,2.6,0
2025-12,west,MRD,42,240,3.5,0
2025-12,central,MRD,30,157,2.5,0
2025-12,south,MRD,40,203,3.5,0
2025-12,northeast,MRD,29,157,4.1,0
2025-12,southeast,MRD,31,166,2.9,0
2025-12,west,NOV,37,195,3.2,0
2025-12,central,NOV,25,128,3.0,0
2025-12,south,NOV,31,165,3.5,0
2025-12,northeast,NOV,23,128,3.8,0
2025-12,southeast,NOV,28,135,2.9,0
2025-12,west,LUM,42,250,3.7,0
2025-12,central,LUM,16,91,3.4,0
2025-12,south,LUM,22,118,3.2,0
2025-12,northeast,LUM,32,164,2.9,0
2025-12,southeast,LUM,27,128,3.8,0
