ym,zone_id,model_id,voc_cnt,service_in_cnt,booking_delay_days,campaign_repair_cnt
2024-08,west,TRN,63,347,2.4,0
2024-08,central,TRN,45,227,2.8,0
2024-08,south,TRN,54,293,4.5,0
2024-08,northeast,TRN,40,227,3.0,0
2024-08,southeast,TRN,47,240,2.8,0
2024-08,west,VST,77,376,2.1,0
2024-08,central,VST,49,246,2.9,0
2024-08,south,VST,52,318,3.6,0
2024-08,northeast,VST,48,246,3.5,0
2024-08,southeast,VST,52,260,3.3,0
2024-08,west,AUR,32,148,2.6,0
2024-08,central,AUR,11,54,3.0,0
2024-08,south,AUR,13,70,3.2,0
2024-08,northeast,AUR,17,97,3.2,0
2024-08,southeast,AUR,14,76,3.0,0
2024-08,west,MRD,45,231,3.2,0
2024-08,central,MRD,27,151,3.2,0
2024-08,south,MRD,34,196,2.7,0
2024-08,northeast,MRD,27,151,3.4,0
2024-08,southeast,MRD,27,160,3.0,0
2024-08,west,NOV,33,188,2.5,0
2024-08,central,NOV,23,123,3.0,0
2024-08,south,NOV,28,159,3.6,0
2024-08,northeast,NOV,22,123,3.6,0
2024-08,southeast,NOV,24,130,3.5,0
2024-08,west,LUM,48,241,2.6,0
2024-08,central,LUM,17,87,3.1,0
2024-08,south,LUM,21,113,3.0,0
2024-08,northeast,LUM,26,157,3.1,0
2024-08,southeast,LUM,22,123,3.4,0
