ym,zone_id,model_id,voc_cnt,service_in_cnt,booking_delay_days,campaign_repair_cnt
2024-01,west,TRN,73,341,3.4,0
2024-01,central,TRN,41,223,4.3,0
2024-01,south,TRN,56,288,4.2,0
2024-01,northeast,TRN,40,223,3.8,0
2024-01,southeast,TRN,47,236,3.8,0
2024-01,west,VST,73,369,3.7,0
2024-01,central,VST,47,241,3.4,0
2024-01,south,VST,62,312,3.6,0
2024-01,northeast,VST,49,241,3.3,0
2024-01,southeast,VST,47,256,3.2,0
2024-01,west,AUR,28,146,2.3,0
2024-01,central,AUR,10,53,2.5,0
2024-01,south,AUR,13,68,3.1,0
2024-01,northeast,AUR,18,95,2.2,0
2024-01,southeast,AUR,16,75,3.8,0
2024-01,west,MRD,45,227,3.4,0
2024-01,central,MRD,30,149,2.8,0
2024-01,south,MRD,33,192,4.1,0
2024-01,northeast,MRD,33,149,2.8,0
2024-01,southeast,MRD,32,157,3.6,0
2024-01,west,NOV,33,185,2.8,0
2024-01,central,NOV,24,121,3.9,0
2024-01,south,NOV,28,156,3.2,0
2024-01,northeast,NOV,22,121,3.3,0
2024-01,southeast,NOV,25,128,2.4,0
2024-01,west,LUM,41,237,3.4,0
2024-01,central,LUM,18,86,2.7,0
2024-01,south,LUM,23,111,3.4,0
2024-01,northeast,LUM,27,155,3.7,0
2024-01,southeast,LUM,23,121,3.7,0
