ym,zone_id,model_id,voc_cnt,service_in_cnt,booking_delay_days,campaign_repair_cnt
2025-04,west,TRN,71,353,4.0,0
2025-04,central,TRN,38,231,3.2,0
2025-04,south,TRN,56,299,3.1,0
2025-04,northeast,TRN,46,231,3.1,0
2025-04,southeast,TRN,48,245,3.4,0
2025-04,west,VST,74,383,3.9,0
2025-04,central,VST,44,250,3.1,0
2025-04,south,VST,67,324,3.0,0
2025-04,northeast,VST,51,250,3.6,0
2025-04,southeast,VST,54,265,4.0,0
2025-04,west,AUR,28,151,3.4,0
2025-04,central,AUR,10,55,3.7,0
2025-04,south,AUR,14,71,3.4,0
2025-04,northeast,AUR,18,99,3.7,0
2025-04,southeast,AUR,15,77,2.3,0
2025-04,west,MRD,49,236,2.8,0
2025-04,central,MRD,30,154,2.9,0
2025-04,south,MRD,37,199,3.1,0
2025-04,northeast,MRD,32,154,2.8,0
2025-04,southeast,MRD,28,163,2.9,0
2025-04,west,NOV,37,191,3.1,0
2025-04,central,NOV,25,125,4.5,0
2025-04,south,NOV,31,162,2.6,0
2025-04,northeast,NOV,25,125,3.5,0
2025-04,southeast,NOV,26,133,3.3,0
2025-04,west,LUM,47,245,2.6,0
2025-04,central,LUM,17,89,3.2,0
2025-04,south,LUM,22,115,3.0,0
2025-04,northeast,LUM,29,161,3.0,0
2025-04,southeast,LUM,24,126,3.0,0
