ym,zone_id,model_id,voc_cnt,service_in_cnt,booking_delay_days,campaign_repair_cnt
2024-04,west,TRN,69,343,3.4,0
2024-04,central,TRN,45,224,3.5,0
2024-04,south,TRN,60,290,2.4,0
2024-04,northeast,TRN,39,224,3.1,0
2024-04,southeast,TRN,51,238,2.7,0
2024-04,west,VST,75,372,3.2,0
2024-04,central,VST,47,243,1.7,0
2024-04,south,VST,59,315,4.2,0
2024-04,northeast,VST,44,243,3.3,0
2024-04,southeast,VST,49,257,2.0,0
2024-04,west,AUR,29,147,3.4,0
2024-04,central,AUR,10,53,3.6,0
2024-04,south,AUR,14,69,2.3,0
2024-04,northeast,AUR,19,96,3.3,0
2024-04,southeast,AUR,14,75,3.1,0
2024-04,west,MRD,37,229,3.7,0
2024-04,central,MRD,31,150,3.7,0
2024-04,south,MRD,41,194,2.0,0
2024-04,northeast,MRD,32,150,3.5,0
2024-04,southeast,MRD,33,158,3.4,0
2024-04,west,NOV,31,186,3.7,0
2024-04,central,NOV,22,122,3.7,0
2024-04,south,NOV,33,157,3.8,0
2024-04,northeast,NOV,22,122,3.4,0
2024-04,southeast,NOV,25,129,3.1,0
2024-04,west,LUM,43,238,2.5,0
2024-04,central,LUM,15,87,3.5,0
2024-04,south,LUM,21,112,3.4,0
2024-04,northeast,LUM,31,156,4.1,0
2024-04,southeast,LUM,21,122,3.9,0
