ym,zone_id,model_id,voc_cnt,service_in_cnt,booking_delay_days,campaign_repair_cnt
2025-07,west,TRN,66,356,3.6,0
2025-07,central,TRN,41,233,2.8,0
2025-07,south,TRN,51,301,3.6,0
2025-07,northeast,TRN,50,233,3.0,0
2025-07,southeast,TRN,47,246,2.4,0
2025-07,west,VST,85,386,3.8,0
2025-07,central,VST,46,252,3.3,0
2025-07,south,VST,66,326,3.2,0
2025-07,northeast,VST,55,252,3.5,0
2025-07,southeast,VST,40,267,3.2,0
2025-07,west,AUR,31,152,3.4,0
2025-07,central,AUR,13,55,3.1,0
2025-07,south,AUR,14,72,2.5,0
2025-07,northeast,AUR,20,99,2.4,0
2025-07,southeast,AUR,16,78,2.4,0
2025-07,west,MRD,42,237,2.7,0
2025-07,central,MRD,30,155,2.5,0
2025-07,south,MRD,40,201,3.2,0
2025-07,northeast,MRD,31,155,2.4,0
2025-07,southeast,MRD,29,164,4.2,0
2025-07,west,NOV,34,193,3.2,0
2025-07,central,NOV,26,126,3.3,0
2025-07,south,NOV,29,163,3.3,0
2025-07,northeast,NOV,23,126,2.9,0
2025-07,southeast,NOV,26,134,3.9,0
2025-07,west,LUM,48,247,3.7,0
2025-07,central,LUM,16,90,3.3,0
2025-07,south,LUM,21,116,3.1,0
2025-07,northeast,LUM,28,162,2.9,0
2025-07,southeast,LUM,26,127,2.3,0
