ym,zone_id,model_id,voc_cnt,service_in_cnt,booking_delay_days,campaign_repair_cnt
2026-04,west,TRN,59,364,2.6,0
2026-04,central,TRN,42,238,3.5,0
2026-04,south,TRN,54,308,2.8,0
2026-04,northeast,TRN,47,238,2.8,0
2026-04,southeast,TRN,49,252,2.5,0
2026-04,west,VST,81,394,2.5,0
2026-04,central,VST,50,258,3.7,0
2026-04,south,VST,65,333,3.3,0
2026-04,northeast,VST,42,258,3.6,0
2026-04,southeast,VST,52,273,3.4,0
2026-04,west,AUR,60,196,7.6,59
2026-04,central,AUR,22,71,8.3,21
2026-04,south,AUR,31,92,7.6,28
2026-04,northeast,AUR,35,128,8.5,38
2026-04,southeast,AUR,35,100,7.6,30
2026-04,west,MRD,42,242,2.7,0
2026-04,central,MRD,25,159,3.2,0
2026-04,south,MRD,37,205,2.7,0
2026-04,northeast,MRD,31,159,2.4,0
2026-04,southeast,MRD,33,168,2.8,0
2026-04,west,NOV,36,197,3.6,0
2026-04,central,NOV,23,129,2.9,0
2026-04,south,NOV,30,167,3.8,0
2026-04,northeast,NOV,20,129,3.3,0
2026-04,southeast,NOV,25,136,3.2,0
2026-04,west,LUM,48,253,4.0,0
2026-04,central,LUM,19,92,3.5,0
2026-04,south,LUM,21,119,2.7,0
2026-04,northeast,LUM,30,165,3.5,0
2026-04,southeast,LUM,28,130,2.9,0
