ym,zone_id,model_id,voc_cnt,service_in_cnt,booking_delay_days,campaign_repair_cnt
2025-06,west,TRN,65,355,3.3,0
2025-06,central,TRN,41,232,3.9,0
2025-06,south,TRN,66,301,4.0,0
2025-06,northeast,TRN,41,232,2.2,0
2025-06,southeast,TRN,50,246,3.8,0
2025-06,west,VST,81,385,3.0,0
2025-06,central,VST,49,252,2.2,0
2025-06,south,VST,61,326,2.7,0
2025-06,northeast,VST,50,252,2.7,0
2025-06,southeast,VST,44,266,2.8,0
2025-06,west,AUR,25,152,3.8,0
2025-06,central,AUR,10,55,3.1,0
2025-06,south,AUR,13,71,3.4,0
2025-06,northeast,AUR,19,99,2.8,0
2025-06,southeast,AUR,15,78,2.4,0
2025-06,west,MRD,40,237,3.5,0
2025-06,central,MRD,31,155,4.1,0
2025-06,south,MRD,35,200,3.4,0
2025-06,northeast,MRD,34,155,4.1,0
2025-06,southeast,MRD,35,164,3.1,0
2025-06,west,NOV,37,192,3.3,0
2025-06,central,NOV,24,126,3.8,0
2025-06,south,NOV,29,163,3.1,0
2025-06,northeast,NOV,23,126,3.6,0
2025-06,southeast,NOV,26,133,2.5,0
2025-06,west,LUM,48,247,2.9,0
2025-06,central,LUM,19,90,2.8,0
2025-06,south,LUM,22,116,2.8,0
2025-06,northeast,LUM,34,161,3.4,0
2025-06,southeast,LUM,25,126,2.8,0
