ym,zone_id,model_id,voc_cnt,service_in_cnt,booking_delay_days,campaign_repair_cnt
2026-03,west,TRN,62,363,2.5,0
2026-03,central,TRN,46,237,3.5,0
2026-03,south,TRN,60,307,2.8,0
2026-03,northeast,TRN,46,237,2.4,0
2026-03,southeast,TRN,46,251,3.3,0
2026-03,west,VST,77,393,3.7,0
2026-03,central,VST,48,257,3.5,0
2026-03,south,VST,69,333,2.8,0
2026-03,northeast,VST,50,257,3.0,0
2026-03,southeast,VST,54,272,3.1,0
2026-03,west,AUR,64,195,7.1,59
2026-03,central,AUR,23,71,7.4,21
2026-03,south,AUR,25,92,8.6,28
2026-03,northeast,AUR,41,128,7.5,38
2026-03,southeast,AUR,30,100,7.8,30
2026-03,west,MRD,44,242,3.8,0
2026-03,central,MRD,34,158,3.1,0
2026-03,south,MRD,40,205,2.4,0
2026-03,northeast,MRD,35,158,3.5,0
2026-03,southeast,MRD,30,167,3.1,0
2026-03,west,NOV,33,197,2.2,0
2026-03,central,NOV,24,129,2.6,0
2026-03,south,NOV,35,166,2.9,0
2026-03,northeast,NOV,27,129,3.3,0
2026-03,southeast,NOV,28,136,3.2,0
2026-03,west,LUM,45,252,3.6,0
2026-03,central,LUM,18,92,3.0,0
2026-03,south,LUM,24,118,3.2,0
2026-03,northeast,LUM,32,165,2.9,0
2026-03,southeast,LUM,26,129,3.1,0
