ym,zone_id,model_id,voc_cnt,service_in_cnt,booking_delay_days,campaign_repair_cnt
2025-01,west,TRN,71,351,2.6,0
2025-01,central,TRN,51,229,3.6,0
2025-01,south,TRN,50,297,3.8,0
2025-01,northeast,TRN,45,229,2.8,0
2025-01,southeast,TRN,47,243,3.7,0
2025-01,west,VST,76,380,4.0,0
2025-01,central,VST,50,249,3.3,0
2025-01,south,VST,59,322,3.0,0
2025-01,northeast,VST,47,249,3.5,0
2025-01,southeast,VST,43,263,2.2,0
2025-01,west,AUR,30,150,2.9,0
2025-01,central,AUR,11,54,2.4,0
2025-01,south,AUR,11,70,2.9,0
2025-01,northeast,AUR,18,98,4.0,0
2025-01,southeast,AUR,14,77,3.2,0
2025-01,west,MRD,47,234,3.1,0
2025-01,central,MRD,30,153,3.8,0
2025-01,south,MRD,34,198,3.9,0
2025-01,northeast,MRD,29,153,2.4,0
2025-01,southeast,MRD,31,162,3.9,0
2025-01,west,NOV,35,190,3.4,0
2025-01,central,NOV,22,124,2.5,0
2025-01,south,NOV,32,161,3.2,0
2025-01,northeast,NOV,25,124,3.9,0
2025-01,southeast,NOV,28,132,3.2,0
2025-01,west,LUM,41,244,3.1,0
2025-01,central,LUM,19,89,2.7,0
2025-01,south,LUM,20,115,2.6,0
2025-01,northeast,LUM,33,159,4.2,0
2025-01,southeast,LUM,26,125,4.0,0
