ym,zone_id,model_id,voc_cnt,service_in_cnt,booking_delay_days,campaign_repair_cnt
2024-11,west,TRN,60,349,3.3,0
2024-11,central,TRN,45,228,3.0,0
2024-11,south,TRN,64,295,2.5,0
2024-11,northeast,TRN,43,228,3.2,0
2024-11,southeast,TRN,46,242,2.9,0
2024-11,west,VST,76,378,3.4,0
2024-11,central,VST,50,247,4.4,0
2024-11,south,VST,63,320,2.8,0
2024-11,northeast,VST,54,247,3.6,0
2024-11,southeast,VST,49,262,2.8,0
2024-11,west,AUR,27,149,2.9,0
2024-11,central,AUR,11,54,3.5,0
2024-11,south,AUR,13,70,3.3,0
2024-11,northeast,AUR,17,98,3.3,0
2024-11,southeast,AUR,15,77,3.9,0
2024-11,west,MRD,44,233,3.5,0
2024-11,central,MRD,27,152,3.0,0
2024-11,south,MRD,38,197,3.6,0
2024-11,northeast,MRD,26,152,3.5,0
2024-11,southeast,MRD,31,161,3.1,0
2024-11,west,NOV,39,189,2.3,0
2024-11,central,NOV,23,124,3.3,0
2024-11,south,NOV,32,160,3.2,0
2024-11,northeast,NOV,26,124,3.9,0
2024-11,southeast,NOV,23,131,2.5,0
2024-11,west,LUM,44,243,2.6,0
2024-11,central,LUM,18,88,3.7,0
2024-11,south,LUM,20,114,4.0,0
2024-11,northeast,LUM,32,159,3.0,0
2024-11,southeast,LUM,24,124,2.7,0
