ym,zone_id,model_id,voc_cnt,service_in_cnt,booking_delay_days,campaign_repair_cnt
2025-02,west,TRN,57,352,3.0,0
2025-02,central,TRN,43,230,3.6,0
2025-02,south,TRN,56,298,3.2,0
2025-02,northeast,TRN,37,230,3.0,0
2025-02,southeast,TRN,46,244,2.4,0
2025-02,west,VST,76,381,3.2,0
2025-02,central,VST,42,249,3.6,0
2025-02,south,VST,62,322,4.3,0
2025-02,northeast,VST,44,249,4.0,0
2025-02,southeast,VST,52,264,4.6,0
2025-02,west,AUR,27,150,4.1,0
2025-02,central,AUR,12,55,3.4,0
2025-02,south,AUR,14,71,4.0,0
2025-02,northeast,AUR,21,98,3.0,0
2025-02,southeast,AUR,15,77,3.1,0
2025-02,west,MRD,42,235,3.4,0
2025-02,central,MRD,27,153,3.1,0
2025-02,south,MRD,36,198,3.5,0
2025-02,northeast,MRD,30,153,3.5,0
2025-02,southeast,MRD,29,162,3.4,0
2025-02,west,NOV,38,191,3.9,0
2025-02,central,NOV,25,125,2.4,0
2025-02,south,NOV,33,161,3.3,0
2025-02,northeast,NOV,23,125,4.0,0
2025-02,southeast,NOV,25,132,2.6,0
2025-02,west,LUM,39,244,3.0,0
2025-02,central,LUM,17,89,2.9,0
2025-02,south,LUM,23,115,3.9,0
2025-02,northeast,LUM,32,160,3.9,0
2025-02,southeast,LUM,24,125,3.5,0
