ym,zone_id,model_id,voc_cnt,service_in_cnt,booking_delay_days,campaign_repair_cnt
2024-12,west,TRN,73,350,2.5,0
2024-12,central,TRN,45,229,2.2,0
2024-12,south,TRN,55,296,3.5,0
2024-12,northeast,TRN,43,229,2.7,0
2024-12,southeast,TRN,51,242,3.2,0
2024-12,west,VST,73,379,3.1,0
2024-12,central,VST,51,248,2.5,0
2024-12,south,VST,72,321,3.0,0
2024-12,northeast,VST,45,248,3.7,0
2024-12,southeast,VST,54,263,3.2,0
2024-12,west,AUR,28,150,2.8,0
2024-12,central,AUR,11,54,3.4,0
2024-12,south,AUR,14,70,3.2,0
2024-12,northeast,AUR,18,98,2.8,0
2024-12,southeast,AUR,13,77,2.6,0
2024-12,west,MRD,44,233,4.2,0
2024-12,central,MRD,29,153,3.5,0
2024-12,south,MRD,35,197,2.2,0
2024-12,northeast,MRD,30,153,2.9,0
2024-12,southeast,MRD,30,162,3.0,0
2024-12,west,NOV,38,190,4.2,0
2024-12,central,NOV,22,124,2.7,0
2024-12,south,NOV,25,160,2.9,0
2024-12,northeast,NOV,24,124,3.3,0
2024-12,southeast,NOV,28,131,3.8,0
2024-12,west,LUM,42,243,4.2,0
2024-12,central,LUM,18,88,3.6,0
2024-12,south,LUM,22,114,3.6,0
2024-12,northeast,LUM,35,159,3.1,0
2024-12,southeast,LUM,27,125,3.1,0
