ym,zone_id,model_id,voc_cnt,service_in_cnt,booking_delay_days,campaign_repair_cnt
2024-07,west,TRN,63,346,3.7,0
2024-07,central,TRN,39,226,3.2,0
2024-07,south,TRN,63,293,3.0,0
2024-07,northeast,TRN,36,226,3.0,0
2024-07,southeast,TRN,46,239,2.9,0
2024-07,west,VST,73,375,3.1,0
2024-07,central,VST,46,245,3.4,0
2024-07,south,VST,67,317,2.7,0
2024-07,northeast,VST,46,245,2.9,0
2024-07,southeast,VST,48,259,3.3,0
2024-07,west,AUR,24,148,2.7,0
2024-07,central,AUR,10,54,2.5,0
2024-07,south,AUR,14,69,3.4,0
2024-07,northeast,AUR,16,97,3.4,0
2024-07,southeast,AUR,15,76,3.3,0
2024-07,west,MRD,46,231,2.7,0
2024-07,central,MRD,29,151,4.2,0
2024-07,south,MRD,43,195,3.0,0
2024-07,northeast,MRD,28,151,3.4,0
2024-07,southeast,MRD,33,160,3.2,0
2024-07,west,NOV,33,187,3.6,0
2024-07,central,NOV,24,122,2.8,0
2024-07,south,NOV,30,158,3.1,0
2024-07,northeast,NOV,22,122,3.4,0
2024-07,southeast,NOV,26,130,2.5,0
2024-07,west,LUM,47,240,3.2,0
2024-07,central,LUM,17,87,3.8,0
2024-07,south,LUM,19,113,2.6,0
2024-07,northeast,LUM,32,157,3.6,0
2024-07,southeast,LUM,22,123,3.3,0
