ym,zone_id,model_id,voc_cnt,service_in_cnt,booking_delay_days,campaign_repair_cnt
2025-09,west,TRN,61,358,3.4,0
2025-09,central,TRN,47,234,3.9,0
2025-09,south,TRN,55,303,3.6,0
2025-09,northeast,TRN,51,234,3.3,0
2025-09,southeast,TRN,47,248,2.5,0
2025-09,west,VST,75,388,3.2,0
2025-09,central,VST,54,253,3.8,0
2025-09,south,VST,59,328,3.2,0
2025-09,northeast,VST,47,253,3.6,0
2025-09,southeast,VST,53,268,3.1,0
2025-09,west,AUR,26,153,3.0,0
2025-09,central,AUR,11,56,3.3,0
2025-09,south,AUR,13,72,3.0,0
2025-09,northeast,AUR,19,100,3.2,0
2025-09,southeast,AUR,15,78,2.8,0
2025-09,west,MRD,41,238,3.4,0
2025-09,central,MRD,30,156,2.9,0
2025-09,south,MRD,39,202,2.7,0
2025-09,northeast,MRD,28,156,3.3,0
2025-09,southeast,MRD,27,165,3.8,0
2025-09,west,NOV,41,194,3.4,0
2025-09,central,NOV,21,127,3.0,0
2025-09,south,NOV,32,164,3.4,0
2025-09,northeast,NOV,24,127,3.2,0
2025-09,southeast,NOV,30,134,3.2,0
2025-09,west,LUM,42,248,3.4,0
2025-09,central,LUM,18,90,3.4,0
2025-09,south,LUM,19,117,3.2,0
2025-09,northeast,LUM,32,162,2.3,0
2025-09,southeast,LUM,26,127,3.1,0
