ym,zone_id,model_id,voc_cnt,service_in_cnt,booking_delay_days,campaign_repair_cnt
2025-05,west,TRN,57,354,4.2,0
2025-05,central,TRN,46,232,3.2,0
2025-05,south,TRN,64,300,3.9,0
2025-05,northeast,TRN,42,232,3.6,0
2025-05,southeast,TRN,46,245,3.4,0
2025-05,west,VST,59,384,3.7,0
2025-05,central,VST,43,251,3.4,0
2025-05,south,VST,60,325,2.9,0
2025-05,northeast,VST,52,251,3.4,0
2025-05,southeast,VST,50,266,3.0,0
2025-05,west,AUR,26,151,3.6,0
2025-05,central,AUR,9,55,3.3,0
2025-05,south,AUR,15,71,3.6,0
2025-05,northeast,AUR,17,99,2.5,0
2025-05,southeast,AUR,14,78,2.9,0
2025-05,west,MRD,46,236,3.1,0
2025-05,central,MRD,26,154,4.0,0
2025-05,south,MRD,43,200,2.9,0
2025-05,northeast,MRD,28,154,2.8,0
2025-05,southeast,MRD,33,164,4.5,0
2025-05,west,NOV,38,192,3.0,0
2025-05,central,NOV,28,125,2.4,0
2025-05,south,NOV,27,162,2.6,0
2025-05,northeast,NOV,27,125,2.6,0
2025-05,southeast,NOV,26,133,2.4,0
2025-05,west,LUM,44,246,3.5,0
2025-05,central,LUM,17,89,3.0,0
2025-05,south,LUM,18,116,3.5,0
2025-05,northeast,LUM,32,161,3.3,0
2025-05,southeast,LUM,22,126,2.6,0
