ym,zone_id,model_id,voc_cnt,service_in_cnt,booking_delay_days,campaign_repair_cnt
2025-10,west,TRN,70,359,3.4,0
2025-10,central,TRN,46,234,4.0,0
2025-10,south,TRN,58,303,3.8,0
2025-10,northeast,TRN,42,234,2.7,0
2025-10,southeast,TRN,49,248,3.5,0
2025-10,west,VST,78,388,2.9,0
2025-10,central,VST,53,254,2.9,0
2025-10,south,VST,61,329,2.9,0
2025-10,northeast,VST,54,254,3.8,0
2025-10,southeast,VST,52,269,2.6,0
2025-10,west,AUR,27,153,3.1,0
2025-10,central,AUR,8,56,3.6,0
2025-10,south,AUR,12,72,3.0,0
2025-10,northeast,AUR,19,100,3.0,0
2025-10,southeast,AUR,17,79,2.4,0
2025-10,west,MRD,50,239,3.8,0
2025-10,central,MRD,29,156,2.6,0
2025-10,south,MRD,40,202,2.6,0
2025-10,northeast,MRD,30,156,1.7,0
2025-10,southeast,MRD,31,166,3.3,0
2025-10,west,NOV,39,194,3.3,0
2025-10,central,NOV,26,127,3.0,0
2025-10,south,NOV,30,164,3.1,0
2025-10,northeast,NOV,26,127,2.6,0
2025-10,southeast,NOV,25,134,2.8,0
2025-10,west,LUM,49,249,3.4,0
2025-10,central,LUM,18,90,2.7,0
2025-10,south,LUM,21,117,3.1,0
2025-10,northeast,LUM,31,163,3.6,0
2025-10,southeast,LUM,26,128,2.4,0
