ym,zone_id,model_id,voc_cnt,service_in_cnt,booking_delay_days,campaign_repair_cnt
2026-08,west,TRN,64,367,3.5,0
2026-08,central,TRN,45,240,3.0,0
2026-08,south,TRN,58,311,3.5,0
2026-08,northeast,TRN,43,240,3.3,0
2026-08,southeast,TRN,45,254,3.2,0
2026-08,west,VST,75,398,3.7,0
2026-08,central,VST,43,260,3.8,0
2026-08,south,VST,67,337,3.2,0
2026-08,northeast,VST,44,260,3.3,0
2026-08,southeast,VST,56,275,2.5,0
2026-08,west,AUR,31,157,2.9,0
2026-08,central,AUR,11,57,3.4,0
2026-08,south,AUR,14,74,3.2,0
2026-08,northeast,AUR,20,103,3.3,0
2026-08,southeast,AUR,16,80,2.8,0
2026-08,west,MRD,49,245,2.7,0
2026-08,central,MRD,26,160,3.1,0
2026-08,south,MRD,41,207,4.1,0
2026-08,northeast,MRD,33,160,3.2,0
2026-08,southeast,MRD,36,169,3.0,0
2026-08,west,NOV,39,199,3.0,0
2026-08,central,NOV,26,130,3.9,0
2026-08,south,NOV,33,168,4.2,0
2026-08,northeast,NOV,24,130,2.7,0
2026-08,southeast,NOV,27,138,3.3,0
2026-08,west,LUM,51,255,3.6,0
2026-08,central,LUM,17,93,2.3,0
2026-08,south,LUM,21,120,2.7,0
2026-08,northeast,LUM,31,167,3.0,0
2026-08,southeast,LUM,22,131,3.9,0
