ym,zone_id,model_id,voc_cnt,service_in_cnt,booking_delay_days,campaign_repair_cnt
2026-05,west,TRN,78,365,1.6,0
2026-05,central,TRN,46,238,2.9,0
2026-05,south,TRN,57,308,2.3,0
2026-05,northeast,TRN,46,238,2.7,0
2026-05,southeast,TRN,50,252,2.7,0
2026-05,west,VST,80,395,3.3,0
2026-05,central,VST,60,258,3.8,0
2026-05,south,VST,60,334,3.3,0
2026-05,northeast,VST,54,258,3.8,0
2026-05,southeast,VST,60,273,3.8,0
2026-05,west,AUR,64,196,8.0,59
2026-05,central,AUR,22,71,7.6,21
2026-05,south,AUR,28,92,7.6,28
2026-05,northeast,AUR,41,128,7.3,39
2026-05,southeast,AUR,29,101,8.1,30
2026-05,west,MRD,49,243,2.8,0
2026-05,central,MRD,25,159,3.0,0
2026-05,south,MRD,33,206,3.0,0
2026-05,northeast,MRD,35,159,1.7,0
2026-05,southeast,MRD,32,168,3.3,0
2026-05,west,NOV,34,197,3.0,0
2026-05,central,NOV,21,129,3.8,0
2026-05,south,NOV,32,167,3.8,0
2026-05,northeast,NOV,23,129,2.7,0
2026-05,southeast,NOV,30,137,4.1,0
2026-05,west,LUM,44,253,3.0,0
2026-05,central,LUM,18,92,3.3,0
2026-05,south,LUM,21,119,3.0,0
2026-05,northeast,LUM,30,166,3.6,0
2026-05,southeast,LUM,23,130,3.2,0
