ym,zone_id,model_id,voc_cnt,service_in_cnt,booking_delay_days,campaign_repair_cnt
2024-03,west,TRN,59,342,2.9,0
2024-03,central,TRN,39,224,3.0,0
2024-03,south,TRN,62,290,3.5,0
2024-03,northeast,TRN,45,224,2.8,0
2024-03,southeast,TRN,46,237,3.0,0
2024-03,west,VST,72,371,3.6,0
2024-03,central,VST,46,243,3.2,0
2024-03,south,VST,61,314,3.7,0
2024-03,northeast,VST,48,243,3.8,0
2024-03,southeast,VST,44,257,3.9,0
2024-03,west,AUR,29,146,2.6,0
2024-03,central,AUR,10,53,3.5,0
2024-03,south,AUR,13,69,2.8,0
2024-03,northeast,AUR,19,96,3.8,0
2024-03,southeast,AUR,12,75,4.3,0
2024-03,west,MRD,38,228,3.5,0
2024-03,central,MRD,29,149,3.1,0
2024-03,south,MRD,39,193,2.9,0
2024-03,northeast,MRD,29,149,3.2,0
2024-03,southeast,MRD,31,158,2.8,0
2024-03,west,NOV,37,185,4.2,0
2024-03,central,NOV,22,121,3.4,0
2024-03,south,NOV,32,157,2.8,0
2024-03,northeast,NOV,20,121,3.6,0
2024-03,southeast,NOV,26,128,3.0,0
2024-03,west,LUM,47,238,2.8,0
2024-03,central,LUM,16,86,3.9,0
2024-03,south,LUM,21,112,3.6,0
2024-03,northeast,LUM,33,155,3.7,0
2024-03,southeast,LUM,23,122,2.5,0
