ym,zone_id,model_id,voc_cnt,service_in_cnt,booking_delay_days,campaign_repair_cnt
2025-08,west,TRN,64,357,3.8,0
2025-08,central,TRN,43,233,3.1,0
2025-08,south,TRN,64,302,3.3,0
2025-08,northeast,TRN,43,233,3.3,0
2025-08,southeast,TRN,57,247,3.8,0
2025-08,west,VST,73,387,3.4,0
2025-08,central,VST,45,253,3.6,0
2025-08,south,VST,63,327,3.7,0
2025-08,northeast,VST,46,253,3.7,0
2025-08,southeast,VST,53,268,4.3,0
2025-08,west,AUR,28,153,2.7,0
2025-08,central,AUR,10,55,4.8,0
2025-08,south,AUR,13,72,3.0,0
2025-08,northeast,AUR,21,100,2.4,0
2025-08,southeast,AUR,16,78,2.9,0
2025-08,west,MRD,42,238,3.3,0
2025-08,central,MRD,29,156,3.3,0
2025-08,south,MRD,40,201,3.2,0
2025-08,northeast,MRD,33,156,2.9,0
2025-08,southeast,MRD,31,165,3.5,0
2025-08,west,NOV,39,193,3.2,0
2025-08,central,NOV,22,126,2.7,0
2025-08,south,NOV,29,164,3.9,0
2025-08,northeast,NOV,27,126,3.1,0
2025-08,southeast,NOV,25,134,2.5,0
2025-08,west,LUM,44,248,2.4,0
2025-08,central,LUM,17,90,3.2,0
2025-08,south,LUM,22,117,2.0,0
2025-08,northeast,LUM,27,162,3.5,0
2025-08,southeast,LUM,25,127,3.1,0
